"gene"	"adj.pval.TimePoint"	"scaffold"	"start"	"end"	"uniprot.id"	"uniprot_taxa.id"	"Uniprot.Name"	"GO.IDs"	"GO.Descript"
"PGEN_.00g130700"	1.05260471320184e-121	"Scaffold_06"	4611890	4623896	NA	NA	NA	NA	NA
"PGEN_.00g151250"	5.41271958176223e-114	"Scaffold_06"	57564199	57565251	NA	NA	NA	NA	NA
"PGEN_.00g127230"	1.40174707796809e-112	"Scaffold_05"	62825525	62833060	NA	NA	NA	NA	NA
"PGEN_.00g345410"	3.83864382622746e-111	"Scaffold_18"	16460541	16500267	"Q29485"	"PLMN_ERIEU"	"Plasminogen (EC 3.4.21.7) [Cleaved into: Plasmin heavy chain A; Activation peptide; Plasmin heavy chain A, short form; Plasmin light chain B]"	"GO:0004252; GO:0005576; GO:0007596; GO:0042730; GO:0048771"	"extracellular region [GO:0005576]; serine-type endopeptidase activity [GO:0004252]; blood coagulation [GO:0007596]; fibrinolysis [GO:0042730]; tissue remodeling [GO:0048771]"
"PGEN_.00g043790"	4.75168588945436e-108	"Scaffold_02"	29899614	29910977	"P97346"	"NXN_MOUSE"	"Nucleoredoxin (EC 1.8.1.8) (Protein Red-1)"	"GO:0001701; GO:0004791; GO:0005623; GO:0005634; GO:0005829; GO:0016055; GO:0030154; GO:0030178; GO:0031397; GO:0045454; GO:0047134; GO:0072358"	"cell [GO:0005623]; cytosol [GO:0005829]; nucleus [GO:0005634]; protein-disulfide reductase activity [GO:0047134]; thioredoxin-disulfide reductase activity [GO:0004791]; cardiovascular system development [GO:0072358]; cell differentiation [GO:0030154]; cell redox homeostasis [GO:0045454]; in utero embryonic development [GO:0001701]; negative regulation of protein ubiquitination [GO:0031397]; negative regulation of Wnt signaling pathway [GO:0030178]; Wnt signaling pathway [GO:0016055]"
"PGEN_.00g328520"	5.74127038388987e-107	"Scaffold_17"	3621305	3650133	NA	NA	NA	NA	NA
"PGEN_.00g279140"	7.56069926421227e-92	"Scaffold_14"	6934908	6946622	"P50164"	"TRN2_HYONI"	"Tropinone reductase 2 (EC 1.1.1.236) (Tropinone reductase II) (TR-II)"	"GO:0009710; GO:0050358"	"tropinone reductase activity [GO:0050358]; tropane alkaloid biosynthetic process [GO:0009710]"
"PGEN_.00g003330"	3.45574859342774e-90	"Scaffold_01"	8257067	8258104	NA	NA	NA	NA	NA
"PGEN_.00g068720"	3.67345121866876e-87	"Scaffold_03"	29524834	29525839	NA	NA	NA	NA	NA
"PGEN_.00g278820"	5.06226950678214e-81	"Scaffold_14"	6530037	6533107	NA	NA	NA	NA	NA
"PGEN_.00g145190"	2.49967380323552e-77	"Scaffold_06"	41616265	41632711	NA	NA	NA	NA	NA
"PGEN_.00g150000"	7.82332619854142e-77	"Scaffold_06"	54115055	54118574	NA	NA	NA	NA	NA
"PGEN_.00g334400"	3.47144968777338e-76	"Scaffold_17"	21776739	21871098	"O01761"	"UNC89_CAEEL"	"Muscle M-line assembly protein unc-89 (Obscurin) (Uncoordinated protein 89)"	"GO:0004672; GO:0005089; GO:0005524; GO:0010628; GO:0014722; GO:0017048; GO:0019902; GO:0030241; GO:0031034; GO:0031430; GO:0031672; GO:0034613; GO:0040017; GO:0045214; GO:0045989; GO:0060298; GO:0071688; GO:0090736; GO:1905552; GO:1905905"	"A band [GO:0031672]; M band [GO:0031430]; ATP binding [GO:0005524]; MATH domain binding [GO:0090736]; phosphatase binding [GO:0019902]; protein kinase activity [GO:0004672]; Rho GTPase binding [GO:0017048]; Rho guanyl-nucleotide exchange factor activity [GO:0005089]; cellular protein localization [GO:0034613]; myosin filament assembly [GO:0031034]; pharyngeal gland morphogenesis [GO:1905905]; positive regulation of gene expression [GO:0010628]; positive regulation of locomotion [GO:0040017]; positive regulation of protein localization to endoplasmic reticulum [GO:1905552]; positive regulation of sarcomere organization [GO:0060298]; positive regulation of striated muscle contraction [GO:0045989]; regulation of skeletal muscle contraction by calcium ion signaling [GO:0014722]; sarcomere organization [GO:0045214]; skeletal muscle myosin thick filament assembly [GO:0030241]; striated muscle myosin thick filament assembly [GO:0071688]"
"PGEN_.00g220460"	8.48616386740243e-75	"Scaffold_10"	43116886	43117749	NA	NA	NA	NA	NA
"PGEN_.00g271690"	1.29811483692623e-67	"Scaffold_13"	33051729	33056559	NA	NA	NA	NA	NA
"PGEN_.00g185930"	5.07289792656047e-62	"Scaffold_08"	46977668	46977979	NA	NA	NA	NA	NA
"PGEN_.00g284710"	2.85954404980038e-59	"Scaffold_14"	20971964	20979053	NA	NA	NA	NA	NA
"PGEN_.00g233360"	4.19921072134147e-55	"Scaffold_11"	26583481	26583714	NA	NA	NA	NA	NA
"PGEN_.00g279730"	1.61440643883242e-54	"Scaffold_14"	8594867	8627802	"Q5R6S0"	"ABHGA_PONAB"	"Phosphatidylserine lipase ABHD16A (EC 3.1.-.-) (Alpha/beta hydrolase domain-containing protein 16A) (Abhydrolase domain-containing protein 16A) (HLA-B-associated transcript 5 homolog) (Monoacylglycerol lipase ABHD16A) (EC 3.1.1.23)"	"GO:0004620; GO:0006660; GO:0016021; GO:0047372; GO:0052651; GO:1905344"	"integral component of membrane [GO:0016021]; acylglycerol lipase activity [GO:0047372]; phospholipase activity [GO:0004620]; monoacylglycerol catabolic process [GO:0052651]; phosphatidylserine catabolic process [GO:0006660]; prostaglandin catabolic process [GO:1905344]"
"PGEN_.00g201860"	7.73686867797902e-52	"Scaffold_09"	32352782	32354762	NA	NA	NA	NA	NA
"PGEN_.00g263900"	7.74014841511932e-51	"Scaffold_13"	11831965	11889896	"Q9VZZ4"	"PXDN_DROME"	"Peroxidasin (EC 1.11.1.7)"	"GO:0004601; GO:0005615; GO:0006909; GO:0006979; GO:0019806; GO:0020037; GO:0030198; GO:0030199; GO:0031012; GO:0042744; GO:0046872; GO:0062023; GO:0070831"	"collagen-containing extracellular matrix [GO:0062023]; extracellular matrix [GO:0031012]; extracellular space [GO:0005615]; bromide peroxidase activity [GO:0019806]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; peroxidase activity [GO:0004601]; basement membrane assembly [GO:0070831]; collagen fibril organization [GO:0030199]; extracellular matrix organization [GO:0030198]; hydrogen peroxide catabolic process [GO:0042744]; phagocytosis [GO:0006909]; response to oxidative stress [GO:0006979]"
"PGEN_.00g204300"	3.06398929049189e-50	"Scaffold_10"	2	1145	NA	NA	NA	NA	NA
"PGEN_.00g036880"	2.52484936858866e-49	"Scaffold_02"	9717263	9781629	"Q68CJ6"	"SLIP_HUMAN"	"Nuclear GTPase SLIP-GC (EC 3.6.1.-) (Speckled-like pattern in the germinal center)"	"GO:0003924; GO:0005525; GO:0016607; GO:0033262; GO:0043066; GO:0071222"	"nuclear speck [GO:0016607]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; cellular response to lipopolysaccharide [GO:0071222]; negative regulation of apoptotic process [GO:0043066]; regulation of nuclear cell cycle DNA replication [GO:0033262]"
"PGEN_.00g051430"	2.78939718873042e-49	"Scaffold_02"	50797608	50888432	"Q2HJF4"	"PBLD_BOVIN"	"Phenazine biosynthesis-like domain-containing protein (EC 5.1.-.-)"	"GO:0005737; GO:0009058; GO:0010633; GO:0010719; GO:0016853; GO:0030277; GO:0030512; GO:0042802; GO:0050680; GO:0060392; GO:0060394"	"cytoplasm [GO:0005737]; identical protein binding [GO:0042802]; isomerase activity [GO:0016853]; biosynthetic process [GO:0009058]; maintenance of gastrointestinal epithelium [GO:0030277]; negative regulation of epithelial cell migration [GO:0010633]; negative regulation of epithelial cell proliferation [GO:0050680]; negative regulation of epithelial to mesenchymal transition [GO:0010719]; negative regulation of pathway-restricted SMAD protein phosphorylation [GO:0060394]; negative regulation of SMAD protein signal transduction [GO:0060392]; negative regulation of transforming growth factor beta receptor signaling pathway [GO:0030512]"
"PGEN_.00g277910"	1.26583732874301e-48	"Scaffold_14"	4509691	4540589	"Q61165"	"SL9A1_MOUSE"	"Sodium/hydrogen exchanger 1 (Na(+)/H(+) exchanger 1) (NHE-1) (Solute carrier family 9 member 1)"	"GO:0002026; GO:0005516; GO:0005623; GO:0005654; GO:0005737; GO:0005739; GO:0005783; GO:0005789; GO:0005886; GO:0005887; GO:0006814; GO:0006883; GO:0006885; GO:0009986; GO:0010447; GO:0010613; GO:0010882; GO:0014070; GO:0014704; GO:0015385; GO:0015386; GO:0016020; GO:0016323; GO:0016324; GO:0030307; GO:0030315; GO:0030346; GO:0032869; GO:0035794; GO:0035994; GO:0036376; GO:0042383; GO:0043065; GO:0043066; GO:0045121; GO:0045760; GO:0045944; GO:0048306; GO:0048471; GO:0051259; GO:0051453; GO:0051930; GO:0055007; GO:0070417; GO:0070886; GO:0070997; GO:0071236; GO:0071257; GO:0071456; GO:0071468; GO:0071805; GO:0071872; GO:0086003; GO:0086092; GO:0090533; GO:0098719; GO:0098735; GO:1902533; GO:1902600; GO:1903281"	"apical plasma membrane [GO:0016324]; basolateral plasma membrane [GO:0016323]; cation-transporting ATPase complex [GO:0090533]; cell [GO:0005623]; cell surface [GO:0009986]; cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of plasma membrane [GO:0005887]; intercalated disc [GO:0014704]; membrane [GO:0016020]; membrane raft [GO:0045121]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; sarcolemma [GO:0042383]; T-tubule [GO:0030315]; calcium-dependent protein binding [GO:0048306]; calmodulin binding [GO:0005516]; potassium:proton antiporter activity [GO:0015386]; protein phosphatase 2B binding [GO:0030346]; sodium:proton antiporter activity [GO:0015385]; cardiac muscle cell contraction [GO:0086003]; cardiac muscle cell differentiation [GO:0055007]; cellular response to acidic pH [GO:0071468]; cellular response to antibiotic [GO:0071236]; cellular response to cold [GO:0070417]; cellular response to electrical stimulus [GO:0071257]; cellular response to epinephrine stimulus [GO:0071872]; cellular response to hypoxia [GO:0071456]; cellular response to insulin stimulus [GO:0032869]; cellular sodium ion homeostasis [GO:0006883]; negative regulation of apoptotic process [GO:0043066]; neuron death [GO:0070997]; positive regulation of action potential [GO:0045760]; positive regulation of apoptotic process [GO:0043065]; positive regulation of calcineurin-NFAT signaling cascade [GO:0070886]; positive regulation of calcium:sodium antiporter activity [GO:1903281]; positive regulation of cardiac muscle hypertrophy [GO:0010613]; positive regulation of cell growth [GO:0030307]; positive regulation of intracellular signal transduction [GO:1902533]; positive regulation of mitochondrial membrane permeability [GO:0035794]; positive regulation of the force of heart contraction [GO:0098735]; positive regulation of transcription by RNA polymerase II [GO:0045944]; potassium ion transmembrane transport [GO:0071805]; protein complex oligomerization [GO:0051259]; proton transmembrane transport [GO:1902600]; regulation of cardiac muscle contraction by calcium ion signaling [GO:0010882]; regulation of intracellular pH [GO:0051453]; regulation of pH [GO:0006885]; regulation of sensory perception of pain [GO:0051930]; regulation of the force of heart contraction [GO:0002026]; regulation of the force of heart contraction by cardiac conduction [GO:0086092]; response to acidic pH [GO:0010447]; response to muscle stretch [GO:0035994]; response to organic cyclic compound [GO:0014070]; sodium ion export across plasma membrane [GO:0036376]; sodium ion import across plasma membrane [GO:0098719]; sodium ion transport [GO:0006814]"
"PGEN_.00g104730"	4.8481018020901e-47	"Scaffold_05"	2521223	2525989	NA	NA	NA	NA	NA
"PGEN_.00g328960"	4.38672850267166e-45	"Scaffold_17"	4818154	4836910	"B3EWZ8"	"ECT_ACRMI"	"Ectin (Fragment)"	"GO:0005576"	"extracellular region [GO:0005576]"
"PGEN_.00g160750"	4.70766078779676e-45	"Scaffold_07"	22118445	22131261	NA	NA	NA	NA	NA
"PGEN_.00g183880"	7.58858916926281e-45	"Scaffold_08"	41644440	41659729	"P21894"	"SYAC_BOMMO"	"Alanine--tRNA ligase, cytoplasmic (EC 6.1.1.7) (Alanyl-tRNA synthetase) (AlaRS)"	"GO:0000049; GO:0004813; GO:0005524; GO:0005737; GO:0006419; GO:0008270"	"cytoplasm [GO:0005737]; alanine-tRNA ligase activity [GO:0004813]; ATP binding [GO:0005524]; tRNA binding [GO:0000049]; zinc ion binding [GO:0008270]; alanyl-tRNA aminoacylation [GO:0006419]"
"PGEN_.00g108700"	1.3943799030081e-44	"Scaffold_05"	11889536	11890080	NA	NA	NA	NA	NA
"PGEN_.00g213350"	2.70489617688528e-41	"Scaffold_10"	24367809	24391529	"Q5U3U3"	"CPT2_DANRE"	"Carnitine O-palmitoyltransferase 2, mitochondrial (EC 2.3.1.21) (Carnitine palmitoyltransferase II) (CPT II)"	"GO:0004095; GO:0005739; GO:0005743; GO:0006635"	"mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; carnitine O-palmitoyltransferase activity [GO:0004095]; fatty acid beta-oxidation [GO:0006635]"
"PGEN_.00g291910"	9.08017793478094e-41	"Scaffold_14"	35949839	35966065	"Q4PJX1"	"ODR4_MOUSE"	"Protein odr-4 homolog (mODR-4)"	"GO:0008104; GO:0016021"	"integral component of membrane [GO:0016021]; protein localization [GO:0008104]"
"PGEN_.00g164830"	2.46156805125071e-40	"Scaffold_07"	33281542	33281937	NA	NA	NA	NA	NA
"PGEN_.00g032730"	8.89397971404575e-40	"Scaffold_01"	88433511	88434919	"Q552Z2"	"FNKE_DICDI"	"Probable serine/threonine-protein kinase fnkE (EC 2.7.11.1) (FNIP repeat-containing protein E)"	"GO:0004674; GO:0005524; GO:0046872"	"ATP binding [GO:0005524]; metal ion binding [GO:0046872]; protein serine/threonine kinase activity [GO:0004674]"
"PGEN_.00g087850"	2.84600128550413e-38	"Scaffold_04"	23621710	23634551	"Q9ULI3"	"HEG1_HUMAN"	"Protein HEG homolog 1"	"GO:0001570; GO:0001701; GO:0001886; GO:0001945; GO:0003017; GO:0003209; GO:0003222; GO:0003281; GO:0005509; GO:0005576; GO:0005911; GO:0007043; GO:0007507; GO:0009791; GO:0009897; GO:0016021; GO:0030324; GO:0035024; GO:0035264; GO:0048845; GO:0050878; GO:0055017; GO:0060039; GO:0090271; GO:1902414; GO:1905709; GO:2000299"	"cell-cell junction [GO:0005911]; external side of plasma membrane [GO:0009897]; extracellular region [GO:0005576]; integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]; cardiac atrium morphogenesis [GO:0003209]; cardiac muscle tissue growth [GO:0055017]; cell-cell junction assembly [GO:0007043]; endothelial cell morphogenesis [GO:0001886]; heart development [GO:0007507]; in utero embryonic development [GO:0001701]; lung development [GO:0030324]; lymph circulation [GO:0003017]; lymph vessel development [GO:0001945]; multicellular organism growth [GO:0035264]; negative regulation of membrane permeability [GO:1905709]; negative regulation of Rho protein signal transduction [GO:0035024]; negative regulation of Rho-dependent protein serine/threonine kinase activity [GO:2000299]; pericardium development [GO:0060039]; positive regulation of fibroblast growth factor production [GO:0090271]; post-embryonic development [GO:0009791]; protein localization to cell junction [GO:1902414]; regulation of body fluid levels [GO:0050878]; vasculogenesis [GO:0001570]; venous blood vessel morphogenesis [GO:0048845]; ventricular septum development [GO:0003281]; ventricular trabecula myocardium morphogenesis [GO:0003222]"
"PGEN_.00g208580"	3.44135537573527e-38	"Scaffold_10"	11353032	11413765	"Q3L254"	"WNT7B_CHICK"	"Protein Wnt-7b"	"GO:0005109; GO:0005615; GO:0016055; GO:0021871; GO:0030182; GO:0045165; GO:0046330; GO:0048018; GO:0048144; GO:0060070; GO:0070307; GO:0071300; GO:0072089"	"extracellular space [GO:0005615]; frizzled binding [GO:0005109]; receptor ligand activity [GO:0048018]; canonical Wnt signaling pathway [GO:0060070]; cell fate commitment [GO:0045165]; cellular response to retinoic acid [GO:0071300]; fibroblast proliferation [GO:0048144]; forebrain regionalization [GO:0021871]; lens fiber cell development [GO:0070307]; neuron differentiation [GO:0030182]; positive regulation of JNK cascade [GO:0046330]; stem cell proliferation [GO:0072089]; Wnt signaling pathway [GO:0016055]"
"PGEN_.00g003320"	1.59481242422849e-37	"Scaffold_01"	8256420	8256734	NA	NA	NA	NA	NA
"PGEN_.00g024960"	3.36707282490552e-36	"Scaffold_01"	69278011	69280314	"Q6BK42"	"DDI1_DEBHA"	"DNA damage-inducible protein 1 (EC 3.4.23.-)"	"GO:0000149; GO:0004190; GO:0005737; GO:0005886; GO:0009306; GO:0043130; GO:0043328; GO:0045740; GO:0072710"	"cytoplasm [GO:0005737]; plasma membrane [GO:0005886]; aspartic-type endopeptidase activity [GO:0004190]; SNARE binding [GO:0000149]; ubiquitin binding [GO:0043130]; positive regulation of DNA replication [GO:0045740]; protein secretion [GO:0009306]; protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway [GO:0043328]; response to hydroxyurea [GO:0072710]"
"PGEN_.00g077070"	1.33392584911406e-34	"Scaffold_03"	54609767	54610342	NA	NA	NA	NA	NA
"PGEN_.00g168070"	4.99109974852143e-34	"Scaffold_07"	42236821	42237171	NA	NA	NA	NA	NA
"PGEN_.00g035770"	5.31361990950926e-34	"Scaffold_02"	6970612	6989549	"P0C605"	"KGP1_MOUSE"	"cGMP-dependent protein kinase 1 (cGK 1) (cGK1) (EC 2.7.11.12) (cGMP-dependent protein kinase I) (cGKI)"	"GO:0001669; GO:0001764; GO:0004672; GO:0004674; GO:0004692; GO:0005246; GO:0005524; GO:0005623; GO:0005654; GO:0005737; GO:0005794; GO:0005829; GO:0005886; GO:0006468; GO:0007165; GO:0007204; GO:0010920; GO:0014050; GO:0014912; GO:0016020; GO:0016358; GO:0019934; GO:0030553; GO:0030900; GO:0042753; GO:0042802; GO:0043087; GO:0045822; GO:0045986; GO:0048273; GO:0060087; GO:0061049; GO:0090331; GO:0097755; GO:1902608; GO:1904706; GO:1904753; GO:2000224"	"acrosomal vesicle [GO:0001669]; cell [GO:0005623]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; calcium channel regulator activity [GO:0005246]; cGMP binding [GO:0030553]; cGMP-dependent protein kinase activity [GO:0004692]; identical protein binding [GO:0042802]; mitogen-activated protein kinase p38 binding [GO:0048273]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]; cell growth involved in cardiac muscle cell development [GO:0061049]; cGMP-mediated signaling [GO:0019934]; dendrite development [GO:0016358]; forebrain development [GO:0030900]; negative regulation of glutamate secretion [GO:0014050]; negative regulation of heart contraction [GO:0045822]; negative regulation of inositol phosphate biosynthetic process [GO:0010920]; negative regulation of platelet aggregation [GO:0090331]; negative regulation of smooth muscle cell migration [GO:0014912]; negative regulation of smooth muscle contraction [GO:0045986]; negative regulation of vascular associated smooth muscle cell migration [GO:1904753]; negative regulation of vascular smooth muscle cell proliferation [GO:1904706]; neuron migration [GO:0001764]; positive regulation of blood vessel diameter [GO:0097755]; positive regulation of circadian rhythm [GO:0042753]; positive regulation of cytosolic calcium ion concentration [GO:0007204]; positive regulation of large conductance calcium-activated potassium channel activity [GO:1902608]; protein phosphorylation [GO:0006468]; regulation of GTPase activity [GO:0043087]; regulation of testosterone biosynthetic process [GO:2000224]; relaxation of vascular smooth muscle [GO:0060087]; signal transduction [GO:0007165]"
"PGEN_.00g271680"	5.87986405125717e-34	"Scaffold_13"	33018431	33030805	"Q5U504"	"KLH40_XENLA"	"Kelch-like protein 40 (Kelch repeat and BTB domain-containing protein 5)"	"GO:0005737; GO:0031397; GO:0031398; GO:0031463; GO:0031672; GO:0031674; GO:0032436; GO:0048741; GO:0098528"	"A band [GO:0031672]; Cul3-RING ubiquitin ligase complex [GO:0031463]; cytoplasm [GO:0005737]; I band [GO:0031674]; negative regulation of protein ubiquitination [GO:0031397]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; positive regulation of protein ubiquitination [GO:0031398]; skeletal muscle fiber development [GO:0048741]; skeletal muscle fiber differentiation [GO:0098528]"
"PGEN_.00g302860"	7.42832456063055e-34	"Scaffold_15"	14475444	14494663	"Q6NT16"	"S18B1_HUMAN"	"MFS-type transporter SLC18B1 (Solute carrier family 18 member B1)"	"GO:0016021; GO:0055085"	"integral component of membrane [GO:0016021]; transmembrane transport [GO:0055085]"
"PGEN_.00g305680"	1.57856954683257e-31	"Scaffold_15"	21853239	21888214	"O88873"	"GMEB2_RAT"	"Glucocorticoid modulatory element-binding protein 2 (GMEB-2)"	"GO:0000978; GO:0000981; GO:0001228; GO:0003713; GO:0005634; GO:0005737; GO:0006357; GO:0043565; GO:0045944; GO:0046872"	"cytoplasm [GO:0005737]; nucleus [GO:0005634]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; metal ion binding [GO:0046872]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific DNA binding [GO:0043565]; transcription coactivator activity [GO:0003713]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of transcription by RNA polymerase II [GO:0006357]"
"PGEN_.00g090230"	2.25028718704061e-31	"Scaffold_04"	30404333	30417979	NA	NA	NA	NA	NA
"PGEN_.00g049230"	4.94568216572991e-31	"Scaffold_02"	44783604	44801307	NA	NA	NA	NA	NA
"PGEN_.00g116710"	1.43536221535731e-30	"Scaffold_05"	34291625	34335232	"B3EWY9"	"MLP_ACRMI"	"Mucin-like protein (Fragment)"	"GO:0005509; GO:0007160; GO:0016021"	"integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]; cell-matrix adhesion [GO:0007160]"
"PGEN_.00g150310"	1.97469011784261e-30	"Scaffold_06"	55124389	55134058	NA	NA	NA	NA	NA
