"","GO.IDs","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","Cat","GO.Slim.Term","gene","uniprot","uniprot_taxa.id","uniprot.name"
"11","GO:0051450",0.0328209665683493,0.999638904126292,1,3,"myoblast proliferation","BP","P","cell cycle and proliferation","PGEN_.00g211830","P16056","MET_MOUSE","Hepatocyte growth factor receptor (HGF receptor) (EC 2.7.10.1) (HGF/SF receptor) (Proto-oncogene c-Met) (Scatter factor receptor) (SF receptor) (Tyrosine-protein kinase Met)"
"12","GO:0042130",0.0416079685305001,0.999345261455813,1,4,"negative regulation of T cell proliferation","BP","P","cell cycle and proliferation","PGEN_.00g049510","Q8TDM6","DLG5_HUMAN","Disks large homolog 5 (Discs large protein P-dlg) (Placenta and prostate DLG)"
"13","GO:0033262",0.0475933719734343,0.99914111158108,1,4,"regulation of nuclear cell cycle DNA replication","BP","P","cell cycle and proliferation","PGEN_.00g036880","Q68CJ6","SLIP_HUMAN","Nuclear GTPase SLIP-GC (EC 3.6.1.-) (Speckled-like pattern in the germinal center)"
"14","GO:0031116",0.00806657955002328,0.999686580964815,2,15,"positive regulation of microtubule polymerization","BP","P","cell organization and biogenesis","PGEN_.00g013900; PGEN_.00g211830","Q80TN7; P16056","NAV3_MOUSE; MET_MOUSE","Neuron navigator 3 (Pore membrane and/or filament-interacting-like protein 1); Hepatocyte growth factor receptor (HGF receptor) (EC 2.7.10.1) (HGF/SF receptor) (Proto-oncogene c-Met) (Scatter factor receptor) (SF receptor) (Tyrosine-protein kinase Met)"
"15","GO:0001837",0.0102369816650932,0.99954374526744,2,17,"epithelial to mesenchymal transition","BP","P","cell organization and biogenesis","PGEN_.00g049510; PGEN_.00g204470","Q8TDM6; P41221","DLG5_HUMAN; WNT5A_HUMAN","Disks large homolog 5 (Discs large protein P-dlg) (Placenta and prostate DLG); Protein Wnt-5a"
"16","GO:0061025",0.0110497204255196,0.999969588026076,1,2,"membrane fusion","BP","P","cell organization and biogenesis","PGEN_.00g043300","Q07076","ANXA7_MOUSE","Annexin A7 (Annexin VII) (Annexin-7) (Synexin)"
"17","GO:0014866",0.0116607117833657,1,1,1,"skeletal myofibril assembly","BP","P","cell organization and biogenesis","PGEN_.00g062630","A0JMD4","TPC2_DANRE","Two pore calcium channel protein 2 (Voltage-dependent calcium channel protein TPC2)"
"18","GO:0060809",0.0151295744014914,1,1,1,"mesodermal to mesenchymal transition involved in gastrulation","BP","P","cell organization and biogenesis","PGEN_.00g204470","P41221","WNT5A_HUMAN","Protein Wnt-5a"
"19","GO:0065003",0.0356263751623523,0.996792292456952,2,31,"protein-containing complex assembly","BP","P","cell organization and biogenesis","PGEN_.00g049510; PGEN_.00g186170","Q8TDM6; P82251","DLG5_HUMAN; BAT1_HUMAN","Disks large homolog 5 (Discs large protein P-dlg) (Placenta and prostate DLG); b(0,+)-type amino acid transporter 1 (b(0,+)AT1) (Glycoprotein-associated amino acid transporter b0,+AT1) (Solute carrier family 7 member 9)"
"20","GO:0035317",0.0370657721908901,0.999538561040056,1,3,"imaginal disc-derived wing hair organization","BP","P","cell organization and biogenesis","PGEN_.00g227520","Q17LW0","MYO7A_AEDAE","Myosin-VIIa (Protein crinkled)"
"21","GO:0006627",0.0395433000734691,0.999370193667687,1,5,"protein processing involved in protein targeting to mitochondrion","BP","P","cell organization and biogenesis","PGEN_.00g228480","A6H611","MIPEP_MOUSE","Mitochondrial intermediate peptidase (MIP) (EC 3.4.24.59)"
"22","GO:0045186",0.0402918683141847,0.999386376289994,1,4,"zonula adherens assembly","BP","P","cell organization and biogenesis","PGEN_.00g049510","Q8TDM6","DLG5_HUMAN","Disks large homolog 5 (Discs large protein P-dlg) (Placenta and prostate DLG)"
"23","GO:0051964",0.0423246930298573,0.999396870496464,1,3,"negative regulation of synapse assembly","BP","P","cell organization and biogenesis","PGEN_.00g204470","P41221","WNT5A_HUMAN","Protein Wnt-5a"
"24","GO:0031034",0.0438420447406129,0.999352395807336,1,3,"myosin filament assembly","BP","P","cell organization and biogenesis","PGEN_.00g334400","O01761","UNC89_CAEEL","Muscle M-line assembly protein unc-89 (Obscurin) (Uncoordinated protein 89)"
"25","GO:0008064",0.046574679155151,0.999123741610228,1,5,"regulation of actin polymerization or depolymerization","BP","P","cell organization and biogenesis","PGEN_.00g279870","P00522","ABL_DROME","Tyrosine-protein kinase Abl (EC 2.7.10.2) (D-ash) (Protein abelson)"
"26","GO:0086045",0.00667377303213799,1,1,1,"membrane depolarization during AV node cell action potential","BP","P","cell-cell signaling","PGEN_.00g252700","Q9ESQ5","TRPM4_RAT","Transient receptor potential cation channel subfamily M member 4 (Calcium-activated non-selective cation channel 1) (Long transient receptor potential channel 4) (LTrpC-4) (LTrpC4) (MLS2s) (Melastatin-like 2)"
"27","GO:0086047",0.00667377303213799,1,1,1,"membrane depolarization during Purkinje myocyte cell action potential","BP","P","cell-cell signaling","PGEN_.00g252700","Q9ESQ5","TRPM4_RAT","Transient receptor potential cation channel subfamily M member 4 (Calcium-activated non-selective cation channel 1) (Long transient receptor potential channel 4) (LTrpC-4) (LTrpC4) (MLS2s) (Melastatin-like 2)"
"28","GO:0086048",0.00667377303213799,1,1,1,"membrane depolarization during bundle of His cell action potential","BP","P","cell-cell signaling","PGEN_.00g252700","Q9ESQ5","TRPM4_RAT","Transient receptor potential cation channel subfamily M member 4 (Calcium-activated non-selective cation channel 1) (Long transient receptor potential channel 4) (LTrpC-4) (LTrpC4) (MLS2s) (Melastatin-like 2)"
"29","GO:0060638",0.0151295744014914,1,1,1,"mesenchymal-epithelial cell signaling","BP","P","cell-cell signaling","PGEN_.00g204470","P41221","WNT5A_HUMAN","Protein Wnt-5a"
"30","GO:0045886",0.0186518913469872,0.999913009352353,1,2,"negative regulation of synaptic assembly at neuromuscular junction","BP","P","cell-cell signaling","PGEN_.00g279870","P00522","ABL_DROME","Tyrosine-protein kinase Abl (EC 2.7.10.2) (D-ash) (Protein abelson)"
"31","GO:1901299",0.00788319897833196,1,1,1,"negative regulation of hydrogen peroxide-mediated programmed cell death","BP","P","death","PGEN_.00g211830","P16056","MET_MOUSE","Hepatocyte growth factor receptor (HGF receptor) (EC 2.7.10.1) (HGF/SF receptor) (Proto-oncogene c-Met) (Scatter factor receptor) (SF receptor) (Tyrosine-protein kinase Met)"
"32","GO:0070245",0.0151295744014914,1,1,1,"positive regulation of thymocyte apoptotic process","BP","P","death","PGEN_.00g204470","P41221","WNT5A_HUMAN","Protein Wnt-5a"
"33","GO:0043066",0.0191878551343048,0.995524521404713,5,177,"negative regulation of apoptotic process","BP","P","death","PGEN_.00g004840; PGEN_.00g036880; PGEN_.00g076180; PGEN_.00g204470; PGEN_.00g277910","P54646; Q68CJ6; Q8JHV9; P41221; Q61165","AAPK2_HUMAN; SLIP_HUMAN; BIR7A_XENLA; WNT5A_HUMAN; SL9A1_MOUSE","5'-AMP-activated protein kinase catalytic subunit alpha-2 (AMPK subunit alpha-2) (EC 2.7.11.1) (Acetyl-CoA carboxylase kinase) (ACACA kinase) (EC 2.7.11.27) (Hydroxymethylglutaryl-CoA reductase kinase) (HMGCR kinase) (EC 2.7.11.31); Nuclear GTPase SLIP-GC (EC 3.6.1.-) (Speckled-like pattern in the germinal center); Baculoviral IAP repeat-containing protein 7-A (EC 2.3.2.27) (E3 ubiquitin-protein ligase EIAP-A) (Embryonic/Egg IAP) (xEIAP/XLX) (Inhibitor of apoptosis-like protein) (IAP-like protein) (RING-type E3 ubiquitin transferase EIAP-A) (XIAP homolog XLX) (XLX); Protein Wnt-5a; Sodium/hydrogen exchanger 1 (Na(+)/H(+) exchanger 1) (NHE-1) (Solute carrier family 9 member 1)"
"34","GO:0070997",0.0310582009231322,0.999676911972154,1,3,"neuron death","BP","P","death","PGEN_.00g277910","Q61165","SL9A1_MOUSE","Sodium/hydrogen exchanger 1 (Na(+)/H(+) exchanger 1) (NHE-1) (Solute carrier family 9 member 1)"
"35","GO:0007417",0.00983298258117628,0.999011730520087,3,54,"central nervous system development","BP","P","developmental processes","PGEN_.00g078310; PGEN_.00g218470; PGEN_.00g279870","P35992; O14594; P00522","PTP10_DROME; NCAN_HUMAN; ABL_DROME","Tyrosine-protein phosphatase 10D (EC 3.1.3.48) (Receptor-linked protein-tyrosine phosphatase 10D) (DPTP10D); Neurocan core protein (Chondroitin sulfate proteoglycan 3); Tyrosine-protein kinase Abl (EC 2.7.10.2) (D-ash) (Protein abelson)"
"36","GO:0060447",0.0103209957912234,1,1,1,"bud outgrowth involved in lung branching","BP","P","developmental processes","PGEN_.00g149640","Q80YX1","TENA_MOUSE","Tenascin (TN) (Hexabrachion) (Tenascin-C) (TN-C)"
"37","GO:0060739",0.0103209957912234,1,1,1,"mesenchymal-epithelial cell signaling involved in prostate gland development","BP","P","developmental processes","PGEN_.00g149640","Q80YX1","TENA_MOUSE","Tenascin (TN) (Hexabrachion) (Tenascin-C) (TN-C)"
"38","GO:2000290",0.0116607117833657,1,1,1,"regulation of myotome development","BP","P","developmental processes","PGEN_.00g062630","A0JMD4","TPC2_DANRE","Two pore calcium channel protein 2 (Voltage-dependent calcium channel protein TPC2)"
"39","GO:0030182",0.0150567433980218,0.998233048708066,3,51,"neuron differentiation","BP","P","developmental processes","PGEN_.00g204470; PGEN_.00g208580; PGEN_.00g211830","P41221; Q3L254; P16056","WNT5A_HUMAN; WNT7B_CHICK; MET_MOUSE","Protein Wnt-5a; Protein Wnt-7b; Hepatocyte growth factor receptor (HGF receptor) (EC 2.7.10.1) (HGF/SF receptor) (Proto-oncogene c-Met) (Scatter factor receptor) (SF receptor) (Tyrosine-protein kinase Met)"
"40","GO:0003402",0.0151295744014914,1,1,1,"planar cell polarity pathway involved in axis elongation","BP","P","developmental processes","PGEN_.00g204470","P41221","WNT5A_HUMAN","Protein Wnt-5a"
"41","GO:0003408",0.0151295744014914,1,1,1,"optic cup formation involved in camera-type eye development","BP","P","developmental processes","PGEN_.00g204470","P41221","WNT5A_HUMAN","Protein Wnt-5a"
"42","GO:0048850",0.0151295744014914,1,1,1,"hypophysis morphogenesis","BP","P","developmental processes","PGEN_.00g204470","P41221","WNT5A_HUMAN","Protein Wnt-5a"
"43","GO:0051885",0.0151295744014914,1,1,1,"positive regulation of timing of anagen","BP","P","developmental processes","PGEN_.00g204470","P41221","WNT5A_HUMAN","Protein Wnt-5a"
"44","GO:0060157",0.0151295744014914,1,1,1,"urinary bladder development","BP","P","developmental processes","PGEN_.00g204470","P41221","WNT5A_HUMAN","Protein Wnt-5a"
"45","GO:0060599",0.0151295744014914,1,1,1,"lateral sprouting involved in mammary gland duct morphogenesis","BP","P","developmental processes","PGEN_.00g204470","P41221","WNT5A_HUMAN","Protein Wnt-5a"
"46","GO:0061348",0.0151295744014914,1,1,1,"planar cell polarity pathway involved in ventricular septum morphogenesis","BP","P","developmental processes","PGEN_.00g204470","P41221","WNT5A_HUMAN","Protein Wnt-5a"
"47","GO:0061349",0.0151295744014914,1,1,1,"planar cell polarity pathway involved in cardiac right atrium morphogenesis","BP","P","developmental processes","PGEN_.00g204470","P41221","WNT5A_HUMAN","Protein Wnt-5a"
"48","GO:0061354",0.0151295744014914,1,1,1,"planar cell polarity pathway involved in pericardium morphogenesis","BP","P","developmental processes","PGEN_.00g204470","P41221","WNT5A_HUMAN","Protein Wnt-5a"
"49","GO:0007370",0.0151854887194856,1,1,1,"ventral furrow formation","BP","P","developmental processes","PGEN_.00g279870","P00522","ABL_DROME","Tyrosine-protein kinase Abl (EC 2.7.10.2) (D-ash) (Protein abelson)"
"50","GO:0042475",0.0153171297405215,0.9991445999992,2,20,"odontogenesis of dentin-containing tooth","BP","P","developmental processes","PGEN_.00g149640; PGEN_.00g190430","Q80YX1; O75096","TENA_MOUSE; LRP4_HUMAN","Tenascin (TN) (Hexabrachion) (Tenascin-C) (TN-C); Low-density lipoprotein receptor-related protein 4 (LRP-4) (Multiple epidermal growth factor-like domains 7)"
"51","GO:0014902",0.0171998568580692,0.999889283645055,1,4,"myotube differentiation","BP","P","developmental processes","PGEN_.00g211830","P16056","MET_MOUSE","Hepatocyte growth factor receptor (HGF receptor) (EC 2.7.10.1) (HGF/SF receptor) (Proto-oncogene c-Met) (Scatter factor receptor) (SF receptor) (Tyrosine-protein kinase Met)"
"52","GO:0055013",0.0172753244592412,0.999888306347567,1,4,"cardiac muscle cell development","BP","P","developmental processes","PGEN_.00g211830","P16056","MET_MOUSE","Hepatocyte growth factor receptor (HGF receptor) (EC 2.7.10.1) (HGF/SF receptor) (Proto-oncogene c-Met) (Scatter factor receptor) (SF receptor) (Tyrosine-protein kinase Met)"
"53","GO:0060173",0.0213714056217992,0.998571221285706,2,21,"limb development","BP","P","developmental processes","PGEN_.00g167410; PGEN_.00g190430","Q9Y2V3; O75096","RX_HUMAN; LRP4_HUMAN","Retinal homeobox protein Rx (Retina and anterior neural fold homeobox protein); Low-density lipoprotein receptor-related protein 4 (LRP-4) (Multiple epidermal growth factor-like domains 7)"
"54","GO:0060665",0.0216871243754953,0.999882210617524,1,2,"regulation of branching involved in salivary gland morphogenesis by mesenchymal-epithelial signaling","BP","P","developmental processes","PGEN_.00g211830","P16056","MET_MOUSE","Hepatocyte growth factor receptor (HGF receptor) (EC 2.7.10.1) (HGF/SF receptor) (Proto-oncogene c-Met) (Scatter factor receptor) (SF receptor) (Tyrosine-protein kinase Met)"
"55","GO:0072205",0.0232260238154871,0.999864794309287,1,2,"metanephric collecting duct development","BP","P","developmental processes","PGEN_.00g049510","Q8TDM6","DLG5_HUMAN","Disks large homolog 5 (Discs large protein P-dlg) (Placenta and prostate DLG)"
"56","GO:0060762",0.023567171341879,0.999791571580256,1,4,"regulation of branching involved in mammary gland duct morphogenesis","BP","P","developmental processes","PGEN_.00g204470","P41221","WNT5A_HUMAN","Protein Wnt-5a"
"57","GO:0060686",0.0276866753709678,0.999743646737355,1,3,"negative regulation of prostatic bud formation","BP","P","developmental processes","PGEN_.00g204470","P41221","WNT5A_HUMAN","Protein Wnt-5a"
"58","GO:0021891",0.0280490994275099,0.999802320875663,1,2,"olfactory bulb interneuron development","BP","P","developmental processes","PGEN_.00g204470","P41221","WNT5A_HUMAN","Protein Wnt-5a"
"59","GO:0030502",0.0283935158798949,0.999797400474097,1,2,"negative regulation of bone mineralization","BP","P","developmental processes","PGEN_.00g252700","Q9ESQ5","TRPM4_RAT","Transient receptor potential cation channel subfamily M member 4 (Calcium-activated non-selective cation channel 1) (Long transient receptor potential channel 4) (LTrpC-4) (LTrpC4) (MLS2s) (Melastatin-like 2)"
"60","GO:0060067",0.0290413797066816,0.999787978609461,1,2,"cervix development","BP","P","developmental processes","PGEN_.00g204470","P41221","WNT5A_HUMAN","Protein Wnt-5a"
"61","GO:0009953",0.0295686540907401,0.997588394716981,2,32,"dorsal/ventral pattern formation","BP","P","developmental processes","PGEN_.00g014370; PGEN_.00g190430","Q11002; O75096","CANA_DROME; LRP4_HUMAN","Calpain-A (EC 3.4.22.-) (Calcium-activated neutral proteinase A) (CANP A) [Cleaved into: Calpain-A catalytic subunit]; Low-density lipoprotein receptor-related protein 4 (LRP-4) (Multiple epidermal growth factor-like domains 7)"
"62","GO:0048341",0.030642523542522,0.999685562374667,1,3,"paraxial mesoderm formation","BP","P","developmental processes","PGEN_.00g204470","P41221","WNT5A_HUMAN","Protein Wnt-5a"
"63","GO:0001764",0.0309894828732708,0.995203065125911,3,57,"neuron migration","BP","P","developmental processes","PGEN_.00g035760; PGEN_.00g211830; PGEN_.00g279870","Q13976; P16056; P00522","KGP1_HUMAN; MET_MOUSE; ABL_DROME","cGMP-dependent protein kinase 1 (cGK 1) (cGK1) (EC 2.7.11.12) (cGMP-dependent protein kinase I) (cGKI); Hepatocyte growth factor receptor (HGF receptor) (EC 2.7.10.1) (HGF/SF receptor) (Proto-oncogene c-Met) (Scatter factor receptor) (SF receptor) (Tyrosine-protein kinase Met); Tyrosine-protein kinase Abl (EC 2.7.10.2) (D-ash) (Protein abelson)"
"64","GO:0008595",0.0311243858905287,0.999635287139474,1,4,"anterior/posterior axis specification, embryo","BP","P","developmental processes","PGEN_.00g204470","P41221","WNT5A_HUMAN","Protein Wnt-5a"
"65","GO:0061436",0.0315038681203491,0.999626278453832,1,4,"establishment of skin barrier","BP","P","developmental processes","PGEN_.00g211830","P16056","MET_MOUSE","Hepatocyte growth factor receptor (HGF receptor) (EC 2.7.10.1) (HGF/SF receptor) (Proto-oncogene c-Met) (Scatter factor receptor) (SF receptor) (Tyrosine-protein kinase Met)"
"66","GO:0048806",0.0321537902184067,0.999739679918259,1,2,"genitalia development","BP","P","developmental processes","PGEN_.00g204470","P41221","WNT5A_HUMAN","Protein Wnt-5a"
"67","GO:0060744",0.0326488744832301,0.999642709159194,1,3,"mammary gland branching involved in thelarche","BP","P","developmental processes","PGEN_.00g204470","P41221","WNT5A_HUMAN","Protein Wnt-5a"
"68","GO:0060740",0.0326709303944507,0.999642222636036,1,3,"prostate gland epithelium morphogenesis","BP","P","developmental processes","PGEN_.00g149640","Q80YX1","TENA_MOUSE","Tenascin (TN) (Hexabrachion) (Tenascin-C) (TN-C)"
"69","GO:0060065",0.0330467321533521,0.999633881320849,1,3,"uterus development","BP","P","developmental processes","PGEN_.00g204470","P41221","WNT5A_HUMAN","Protein Wnt-5a"
"70","GO:0060446",0.0349891579959001,0.999691292085943,1,2,"branching involved in open tracheal system development","BP","P","developmental processes","PGEN_.00g078310","P35992","PTP10_DROME","Tyrosine-protein phosphatase 10D (EC 3.1.3.48) (Receptor-linked protein-tyrosine phosphatase 10D) (DPTP10D)"
"71","GO:0061036",0.0363879112033878,0.99946739273954,1,5,"positive regulation of cartilage development","BP","P","developmental processes","PGEN_.00g204470","P41221","WNT5A_HUMAN","Protein Wnt-5a"
"72","GO:0021854",0.0393075757723621,0.999352104241441,1,6,"hypothalamus development","BP","P","developmental processes","PGEN_.00g167410","Q9Y2V3","RX_HUMAN","Retinal homeobox protein Rx (Retina and anterior neural fold homeobox protein)"
"73","GO:0021871",0.0398450515807405,0.999466082856665,1,3,"forebrain regionalization","BP","P","developmental processes","PGEN_.00g208580","Q3L254","WNT7B_CHICK","Protein Wnt-7b"
"74","GO:0070307",0.0399435762026614,0.999463414746112,1,3,"lens fiber cell development","BP","P","developmental processes","PGEN_.00g208580","Q3L254","WNT7B_CHICK","Protein Wnt-7b"
"75","GO:0007442",0.0402377508947273,0.99945540799856,1,3,"hindgut morphogenesis","BP","P","developmental processes","PGEN_.00g204470","P41221","WNT5A_HUMAN","Protein Wnt-5a"
"76","GO:0021785",0.0460949733467729,0.999283380123232,1,3,"branchiomotor neuron axon guidance","BP","P","developmental processes","PGEN_.00g279870","P00522","ABL_DROME","Tyrosine-protein kinase Abl (EC 2.7.10.2) (D-ash) (Protein abelson)"
"77","GO:0060441",0.0463031519236709,0.999134027015452,1,5,"epithelial tube branching involved in lung morphogenesis","BP","P","developmental processes","PGEN_.00g049510","Q8TDM6","DLG5_HUMAN","Disks large homolog 5 (Discs large protein P-dlg) (Placenta and prostate DLG)"
"78","GO:0048813",0.0464853551460499,0.995155165719004,2,32,"dendrite morphogenesis","BP","P","developmental processes","PGEN_.00g190430; PGEN_.00g279870","O75096; P00522","LRP4_HUMAN; ABL_DROME","Low-density lipoprotein receptor-related protein 4 (LRP-4) (Multiple epidermal growth factor-like domains 7); Tyrosine-protein kinase Abl (EC 2.7.10.2) (D-ash) (Protein abelson)"
"79","GO:0042733",0.0468875237502745,0.995097483049081,2,31,"embryonic digit morphogenesis","BP","P","developmental processes","PGEN_.00g190430; PGEN_.00g204470","O75096; P41221","LRP4_HUMAN; WNT5A_HUMAN","Low-density lipoprotein receptor-related protein 4 (LRP-4) (Multiple epidermal growth factor-like domains 7); Protein Wnt-5a"
"80","GO:0071300",0.000403872113991142,0.999988710393491,3,12,"cellular response to retinoic acid","BP","P","other biological processes","PGEN_.00g149640; PGEN_.00g204470; PGEN_.00g208580","Q80YX1; P41221; Q3L254","TENA_MOUSE; WNT5A_HUMAN; WNT7B_CHICK","Tenascin (TN) (Hexabrachion) (Tenascin-C) (TN-C); Protein Wnt-5a; Protein Wnt-7b"
"81","GO:0007599",0.00331759169684746,1,1,1,"hemostasis","BP","P","other biological processes","PGEN_.00g043300","Q07076","ANXA7_MOUSE","Annexin A7 (Annexin VII) (Annexin-7) (Synexin)"
"82","GO:0045446",0.00386030894336324,1,1,1,"endothelial cell differentiation","BP","P","other biological processes","PGEN_.00g165230","Q8IWY4","SCUB1_HUMAN","Signal peptide, CUB and EGF-like domain-containing protein 1"
"83","GO:0042752",0.00482773937940828,0.999631298238885,3,37,"regulation of circadian rhythm","BP","P","other biological processes","PGEN_.00g004840; PGEN_.00g072260; PGEN_.00g213360","P54646; Q5XXP2; Q14995","AAPK2_HUMAN; OPN4_PHOSU; NR1D2_HUMAN","5'-AMP-activated protein kinase catalytic subunit alpha-2 (AMPK subunit alpha-2) (EC 2.7.11.1) (Acetyl-CoA carboxylase kinase) (ACACA kinase) (EC 2.7.11.27) (Hydroxymethylglutaryl-CoA reductase kinase) (HMGCR kinase) (EC 2.7.11.31); Melanopsin (Opsin-4); Nuclear receptor subfamily 1 group D member 2 (Orphan nuclear hormone receptor BD73) (Rev-erb alpha-related receptor) (RVR) (Rev-erb-beta) (V-erbA-related protein 1-related) (EAR-1R)"
"84","GO:0036090",0.00491477608187445,1,1,1,"cleavage furrow ingression","BP","P","other biological processes","PGEN_.00g131030","Q9NXW9","ALKB4_HUMAN","Alpha-ketoglutarate-dependent dioxygenase alkB homolog 4 (Alkylated DNA repair protein alkB homolog 4) (DNA N6-methyl adenine demethylase ALKBH4) (EC 1.14.11.51) (Lysine-specific demethylase ALKBH4) (EC 1.14.11.-)"
"85","GO:0002724",0.00667377303213799,1,1,1,"regulation of T cell cytokine production","BP","P","other biological processes","PGEN_.00g252700","Q9ESQ5","TRPM4_RAT","Transient receptor potential cation channel subfamily M member 4 (Calcium-activated non-selective cation channel 1) (Long transient receptor potential channel 4) (LTrpC-4) (LTrpC4) (MLS2s) (Melastatin-like 2)"
"86","GO:0014812",0.00788319897833196,1,1,1,"muscle cell migration","BP","P","other biological processes","PGEN_.00g211830","P16056","MET_MOUSE","Hepatocyte growth factor receptor (HGF receptor) (EC 2.7.10.1) (HGF/SF receptor) (Proto-oncogene c-Met) (Scatter factor receptor) (SF receptor) (Tyrosine-protein kinase Met)"
"87","GO:0071635",0.00788319897833196,1,1,1,"negative regulation of transforming growth factor beta production","BP","P","other biological processes","PGEN_.00g211830","P16056","MET_MOUSE","Hepatocyte growth factor receptor (HGF receptor) (EC 2.7.10.1) (HGF/SF receptor) (Proto-oncogene c-Met) (Scatter factor receptor) (SF receptor) (Tyrosine-protein kinase Met)"
"88","GO:0071774",0.0103209957912234,1,1,1,"response to fibroblast growth factor","BP","P","other biological processes","PGEN_.00g149640","Q80YX1","TENA_MOUSE","Tenascin (TN) (Hexabrachion) (Tenascin-C) (TN-C)"
"89","GO:0071799",0.0103209957912234,1,1,1,"cellular response to prostaglandin D stimulus","BP","P","other biological processes","PGEN_.00g149640","Q80YX1","TENA_MOUSE","Tenascin (TN) (Hexabrachion) (Tenascin-C) (TN-C)"
"90","GO:0072710",0.01113845547432,0.9999690962213,1,2,"response to hydroxyurea","BP","P","other biological processes","PGEN_.00g024960","Q6BK42","DDI1_DEBHA","DNA damage-inducible protein 1 (EC 3.4.23.-)"
"91","GO:0086003",0.0115003363281374,1,1,1,"cardiac muscle cell contraction","BP","P","other biological processes","PGEN_.00g277910","Q61165","SL9A1_MOUSE","Sodium/hydrogen exchanger 1 (Na(+)/H(+) exchanger 1) (NHE-1) (Solute carrier family 9 member 1)"
"92","GO:0086092",0.0115003363281374,1,1,1,"regulation of the force of heart contraction by cardiac conduction","BP","P","other biological processes","PGEN_.00g277910","Q61165","SL9A1_MOUSE","Sodium/hydrogen exchanger 1 (Na(+)/H(+) exchanger 1) (NHE-1) (Solute carrier family 9 member 1)"
"93","GO:0042310",0.0115253147593736,0.99995590297727,1,3,"vasoconstriction","BP","P","other biological processes","PGEN_.00g252700","Q9ESQ5","TRPM4_RAT","Transient receptor potential cation channel subfamily M member 4 (Calcium-activated non-selective cation channel 1) (Long transient receptor potential channel 4) (LTrpC-4) (LTrpC4) (MLS2s) (Melastatin-like 2)"
"94","GO:0032504",0.0145038484043954,0.999947510453012,1,2,"multicellular organism reproduction","BP","P","other biological processes","PGEN_.00g015800","O76840","PPN1_CAEEL","Papilin (Abnormal cell migration protein 6)"
"95","GO:0032675",0.014533788553713,0.999947292716977,1,2,"regulation of interleukin-6 production","BP","P","other biological processes","PGEN_.00g211830","P16056","MET_MOUSE","Hepatocyte growth factor receptor (HGF receptor) (EC 2.7.10.1) (HGF/SF receptor) (Proto-oncogene c-Met) (Scatter factor receptor) (SF receptor) (Tyrosine-protein kinase Met)"
