"gene"	"adj.pval.treatment"	"scaffold"	"start"	"end"	"uniprot.id"	"uniprot_taxa.id"	"Uniprot.Name"	"GO.IDs"	"GO.Descript"
"PGEN_.00g127230"	5.78062987019941e-85	"Scaffold_05"	62825525	62833060	NA	NA	NA	NA	NA
"PGEN_.00g075700"	7.38480694579959e-69	"Scaffold_03"	50726782	50795337	"B3EWY9"	"MLP_ACRMI"	"Mucin-like protein (Fragment)"	"GO:0005509; GO:0007160; GO:0016021"	"integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]; cell-matrix adhesion [GO:0007160]"
"PGEN_.00g118900"	1.96422489705427e-54	"Scaffold_05"	40834506	40834850	NA	NA	NA	NA	NA
"PGEN_.00g034240"	3.11131376322576e-51	"Scaffold_02"	3271834	3272760	NA	NA	NA	NA	NA
"PGEN_.00g026390"	3.05595728180339e-50	"Scaffold_01"	72980147	73044811	NA	NA	NA	NA	NA
"PGEN_.00g167890"	6.52829419914431e-49	"Scaffold_07"	41687471	41690284	"Q91755"	"GRIK2_XENLA"	"Glutamate receptor ionotropic, kainate 2 (GluK2) (Glutamate receptor 6) (GluR-6) (GluR6) (Fragment)"	"GO:0005234; GO:0016021; GO:0030054; GO:0038023; GO:0045211"	"cell junction [GO:0030054]; integral component of membrane [GO:0016021]; postsynaptic membrane [GO:0045211]; extracellularly glutamate-gated ion channel activity [GO:0005234]; signaling receptor activity [GO:0038023]"
"PGEN_.00g343550"	2.37886111153382e-47	"Scaffold_18"	11584930	11633097	NA	NA	NA	NA	NA
"PGEN_.00g073580"	1.62859970255121e-45	"Scaffold_03"	43761204	43771849	NA	NA	NA	NA	NA
"PGEN_.00g295480"	3.76712538415412e-45	"Scaffold_14"	43606617	43620277	NA	NA	NA	NA	NA
"PGEN_.00g140310"	5.26842040962265e-42	"Scaffold_06"	28097745	28112985	NA	NA	NA	NA	NA
"PGEN_.00g104730"	1.47091213553068e-40	"Scaffold_05"	2521223	2525989	NA	NA	NA	NA	NA
"PGEN_.00g149270"	9.09340806830969e-40	"Scaffold_06"	52589119	52589562	NA	NA	NA	NA	NA
"PGEN_.00g322650"	6.21259310384545e-39	"Scaffold_16"	18248077	18261946	"P22699"	"GUN6_DICDI"	"Endoglucanase (EC 3.2.1.4) (Cellulase) (Endo-1,4-beta-glucanase) (Spore germination protein 270-6)"	"GO:0005576; GO:0008810; GO:0009847; GO:0030245; GO:0030248; GO:0030435"	"extracellular region [GO:0005576]; cellulase activity [GO:0008810]; cellulose binding [GO:0030248]; cellulose catabolic process [GO:0030245]; spore germination [GO:0009847]; sporulation resulting in formation of a cellular spore [GO:0030435]"
"PGEN_.00g065810"	3.5132330262071e-37	"Scaffold_03"	21694162	21695921	NA	NA	NA	NA	NA
"PGEN_.00g129780"	3.33954549295145e-34	"Scaffold_06"	2364924	2385026	"P61315"	"G3ST3_MOUSE"	"Galactose-3-O-sulfotransferase 3 (Gal3ST-3) (EC 2.8.2.-) (Beta-galactose-3-O-sulfotransferase 3) (Gal-beta-1, 3-GalNAc 3'-sulfotransferase 3)"	"GO:0001733; GO:0009247; GO:0016021; GO:0032580; GO:0050694"	"Golgi cisterna membrane [GO:0032580]; integral component of membrane [GO:0016021]; galactose 3-O-sulfotransferase activity [GO:0050694]; galactosylceramide sulfotransferase activity [GO:0001733]; glycolipid biosynthetic process [GO:0009247]"
"PGEN_.00g133900"	2.09354317719423e-33	"Scaffold_06"	12195683	12196330	NA	NA	NA	NA	NA
"PGEN_.00g186290"	3.84393789529199e-32	"Scaffold_08"	47925610	47932879	NA	NA	NA	NA	NA
"PGEN_.00g261240"	3.95411002727898e-32	"Scaffold_13"	4223676	4325173	"P25107"	"PTH1R_DIDVI"	"Parathyroid hormone/parathyroid hormone-related peptide receptor (PTH/PTHrP type I receptor) (PTH/PTHr receptor) (Parathyroid hormone 1 receptor) (PTH1 receptor)"	"GO:0004991; GO:0005887; GO:0007166; GO:0007188; GO:0007189; GO:0017046; GO:0042803; GO:0043621"	"integral component of plasma membrane [GO:0005887]; parathyroid hormone receptor activity [GO:0004991]; peptide hormone binding [GO:0017046]; protein homodimerization activity [GO:0042803]; protein self-association [GO:0043621]; adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0007189]; adenylate cyclase-modulating G protein-coupled receptor signaling pathway [GO:0007188]; cell surface receptor signaling pathway [GO:0007166]"
"PGEN_.00g279140"	4.33296014006974e-32	"Scaffold_14"	6934908	6946622	"P50164"	"TRN2_HYONI"	"Tropinone reductase 2 (EC 1.1.1.236) (Tropinone reductase II) (TR-II)"	"GO:0009710; GO:0050358"	"tropinone reductase activity [GO:0050358]; tropane alkaloid biosynthetic process [GO:0009710]"
"PGEN_.00g036880"	6.96623666123121e-32	"Scaffold_02"	9717263	9781629	"Q68CJ6"	"SLIP_HUMAN"	"Nuclear GTPase SLIP-GC (EC 3.6.1.-) (Speckled-like pattern in the germinal center)"	"GO:0003924; GO:0005525; GO:0016607; GO:0033262; GO:0043066; GO:0071222"	"nuclear speck [GO:0016607]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; cellular response to lipopolysaccharide [GO:0071222]; negative regulation of apoptotic process [GO:0043066]; regulation of nuclear cell cycle DNA replication [GO:0033262]"
"PGEN_.00g068720"	1.18792217701176e-31	"Scaffold_03"	29524834	29525839	NA	NA	NA	NA	NA
"PGEN_.00g139560"	1.16180398247605e-27	"Scaffold_06"	25734949	25736806	NA	NA	NA	NA	NA
"PGEN_.00g231770"	2.3828925445963e-27	"Scaffold_11"	22208396	22220228	NA	NA	NA	NA	NA
"PGEN_.00g291920"	1.27187131916746e-26	"Scaffold_14"	35980565	35989129	NA	NA	NA	NA	NA
"PGEN_.00g233360"	1.32192603006435e-26	"Scaffold_11"	26583481	26583714	NA	NA	NA	NA	NA
"PGEN_.00g139570"	1.51327390347496e-26	"Scaffold_06"	25736847	25737710	NA	NA	NA	NA	NA
"PGEN_.00g316200"	2.37757352243637e-25	"Scaffold_16"	891188	960534	"O00411"	"RPOM_HUMAN"	"DNA-directed RNA polymerase, mitochondrial (MtRPOL) (EC 2.7.7.6)"	"GO:0001018; GO:0003723; GO:0003899; GO:0005739; GO:0005759; GO:0006390; GO:0006391; GO:0007005; GO:0032991; GO:0034245; GO:0042645; GO:0043565"	"mitochondrial DNA-directed RNA polymerase complex [GO:0034245]; mitochondrial matrix [GO:0005759]; mitochondrial nucleoid [GO:0042645]; mitochondrion [GO:0005739]; protein-containing complex [GO:0032991]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; mitochondrial promoter sequence-specific DNA binding [GO:0001018]; RNA binding [GO:0003723]; sequence-specific DNA binding [GO:0043565]; mitochondrial transcription [GO:0006390]; mitochondrion organization [GO:0007005]; transcription initiation from mitochondrial promoter [GO:0006391]"
"PGEN_.00g120380"	3.35195943848592e-25	"Scaffold_05"	45416815	45417542	NA	NA	NA	NA	NA
"PGEN_.00g081970"	1.21174966308576e-23	"Scaffold_04"	8982060	8990581	NA	NA	NA	NA	NA
"PGEN_.00g208580"	2.06883796864836e-23	"Scaffold_10"	11353032	11413765	"Q3L254"	"WNT7B_CHICK"	"Protein Wnt-7b"	"GO:0005109; GO:0005615; GO:0016055; GO:0021871; GO:0030182; GO:0045165; GO:0046330; GO:0048018; GO:0048144; GO:0060070; GO:0070307; GO:0071300; GO:0072089"	"extracellular space [GO:0005615]; frizzled binding [GO:0005109]; receptor ligand activity [GO:0048018]; canonical Wnt signaling pathway [GO:0060070]; cell fate commitment [GO:0045165]; cellular response to retinoic acid [GO:0071300]; fibroblast proliferation [GO:0048144]; forebrain regionalization [GO:0021871]; lens fiber cell development [GO:0070307]; neuron differentiation [GO:0030182]; positive regulation of JNK cascade [GO:0046330]; stem cell proliferation [GO:0072089]; Wnt signaling pathway [GO:0016055]"
"PGEN_.00g198290"	5.30793545591905e-23	"Scaffold_09"	21131080	21133028	NA	NA	NA	NA	NA
"PGEN_.00g034230"	2.07532899219879e-22	"Scaffold_02"	3270822	3271806	NA	NA	NA	NA	NA
"PGEN_.00g291910"	2.05542574240784e-21	"Scaffold_14"	35949839	35966065	"Q4PJX1"	"ODR4_MOUSE"	"Protein odr-4 homolog (mODR-4)"	"GO:0008104; GO:0016021"	"integral component of membrane [GO:0016021]; protein localization [GO:0008104]"
"PGEN_.00g271690"	3.05153756741571e-21	"Scaffold_13"	33051729	33056559	NA	NA	NA	NA	NA
"PGEN_.00g317860"	1.88037295962863e-19	"Scaffold_16"	5651889	5678729	NA	NA	NA	NA	NA
"PGEN_.00g017320"	2.06181671744443e-19	"Scaffold_01"	46778649	46781301	NA	NA	NA	NA	NA
"PGEN_.00g168070"	2.28001361138972e-19	"Scaffold_07"	42236821	42237171	NA	NA	NA	NA	NA
"PGEN_.00g083720"	7.39365831743187e-18	"Scaffold_04"	12680281	12726317	"Q60949"	"TBCD1_MOUSE"	"TBC1 domain family member 1"	"GO:0005096; GO:0005634; GO:0005829; GO:0006886; GO:0017137; GO:0032880; GO:0090630"	"cytosol [GO:0005829]; nucleus [GO:0005634]; GTPase activator activity [GO:0005096]; Rab GTPase binding [GO:0017137]; activation of GTPase activity [GO:0090630]; intracellular protein transport [GO:0006886]; regulation of protein localization [GO:0032880]"
"PGEN_.00g295080"	8.77393502695559e-18	"Scaffold_14"	43231713	43232399	NA	NA	NA	NA	NA
"PGEN_.00g071370"	8.78711765347601e-18	"Scaffold_03"	37803100	37827769	"Q9D0N7"	"CAF1B_MOUSE"	"Chromatin assembly factor 1 subunit B (CAF-1 subunit B) (Chromatin assembly factor I p60 subunit) (CAF-I 60 kDa subunit) (CAF-I p60)"	"GO:0000790; GO:0005634; GO:0005654; GO:0006260; GO:0006281; GO:0006334; GO:0006335; GO:0007049; GO:0031497; GO:0032991; GO:0033186; GO:0042393"	"CAF-1 complex [GO:0033186]; nuclear chromatin [GO:0000790]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; histone binding [GO:0042393]; cell cycle [GO:0007049]; chromatin assembly [GO:0031497]; DNA repair [GO:0006281]; DNA replication [GO:0006260]; DNA replication-dependent nucleosome assembly [GO:0006335]; nucleosome assembly [GO:0006334]"
"PGEN_.00g213350"	1.52050139781269e-17	"Scaffold_10"	24367809	24391529	"Q5U3U3"	"CPT2_DANRE"	"Carnitine O-palmitoyltransferase 2, mitochondrial (EC 2.3.1.21) (Carnitine palmitoyltransferase II) (CPT II)"	"GO:0004095; GO:0005739; GO:0005743; GO:0006635"	"mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; carnitine O-palmitoyltransferase activity [GO:0004095]; fatty acid beta-oxidation [GO:0006635]"
"PGEN_.00g166530"	2.2805552933317e-17	"Scaffold_07"	37881004	37904577	"Q29RK9"	"MOB3B_BOVIN"	"MOB kinase activator 3B (Mob1 homolog 2b) (Mps one binder kinase activator-like 2B)"	"GO:0035330; GO:0046872"	"metal ion binding [GO:0046872]; regulation of hippo signaling [GO:0035330]"
"PGEN_.00g279870"	5.7487155105562e-17	"Scaffold_14"	9058523	9112116	"P00522"	"ABL_DROME"	"Tyrosine-protein kinase Abl (EC 2.7.10.2) (D-ash) (Protein abelson)"	"GO:0001764; GO:0003382; GO:0003401; GO:0004713; GO:0004715; GO:0005524; GO:0005737; GO:0005829; GO:0005911; GO:0005912; GO:0005927; GO:0005938; GO:0007268; GO:0007303; GO:0007370; GO:0007391; GO:0007409; GO:0007411; GO:0007417; GO:0007419; GO:0007611; GO:0008045; GO:0008064; GO:0008360; GO:0010592; GO:0010977; GO:0016199; GO:0018108; GO:0019897; GO:0021785; GO:0030424; GO:0031647; GO:0032880; GO:0045179; GO:0045202; GO:0045886; GO:0046777; GO:0046827; GO:0048749; GO:0048813; GO:0072499"	"adherens junction [GO:0005912]; apical cortex [GO:0045179]; axon [GO:0030424]; cell cortex [GO:0005938]; cell-cell junction [GO:0005911]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extrinsic component of plasma membrane [GO:0019897]; muscle tendon junction [GO:0005927]; synapse [GO:0045202]; ATP binding [GO:0005524]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]; protein tyrosine kinase activity [GO:0004713]; axis elongation [GO:0003401]; axon guidance [GO:0007411]; axon midline choice point recognition [GO:0016199]; axonogenesis [GO:0007409]; branchiomotor neuron axon guidance [GO:0021785]; central nervous system development [GO:0007417]; chemical synaptic transmission [GO:0007268]; compound eye development [GO:0048749]; cytoplasmic transport, nurse cell to oocyte [GO:0007303]; dendrite morphogenesis [GO:0048813]; dorsal closure [GO:0007391]; epithelial cell morphogenesis [GO:0003382]; learning or memory [GO:0007611]; motor neuron axon guidance [GO:0008045]; negative regulation of neuron projection development [GO:0010977]; negative regulation of synaptic growth at neuromuscular junction [GO:0045886]; neuron migration [GO:0001764]; peptidyl-tyrosine phosphorylation [GO:0018108]; photoreceptor cell axon guidance [GO:0072499]; positive regulation of lamellipodium assembly [GO:0010592]; positive regulation of protein export from nucleus [GO:0046827]; protein autophosphorylation [GO:0046777]; regulation of actin polymerization or depolymerization [GO:0008064]; regulation of cell shape [GO:0008360]; regulation of protein localization [GO:0032880]; regulation of protein stability [GO:0031647]; ventral cord development [GO:0007419]; ventral furrow formation [GO:0007370]"
"PGEN_.00g001170"	7.45483338271939e-17	"Scaffold_01"	2366888	2417042	"Q66HA5"	"C2D1A_RAT"	"Coiled-coil and C2 domain-containing protein 1A (Five prime repressor element under dual repression-binding protein 1) (FRE under dual repression-binding protein 1) (Freud-1)"	"GO:0000122; GO:0000978; GO:0001227; GO:0001650; GO:0005634; GO:0005815; GO:0005829; GO:0005886"	"cytosol [GO:0005829]; fibrillar center [GO:0001650]; microtubule organizing center [GO:0005815]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; negative regulation of transcription by RNA polymerase II [GO:0000122]"
"PGEN_.00g035080"	3.1185134679863e-16	"Scaffold_02"	5299978	5302086	NA	NA	NA	NA	NA
"PGEN_.00g299000"	3.1185134679863e-16	"Scaffold_15"	5115847	5179865	"Q9Y6R7"	"FCGBP_HUMAN"	"IgGFc-binding protein (Fcgamma-binding protein antigen) (FcgammaBP)"	"GO:0070062"	"extracellular exosome [GO:0070062]"
"PGEN_.00g278820"	1.1821022157693e-15	"Scaffold_14"	6530037	6533107	NA	NA	NA	NA	NA
"PGEN_.00g103590"	8.25567836795682e-15	"Scaffold_04"	64746021	64753853	NA	NA	NA	NA	NA
"PGEN_.00g294360"	9.6322060364295e-15	"Scaffold_14"	41219559	41225820	NA	NA	NA	NA	NA
"PGEN_.00g149640"	1.05866975818683e-14	"Scaffold_06"	53208943	53234353	"Q80YX1"	"TENA_MOUSE"	"Tenascin (TN) (Hexabrachion) (Tenascin-C) (TN-C)"	"GO:0001968; GO:0005576; GO:0005604; GO:0005614; GO:0005615; GO:0007155; GO:0007162; GO:0007528; GO:0008284; GO:0009612; GO:0010628; GO:0014012; GO:0031012; GO:0031175; GO:0042060; GO:0042475; GO:0045471; GO:0045545; GO:0060447; GO:0060739; GO:0060740; GO:0062023; GO:0071300; GO:0071305; GO:0071774; GO:0071799; GO:0098966"	"basement membrane [GO:0005604]; collagen-containing extracellular matrix [GO:0062023]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; interstitial matrix [GO:0005614]; perisynaptic extracellular matrix [GO:0098966]; fibronectin binding [GO:0001968]; syndecan binding [GO:0045545]; bud outgrowth involved in lung branching [GO:0060447]; cell adhesion [GO:0007155]; cellular response to prostaglandin D stimulus [GO:0071799]; cellular response to retinoic acid [GO:0071300]; cellular response to vitamin D [GO:0071305]; mesenchymal-epithelial cell signaling involved in prostate gland development [GO:0060739]; negative regulation of cell adhesion [GO:0007162]; neuromuscular junction development [GO:0007528]; neuron projection development [GO:0031175]; odontogenesis of dentin-containing tooth [GO:0042475]; peripheral nervous system axon regeneration [GO:0014012]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of gene expression [GO:0010628]; prostate gland epithelium morphogenesis [GO:0060740]; response to ethanol [GO:0045471]; response to fibroblast growth factor [GO:0071774]; response to mechanical stimulus [GO:0009612]; wound healing [GO:0042060]"
"PGEN_.00g075170"	2.5400692765923e-14	"Scaffold_03"	49428992	49458157	NA	NA	NA	NA	NA
"PGEN_.00g302860"	2.72150248348314e-14	"Scaffold_15"	14475444	14494663	"Q6NT16"	"S18B1_HUMAN"	"MFS-type transporter SLC18B1 (Solute carrier family 18 member B1)"	"GO:0016021; GO:0055085"	"integral component of membrane [GO:0016021]; transmembrane transport [GO:0055085]"
"PGEN_.00g067240"	3.21956844960923e-14	"Scaffold_03"	25938530	25940805	NA	NA	NA	NA	NA
"PGEN_.00g139540"	6.16505877706723e-14	"Scaffold_06"	25730920	25732298	NA	NA	NA	NA	NA
"PGEN_.00g328520"	6.16505877706723e-14	"Scaffold_17"	3621305	3650133	NA	NA	NA	NA	NA
