"gene"	"adj.pval.Initial.Treatment"	"adj.pval.treatment"	"adj.pval.treatment1"	"adj.pval.treatment2"	"adj.pval.treatment1_x_treatment2"	"scaffold"	"start"	"end"	"uniprot.id"	"uniprot_taxa.id"	"Uniprot.Name"	"GO.IDs"	"GO.Descript"
"PGEN_.00g013900"	0.00469925640384677	7.00933470538692e-08	0.0120237907619246	0.890237633847774	0.458206726104249	"Scaffold_01"	35824608	35872288	"Q80TN7"	"NAV3_MOUSE"	"Neuron navigator 3 (Pore membrane and/or filament-interacting-like protein 1)"	"GO:0005524; GO:0005634; GO:0005635; GO:0005640; GO:0007026; GO:0007399; GO:0008017; GO:0022008; GO:0030336; GO:0031116; GO:0032703; GO:1905929"	"nuclear envelope [GO:0005635]; nuclear outer membrane [GO:0005640]; nucleus [GO:0005634]; ATP binding [GO:0005524]; microtubule binding [GO:0008017]; negative regulation of cell migration [GO:0030336]; negative regulation of interleukin-2 production [GO:0032703]; negative regulation of microtubule depolymerization [GO:0007026]; nervous system development [GO:0007399]; neurogenesis [GO:0022008]; positive regulation of invadopodium disassembly [GO:1905929]; positive regulation of microtubule polymerization [GO:0031116]"
"PGEN_.00g014370"	1.70620738963666e-09	2.05445460074268e-06	0.00406282761244884	0.00259791257881056	0.0104543663927488	"Scaffold_01"	37277926	37336883	"Q11002"	"CANA_DROME"	"Calpain-A (EC 3.4.22.-) (Calcium-activated neutral proteinase A) (CANP A) [Cleaved into: Calpain-A catalytic subunit]"	"GO:0004198; GO:0005509; GO:0005737; GO:0006508; GO:0007520; GO:0008340; GO:0008345; GO:0009953; GO:0015629; GO:0016322; GO:0016540; GO:0042335; GO:0043025; GO:0050832"	"actin cytoskeleton [GO:0015629]; cytoplasm [GO:0005737]; neuronal cell body [GO:0043025]; calcium ion binding [GO:0005509]; calcium-dependent cysteine-type endopeptidase activity [GO:0004198]; cuticle development [GO:0042335]; defense response to fungus [GO:0050832]; determination of adult lifespan [GO:0008340]; dorsal/ventral pattern formation [GO:0009953]; larval locomotory behavior [GO:0008345]; myoblast fusion [GO:0007520]; neuron remodeling [GO:0016322]; protein autoprocessing [GO:0016540]; proteolysis [GO:0006508]"
"PGEN_.00g015010"	0.0109785252747162	1.04190684356378e-06	0.797384752225542	0.128467159589006	0.342548487415306	"Scaffold_01"	39289419	39293531	"Q80TF4"	"KLH13_MOUSE"	"Kelch-like protein 13 (BTB and kelch domain-containing protein 2)"	"GO:0004842; GO:0007049; GO:0016567; GO:0030496; GO:0031463; GO:0032465; GO:0051301"	"Cul3-RING ubiquitin ligase complex [GO:0031463]; midbody [GO:0030496]; ubiquitin-protein transferase activity [GO:0004842]; cell cycle [GO:0007049]; cell division [GO:0051301]; protein ubiquitination [GO:0016567]; regulation of cytokinesis [GO:0032465]"
"PGEN_.00g015800"	0.0448864748430486	0.00862092420180269	0.0160039428115054	0.0113906557775984	4.87531266443674e-05	"Scaffold_01"	42028001	42054472	"O76840"	"PPN1_CAEEL"	"Papilin (Abnormal cell migration protein 6)"	"GO:0000902; GO:0002119; GO:0004867; GO:0005604; GO:0008233; GO:0009792; GO:0032504; GO:0048598"	"basement membrane [GO:0005604]; peptidase activity [GO:0008233]; serine-type endopeptidase inhibitor activity [GO:0004867]; cell morphogenesis [GO:0000902]; embryo development ending in birth or egg hatching [GO:0009792]; embryonic morphogenesis [GO:0048598]; multicellular organism reproduction [GO:0032504]; nematode larval development [GO:0002119]"
"PGEN_.00g017070"	0.0332579974210118	9.35709149890714e-05	0.334502604767809	6.19028076537934e-07	7.91192327478068e-12	"Scaffold_01"	46195246	46202441	NA	NA	NA	NA	NA
"PGEN_.00g017150"	0.000465411180605376	0.000130672457165946	8.62299060493914e-08	9.65178093673973e-52	3.18803069194417e-07	"Scaffold_01"	46434018	46434647	NA	NA	NA	NA	NA
"PGEN_.00g017310"	1.17573774313383e-10	0.0393917553598128	3.14022151741318e-11	0.137085189814862	0.000119963115585584	"Scaffold_01"	46757099	46776661	NA	NA	NA	NA	NA
"PGEN_.00g017320"	0.0273209392323238	2.06181671744443e-19	0.0133521386531733	1.27673576848941e-09	3.14788008446228e-09	"Scaffold_01"	46778649	46781301	NA	NA	NA	NA	NA
"PGEN_.00g017330"	0.00344906845668191	0.001187110381192	0.67280578686132	2.38829021191364e-09	0.0529189945396207	"Scaffold_01"	46781408	46781914	NA	NA	NA	NA	NA
"PGEN_.00g018310"	0.00424943569897693	1.64830249254586e-05	0.00690773428957371	0.863300868930797	0.593660944784884	"Scaffold_01"	49450969	49487609	NA	NA	NA	NA	NA
"PGEN_.00g024960"	3.66823287791257e-16	0.0159515773503008	2.31271601776261e-09	0.562406348279618	1.83265219542495e-05	"Scaffold_01"	69278011	69280314	"Q6BK42"	"DDI1_DEBHA"	"DNA damage-inducible protein 1 (EC 3.4.23.-)"	"GO:0000149; GO:0004190; GO:0005737; GO:0005886; GO:0009306; GO:0043130; GO:0043328; GO:0045740; GO:0072710"	"cytoplasm [GO:0005737]; plasma membrane [GO:0005886]; aspartic-type endopeptidase activity [GO:0004190]; SNARE binding [GO:0000149]; ubiquitin binding [GO:0043130]; positive regulation of DNA replication [GO:0045740]; protein secretion [GO:0009306]; protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway [GO:0043328]; response to hydroxyurea [GO:0072710]"
"PGEN_.00g026390"	7.31335854251375e-11	3.05595728180339e-50	4.94641495965753e-38	7.7490249359734e-50	0.00179006401066496	"Scaffold_01"	72980147	73044811	NA	NA	NA	NA	NA
"PGEN_.00g026840"	0.0111479923082527	0.0188982966482265	0.0517499035056308	1.28088494363987e-10	0.831194088014895	"Scaffold_01"	74227898	74278041	NA	NA	NA	NA	NA
"PGEN_.00g029240"	0.00138873349959729	0.0301972513486272	0.898606764233744	0.0608955487652723	0.10836920918463	"Scaffold_01"	80336882	80352069	"Q86VZ4"	"LRP11_HUMAN"	"Low-density lipoprotein receptor-related protein 11 (LRP-11)"	"GO:0005886; GO:0009408; GO:0009409; GO:0009414; GO:0009612; GO:0016021; GO:0033555; GO:0035902; GO:0042594; GO:0051219"	"integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; phosphoprotein binding [GO:0051219]; multicellular organismal response to stress [GO:0033555]; response to cold [GO:0009409]; response to heat [GO:0009408]; response to immobilization stress [GO:0035902]; response to mechanical stimulus [GO:0009612]; response to starvation [GO:0042594]; response to water deprivation [GO:0009414]"
"PGEN_.00g031500"	0.0497911754776876	0.014693903990529	0.221331088819936	0.928291361859063	0.000278624446369906	"Scaffold_01"	86019349	86035420	"Q9WVL1"	"AP4S1_MOUSE"	"AP-4 complex subunit sigma-1 (AP-4 adaptor complex subunit sigma-1) (Adaptor-related protein complex 4 subunit sigma-1) (Sigma-1 subunit of AP-4) (Sigma-4-adaptin) (Sigma4-adaptin)"	"GO:0005802; GO:0006886; GO:0016192; GO:0030124; GO:0043231"	"AP-4 adaptor complex [GO:0030124]; intracellular membrane-bounded organelle [GO:0043231]; trans-Golgi network [GO:0005802]; intracellular protein transport [GO:0006886]; vesicle-mediated transport [GO:0016192]"
"PGEN_.00g032670"	0.0324329269960928	7.59697132011751e-05	0.235705632747363	0.698309813509642	1.8276178461176e-07	"Scaffold_01"	88357420	88371915	NA	NA	NA	NA	NA
"PGEN_.00g033560"	0.0370901930888757	0.0242107703626099	0.849782386005903	0.723220146665289	0.117205274679356	"Scaffold_02"	941000	997104	"Q922B6"	"TRAF7_MOUSE"	"E3 ubiquitin-protein ligase TRAF7 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase TRAF7) (TNF receptor-associated factor 7)"	"GO:0000122; GO:0000151; GO:0000185; GO:0004842; GO:0005634; GO:0005829; GO:0005886; GO:0006915; GO:0008270; GO:0016567; GO:0031410; GO:0032880; GO:0033235; GO:0043231; GO:0043410; GO:0048471; GO:0070372; GO:0071354; GO:2001235"	"cytoplasmic vesicle [GO:0031410]; cytosol [GO:0005829]; intracellular membrane-bounded organelle [GO:0043231]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; ubiquitin ligase complex [GO:0000151]; ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]; activation of MAPKKK activity [GO:0000185]; apoptotic process [GO:0006915]; cellular response to interleukin-6 [GO:0071354]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of apoptotic signaling pathway [GO:2001235]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of protein sumoylation [GO:0033235]; protein ubiquitination [GO:0016567]; regulation of ERK1 and ERK2 cascade [GO:0070372]; regulation of protein localization [GO:0032880]"
"PGEN_.00g034240"	0.00152181120997804	3.11131376322576e-51	1.91958671964337e-08	2.59716351402306e-38	0.00128037626876559	"Scaffold_02"	3271834	3272760	NA	NA	NA	NA	NA
"PGEN_.00g034500"	8.21179467480937e-08	2.64063256239525e-05	0.00019050456341683	0.395181762865409	5.01710860290555e-12	"Scaffold_02"	4049426	4050256	NA	NA	NA	NA	NA
"PGEN_.00g035080"	1.56358602829197e-39	3.1185134679863e-16	3.38280851055137e-27	0.972814924689626	5.36501365277532e-14	"Scaffold_02"	5299978	5302086	NA	NA	NA	NA	NA
"PGEN_.00g035760"	6.22247172709681e-05	0.00292550877878798	0.461126308839813	0.607708971497951	0.744526085889442	"Scaffold_02"	6933686	6957520	"Q13976"	"KGP1_HUMAN"	"cGMP-dependent protein kinase 1 (cGK 1) (cGK1) (EC 2.7.11.12) (cGMP-dependent protein kinase I) (cGKI)"	"GO:0001764; GO:0004672; GO:0004692; GO:0005246; GO:0005524; GO:0005737; GO:0005794; GO:0005829; GO:0005886; GO:0006468; GO:0007165; GO:0016358; GO:0019934; GO:0030036; GO:0030553; GO:0030900; GO:0042802; GO:0043087; GO:0060087; GO:0090331; GO:1904706; GO:1904753"	"cytoplasm [GO:0005737]; cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; calcium channel regulator activity [GO:0005246]; cGMP binding [GO:0030553]; cGMP-dependent protein kinase activity [GO:0004692]; identical protein binding [GO:0042802]; protein kinase activity [GO:0004672]; actin cytoskeleton organization [GO:0030036]; cGMP-mediated signaling [GO:0019934]; dendrite development [GO:0016358]; forebrain development [GO:0030900]; negative regulation of platelet aggregation [GO:0090331]; negative regulation of vascular associated smooth muscle cell migration [GO:1904753]; negative regulation of vascular smooth muscle cell proliferation [GO:1904706]; neuron migration [GO:0001764]; protein phosphorylation [GO:0006468]; regulation of GTPase activity [GO:0043087]; relaxation of vascular smooth muscle [GO:0060087]; signal transduction [GO:0007165]"
"PGEN_.00g036880"	6.7729811232642e-10	6.96623666123121e-32	9.69173535319886e-08	1.71224287938361e-09	5.00424055356305e-19	"Scaffold_02"	9717263	9781629	"Q68CJ6"	"SLIP_HUMAN"	"Nuclear GTPase SLIP-GC (EC 3.6.1.-) (Speckled-like pattern in the germinal center)"	"GO:0003924; GO:0005525; GO:0016607; GO:0033262; GO:0043066; GO:0071222"	"nuclear speck [GO:0016607]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; cellular response to lipopolysaccharide [GO:0071222]; negative regulation of apoptotic process [GO:0043066]; regulation of nuclear cell cycle DNA replication [GO:0033262]"
"PGEN_.00g038260"	8.44520302431376e-23	0.000231370261912437	0.0915477815262009	1.49399416174073e-39	2.31939714568969e-11	"Scaffold_02"	13711841	13715006	NA	NA	NA	NA	NA
"PGEN_.00g043300"	1.25560824804514e-10	8.84728382564009e-07	0.0915618128198636	0.381217673069422	0.000284358112645362	"Scaffold_02"	28520130	28523424	"Q07076"	"ANXA7_MOUSE"	"Annexin A7 (Annexin VII) (Annexin-7) (Synexin)"	"GO:0005178; GO:0005509; GO:0005544; GO:0005623; GO:0005634; GO:0005635; GO:0005789; GO:0005829; GO:0005886; GO:0006874; GO:0006914; GO:0007599; GO:0008283; GO:0008360; GO:0009651; GO:0009992; GO:0010629; GO:0014070; GO:0030855; GO:0031982; GO:0042584; GO:0042802; GO:0048306; GO:0051592; GO:0061025; GO:0062023"	"cell [GO:0005623]; chromaffin granule membrane [GO:0042584]; collagen-containing extracellular matrix [GO:0062023]; cytosol [GO:0005829]; endoplasmic reticulum membrane [GO:0005789]; nuclear envelope [GO:0005635]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; vesicle [GO:0031982]; calcium ion binding [GO:0005509]; calcium-dependent phospholipid binding [GO:0005544]; calcium-dependent protein binding [GO:0048306]; identical protein binding [GO:0042802]; integrin binding [GO:0005178]; autophagy [GO:0006914]; cell population proliferation [GO:0008283]; cellular calcium ion homeostasis [GO:0006874]; cellular water homeostasis [GO:0009992]; epithelial cell differentiation [GO:0030855]; hemostasis [GO:0007599]; membrane fusion [GO:0061025]; negative regulation of gene expression [GO:0010629]; regulation of cell shape [GO:0008360]; response to calcium ion [GO:0051592]; response to organic cyclic compound [GO:0014070]; response to salt stress [GO:0009651]"
"PGEN_.00g043790"	1.30324415425435e-73	3.63466678995771e-210	7.06551032089653e-28	4.24627373070728e-55	3.10351297916826e-20	"Scaffold_02"	29899614	29910977	"P97346"	"NXN_MOUSE"	"Nucleoredoxin (EC 1.8.1.8) (Protein Red-1)"	"GO:0001701; GO:0004791; GO:0005623; GO:0005634; GO:0005829; GO:0016055; GO:0030154; GO:0030178; GO:0031397; GO:0045454; GO:0047134; GO:0072358"	"cell [GO:0005623]; cytosol [GO:0005829]; nucleus [GO:0005634]; protein-disulfide reductase activity [GO:0047134]; thioredoxin-disulfide reductase activity [GO:0004791]; cardiovascular system development [GO:0072358]; cell differentiation [GO:0030154]; cell redox homeostasis [GO:0045454]; in utero embryonic development [GO:0001701]; negative regulation of protein ubiquitination [GO:0031397]; negative regulation of Wnt signaling pathway [GO:0030178]; Wnt signaling pathway [GO:0016055]"
"PGEN_.00g044020"	0.0121076436468167	2.27193922032156e-06	0.0291540243889664	0.149076045929011	6.39041233210075e-14	"Scaffold_02"	30569087	30571600	NA	NA	NA	NA	NA
"PGEN_.00g049230"	2.1697504958786e-267	1.5738708289457e-07	3.51622207898665e-35	0.396998882043887	4.54420829374723e-34	"Scaffold_02"	44783604	44801307	NA	NA	NA	NA	NA
"PGEN_.00g049510"	1.69471269667713e-09	0.000461824836222987	0.193385725928584	0.163904185669909	0.861620784183091	"Scaffold_02"	45350315	45373894	"Q8TDM6"	"DLG5_HUMAN"	"Disks large homolog 5 (Discs large protein P-dlg) (Placenta and prostate DLG)"	"GO:0001837; GO:0005737; GO:0005886; GO:0005913; GO:0007165; GO:0008013; GO:0008092; GO:0008285; GO:0014069; GO:0030011; GO:0030054; GO:0030159; GO:0030336; GO:0030859; GO:0030901; GO:0035331; GO:0035332; GO:0035556; GO:0036064; GO:0042130; GO:0042981; GO:0045176; GO:0045186; GO:0045197; GO:0045880; GO:0051965; GO:0060441; GO:0060999; GO:0065003; GO:0071896; GO:0072205; GO:0098609"	"cell junction [GO:0030054]; cell-cell adherens junction [GO:0005913]; ciliary basal body [GO:0036064]; cytoplasm [GO:0005737]; plasma membrane [GO:0005886]; postsynaptic density [GO:0014069]; beta-catenin binding [GO:0008013]; cytoskeletal protein binding [GO:0008092]; receptor signaling complex adaptor activity [GO:0030159]; apical protein localization [GO:0045176]; cell-cell adhesion [GO:0098609]; epithelial to mesenchymal transition [GO:0001837]; epithelial tube branching involved in lung morphogenesis [GO:0060441]; establishment or maintenance of epithelial cell apical/basal polarity [GO:0045197]; intracellular signal transduction [GO:0035556]; maintenance of cell polarity [GO:0030011]; metanephric collecting duct development [GO:0072205]; midbrain development [GO:0030901]; negative regulation of cell migration [GO:0030336]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of hippo signaling [GO:0035331]; negative regulation of T cell proliferation [GO:0042130]; polarized epithelial cell differentiation [GO:0030859]; positive regulation of dendritic spine development [GO:0060999]; positive regulation of hippo signaling [GO:0035332]; positive regulation of smoothened signaling pathway [GO:0045880]; positive regulation of synapse assembly [GO:0051965]; protein localization to adherens junction [GO:0071896]; protein-containing complex assembly [GO:0065003]; regulation of apoptotic process [GO:0042981]; signal transduction [GO:0007165]; zonula adherens assembly [GO:0045186]"
"PGEN_.00g050170"	0.00341909087515602	2.26774424876586e-10	0.012251832495773	0.73550391596999	4.76801627297794e-11	"Scaffold_02"	47298190	47299423	NA	NA	NA	NA	NA
"PGEN_.00g050180"	3.73589728125486e-08	1.02812357215632e-09	0.386984848410749	0.819586671379066	0.949725600972017	"Scaffold_02"	47299859	47303590	NA	NA	NA	NA	NA
"PGEN_.00g051410"	3.41451862083834e-07	0.0166593409504347	0.0497701350951914	0.00215772829981532	0.343620433255614	"Scaffold_02"	50737403	50741672	NA	NA	NA	NA	NA
"PGEN_.00g051430"	4.56825928098515e-07	0.000230707834448526	0.744723223266574	0.0275158052587481	3.63671219778384e-06	"Scaffold_02"	50797608	50888432	"Q2HJF4"	"PBLD_BOVIN"	"Phenazine biosynthesis-like domain-containing protein (EC 5.1.-.-)"	"GO:0005737; GO:0009058; GO:0010633; GO:0010719; GO:0016853; GO:0030277; GO:0030512; GO:0042802; GO:0050680; GO:0060392; GO:0060394"	"cytoplasm [GO:0005737]; identical protein binding [GO:0042802]; isomerase activity [GO:0016853]; biosynthetic process [GO:0009058]; maintenance of gastrointestinal epithelium [GO:0030277]; negative regulation of epithelial cell migration [GO:0010633]; negative regulation of epithelial cell proliferation [GO:0050680]; negative regulation of epithelial to mesenchymal transition [GO:0010719]; negative regulation of pathway-restricted SMAD protein phosphorylation [GO:0060394]; negative regulation of SMAD protein signal transduction [GO:0060392]; negative regulation of transforming growth factor beta receptor signaling pathway [GO:0030512]"
"PGEN_.00g055620"	3.58938320722648e-08	5.43342225725545e-08	0.0005198577317573	0.617957552254305	0.671917560908763	"Scaffold_02"	62591387	62610230	"Q5R452"	"SAFB1_PONAB"	"Scaffold attachment factor B1 (SAF-B1)"	"GO:0000978; GO:0003682; GO:0003723; GO:0005634; GO:0006355; GO:0050684"	"nucleus [GO:0005634]; chromatin binding [GO:0003682]; RNA binding [GO:0003723]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; regulation of mRNA processing [GO:0050684]; regulation of transcription, DNA-templated [GO:0006355]"
"PGEN_.00g057380"	9.7007795384724e-09	0.0187568284122765	0.310163768457912	7.29869477744894e-12	6.60022101771998e-08	"Scaffold_02"	67898208	67904591	"Q9ESD1"	"PRSS8_MOUSE"	"Prostasin (EC 3.4.21.-) (Channel-activating protease 1) (CAP1) (Serine protease 8) [Cleaved into: Prostasin light chain; Prostasin heavy chain]"	"GO:0004252; GO:0005615; GO:0005886; GO:0010765; GO:0016021; GO:0017080; GO:0019897; GO:0045121; GO:0046658; GO:0070633; GO:1902307"	"anchored component of plasma membrane [GO:0046658]; extracellular space [GO:0005615]; extrinsic component of plasma membrane [GO:0019897]; integral component of membrane [GO:0016021]; membrane raft [GO:0045121]; plasma membrane [GO:0005886]; serine-type endopeptidase activity [GO:0004252]; sodium channel regulator activity [GO:0017080]; positive regulation of sodium ion transmembrane transport [GO:1902307]; positive regulation of sodium ion transport [GO:0010765]; transepithelial transport [GO:0070633]"
"PGEN_.00g060400"	1.99690014939389e-09	0.0214251307964161	0.824876382316925	0.0033254710649825	0.130667903388165	"Scaffold_03"	7144218	7178145	"Q93099"	"HGD_HUMAN"	"Homogentisate 1,2-dioxygenase (EC 1.13.11.5) (Homogentisate oxygenase) (Homogentisic acid oxidase) (Homogentisicase)"	"GO:0004411; GO:0005829; GO:0006520; GO:0006559; GO:0006572; GO:0042802; GO:0046872; GO:0070062"	"cytosol [GO:0005829]; extracellular exosome [GO:0070062]; homogentisate 1,2-dioxygenase activity [GO:0004411]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; cellular amino acid metabolic process [GO:0006520]; L-phenylalanine catabolic process [GO:0006559]; tyrosine catabolic process [GO:0006572]"
"PGEN_.00g060650"	1.53893678363682e-08	1.38061301977697e-05	0.287594957947159	0.078964432795462	0.580346742587398	"Scaffold_03"	7784226	7844346	"Q5THR3"	"EFCB6_HUMAN"	"EF-hand calcium-binding domain-containing protein 6 (CAP-binding protein complex-interacting protein 1) (DJ-1-binding protein) (DJBP)"	"GO:0005509; GO:0005654"	"nucleoplasm [GO:0005654]; calcium ion binding [GO:0005509]"
"PGEN_.00g062630"	2.56730873921604e-07	0.000239384773654396	0.00189842576581389	0.934630619493791	3.69115618817817e-07	"Scaffold_03"	13089701	13121485	"A0JMD4"	"TPC2_DANRE"	"Two pore calcium channel protein 2 (Voltage-dependent calcium channel protein TPC2)"	"GO:0005245; GO:0005623; GO:0005764; GO:0005765; GO:0006939; GO:0014866; GO:0016021; GO:0019722; GO:0034765; GO:0072345; GO:2000290"	"cell [GO:0005623]; integral component of membrane [GO:0016021]; lysosomal membrane [GO:0005765]; lysosome [GO:0005764]; NAADP-sensitive calcium-release channel activity [GO:0072345]; voltage-gated calcium channel activity [GO:0005245]; calcium-mediated signaling [GO:0019722]; regulation of ion transmembrane transport [GO:0034765]; regulation of myotome development [GO:2000290]; skeletal myofibril assembly [GO:0014866]; smooth muscle contraction [GO:0006939]"
"PGEN_.00g062900"	0.0129756020706992	6.86679690150135e-05	0.0312620393925744	0.0479087720367891	0.000554267484710378	"Scaffold_03"	13950277	13996316	NA	NA	NA	NA	NA
