Entry,Entry name,Protein names,Gene names,Organism,Gene ontology IDs
Q4ZJM9,C1QL4_MOUSE,Complement C1q-like protein 4 (C1q and tumor necrosis factor-related protein 11) (C1q/TNF-related protein 11) (C1qTNF11) (CTRP11),C1ql4 C1qtnf11 Ctrp11,Mus musculus (Mouse),GO:0005581; GO:0005615; GO:0042802; GO:0045599; GO:0048147; GO:0070373
P18172,DHGL_DROPS,"Glucose dehydrogenase [FAD, quinone] (EC 1.1.5.9) [Cleaved into: Glucose dehydrogenase [FAD, quinone] short protein]",Gld GA11047,Drosophila pseudoobscura pseudoobscura (Fruit fly),GO:0005576; GO:0016614; GO:0050660
B1AWJ5,TMM8B_MOUSE,Transmembrane protein 8B (Protein NGX6),Tmem8b,Mus musculus (Mouse),GO:0005634; GO:0005739; GO:0005783; GO:0005886; GO:0007160; GO:0009986; GO:0016021; GO:0040008
Q9ESN3,TMM8A_MOUSE,Post-GPI attachment to proteins factor 6 (EC 3.1.1.4) (GPI processing phospholipase A2) (GPI-PLA2) (M83 protein) (Transmembrane protein 8) (Transmembrane protein 8A),Tmem8a Pgap6 Tmem8,Mus musculus (Mouse),GO:0004623; GO:0005765; GO:0005886; GO:0005887; GO:0102567; GO:0102568
Q9XVZ8,ELOF1_CAEEL,Transcription elongation factor 1 homolog,Y54G11A.11,Caenorhabditis elegans,GO:0000993; GO:0005730; GO:0006368; GO:0008023; GO:0046872; GO:0048096
Q9QYM7,XPF_CRIGR,DNA repair endonuclease XPF (EC 3.1.-.-) (DNA excision repair protein ERCC-4),ERCC4,Cricetulus griseus (Chinese hamster) (Cricetulus barabensis griseus),GO:0000110; GO:0000724; GO:0000784; GO:0001094; GO:0003684; GO:0003697; GO:0005634; GO:0006289; GO:0006295; GO:0006296; GO:0006303; GO:0008022; GO:0009411; GO:0009650; GO:0010506; GO:0032205; GO:0033683; GO:0034644; GO:0042802; GO:0047485; GO:0061819; GO:0070522; GO:1904357; GO:1905765; GO:1905768; GO:1990599; GO:1990841
Q9BXJ4,C1QT3_HUMAN,Complement C1q tumor necrosis factor-related protein 3 (Collagenous repeat-containing sequence 26 kDa protein) (CORS26) (Secretory protein CORS26),C1QTNF3 CTRP3 UNQ753/PRO1484,Homo sapiens (Human),GO:0005581; GO:0005623; GO:0010629; GO:0016020; GO:0035356; GO:0045444; GO:0045721; GO:0050715; GO:0050728; GO:0070062; GO:0070165; GO:0070206; GO:0071638; GO:1900165; GO:1901223
P06180,HIBN_XENLA,Histone-binding protein N1/N2,,Xenopus laevis (African clawed frog),GO:0005634; GO:0061676
P55096,ABCD3_MOUSE,ATP-binding cassette sub-family D member 3 (68 kDa peroxisomal membrane protein) (PMP68) (70 kDa peroxisomal membrane protein) (PMP70),Abcd3 Pmp70 Pxmp1,Mus musculus (Mouse),GO:0005324; GO:0005524; GO:0005739; GO:0005743; GO:0005777; GO:0005778; GO:0005782; GO:0006633; GO:0006635; GO:0007031; GO:0014070; GO:0015910; GO:0016021; GO:0016887; GO:0042493; GO:0042626; GO:0042760; GO:0042803; GO:0043231; GO:0043621
Q9BQI6,SLF1_HUMAN,SMC5-SMC6 complex localization factor protein 1 (Ankyrin repeat domain-containing protein 32) (BRCT domain-containing protein 1) (Smc5/6 localization factor 1),SLF1 ANKRD32 BRCTD1,Homo sapiens (Human),GO:0000786; GO:0005634; GO:0005654; GO:0005737; GO:0005813; GO:0006281; GO:0006974; GO:0031334; GO:0031625; GO:0034184; GO:0035861; GO:0042405; GO:0044877; GO:1990166; GO:2000781
Q2KIL7,R3HD4_BOVIN,R3H domain-containing protein 4,R3HDM4,Bos taurus (Bovine),GO:0003676; GO:0005634
Q5R5C1,UROM_PONAB,"Uromodulin [Cleaved into: Uromodulin, secreted form]",UMOD,Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii),GO:0000922; GO:0005509; GO:0005576; GO:0005929; GO:0007157; GO:0007159; GO:0007588; GO:0016323; GO:0016324; GO:0019864; GO:0031225; GO:0050801; GO:0060170; GO:0072218; GO:0072221; GO:0072233; GO:1990266
Q8N2E2,VWDE_HUMAN,von Willebrand factor D and EGF domain-containing protein,VWDE,Homo sapiens (Human),GO:0005102; GO:0005576; GO:0009986; GO:0048856
Q15831,STK11_HUMAN,Serine/threonine-protein kinase STK11 (EC 2.7.11.1) (Liver kinase B1) (LKB1) (hLKB1) (Renal carcinoma antigen NY-REN-19),STK11 LKB1 PJS,Homo sapiens (Human),GO:0000287; GO:0001558; GO:0001894; GO:0001944; GO:0002039; GO:0004674; GO:0005524; GO:0005634; GO:0005654; GO:0005737; GO:0005739; GO:0005829; GO:0006468; GO:0006470; GO:0006914; GO:0006974; GO:0007050; GO:0007283; GO:0007409; GO:0008285; GO:0010212; GO:0010508; GO:0016020; GO:0030010; GO:0030275; GO:0030295; GO:0030308; GO:0030511; GO:0032147; GO:0042593; GO:0043276; GO:0045059; GO:0046777; GO:0048814; GO:0050772; GO:0050852; GO:0051645; GO:0051896; GO:0060070; GO:0060770; GO:0070062; GO:0071493; GO:0072332; GO:0090090; GO:0097484; GO:0120163; GO:1900182; GO:1901796; GO:1904262
Q5ZJN0,ASND1_CHICK,Asparagine synthetase domain-containing protein 1,ASNSD1 RCJMB04_16p18,Gallus gallus (Chicken),GO:0004066; GO:0006529; GO:0006541
Q3TAE8,ALG6_MOUSE,"Dolichyl pyrophosphate Man9GlcNAc2 alpha-1,3-glucosyltransferase (EC 2.4.1.267) (Asparagine-linked glycosylation protein 6 homolog) (Dol-P-Glc:Man(9)GlcNAc(2)-PP-Dol alpha-1,3-glucosyltransferase) (Dolichyl-P-Glc:Man9GlcNAc2-PP-dolichyl glucosyltransferase)",Alg6,Mus musculus (Mouse),GO:0005789; GO:0006487; GO:0006488; GO:0006490; GO:0016021; GO:0042281; GO:0046527
Q0EEE2,PTHD3_MOUSE,Patched domain-containing protein 3 (RND-type protein RNDEu-3),Ptchd3,Mus musculus (Mouse),GO:0016021; GO:0097225
P29540,T2EB_XENLA,General transcription factor IIE subunit 2 (Transcription initiation factor IIE subunit beta) (TFIIE-beta),gtf2e2,Xenopus laevis (African clawed frog),GO:0003677; GO:0005673; GO:0006367
Q6PDJ1,CAHD1_MOUSE,VWFA and cache domain-containing protein 1 (Cache domain-containing protein 1),Cachd1 Kiaa1573 Vwcd1,Mus musculus (Mouse),GO:0005245; GO:0005891
D4GU72,AGL12_HALVD,Low-salt glycan biosynthesis protein Agl12 (EC 4.2.1.-),agl12 HVO_2059 C498_05583,Haloferax volcanii (strain ATCC 29605 / DSM 3757 / JCM 8879 / NBRC 14742 / NCIMB 2012 / VKM B-1768 / DS2) (Halobacterium volcanii),GO:0006486; GO:0008460; GO:0009225; GO:0045232
Q29M42,C2D1_DROPS,Coiled-coil and C2 domain-containing protein 1-like,GA18377,Drosophila pseudoobscura pseudoobscura (Fruit fly),GO:0001227
Q66HA5,C2D1A_RAT,Coiled-coil and C2 domain-containing protein 1A (Five prime repressor element under dual repression-binding protein 1) (FRE under dual repression-binding protein 1) (Freud-1),Cc2d1a,Rattus norvegicus (Rat),GO:0000122; GO:0000978; GO:0001227; GO:0001650; GO:0005634; GO:0005815; GO:0005829; GO:0005886
Q9HAR2,AGRL3_HUMAN,Adhesion G protein-coupled receptor L3 (Calcium-independent alpha-latrotoxin receptor 3) (CIRL-3) (Latrophilin-3) (Lectomedin-3),ADGRL3 KIAA0768 LEC3 LPHN3,Homo sapiens (Human),GO:0001764; GO:0004930; GO:0005509; GO:0005887; GO:0005911; GO:0007166; GO:0007186; GO:0007189; GO:0007416; GO:0007420; GO:0016021; GO:0030246; GO:0030424; GO:0031987; GO:0042220; GO:0051965; GO:0098742; GO:0098978
Q07666,KHDR1_HUMAN,"KH domain-containing, RNA-binding, signal transduction-associated protein 1 (GAP-associated tyrosine phosphoprotein p62) (Src-associated in mitosis 68 kDa protein) (Sam68) (p21 Ras GTPase-activating protein-associated p62) (p68)",KHDRBS1 SAM68,Homo sapiens (Human),GO:0000082; GO:0000086; GO:0000122; GO:0000381; GO:0003677; GO:0003723; GO:0005070; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0006397; GO:0007166; GO:0007283; GO:0008143; GO:0008266; GO:0016020; GO:0017124; GO:0019904; GO:0042802; GO:0044877; GO:0045892; GO:0045948; GO:0046831; GO:0046833; GO:0048024; GO:0051259; GO:0070618
Q9WTK8,SPO11_MOUSE,Meiotic recombination protein SPO11 (EC 5.6.2.2),Spo11,Mus musculus (Mouse),GO:0000706; GO:0000737; GO:0000781; GO:0001541; GO:0003677; GO:0003918; GO:0005524; GO:0005623; GO:0005654; GO:0007129; GO:0007130; GO:0007131; GO:0007141; GO:0007286; GO:0016889; GO:0034502; GO:0042138; GO:0045141; GO:0046872; GO:0048477; GO:1990918
Q9U943,APLP_LOCMI,Apolipophorins [Cleaved into: Apolipophorin-2 (Apolipophorin II) (apoLp-2); Apolipophorin-1 (Apolipophorin I) (apoLp-1)],,Locusta migratoria (Migratory locust),GO:0005319; GO:0005576; GO:0008289; GO:0016055
Q9D1E8,PLCE_MOUSE,1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon (EC 2.3.1.51) (1-acylglycerol-3-phosphate O-acyltransferase 5) (1-AGP acyltransferase 5) (1-AGPAT 5) (Lysophosphatidic acid acyltransferase epsilon) (LPAAT-epsilon),Agpat5 D8Ertd319e,Mus musculus (Mouse),GO:0002244; GO:0003841; GO:0005635; GO:0005739; GO:0005783; GO:0005789; GO:0006639; GO:0016021; GO:0016024; GO:0016746; GO:0036149
Q96285,LRK55_ARATH,L-type lectin-domain containing receptor kinase V.5 (Arabidopsis thaliana lectin-receptor kinase a1) (Ath.lecRK1) (AthlecRK-a1) (LecRK-V.5) (EC 2.7.11.1),LECRK55 LECRKA1 At3g59700 T16L24.250,Arabidopsis thaliana (Mouse-ear cress),GO:0002229; GO:0004674; GO:0004675; GO:0005524; GO:0005886; GO:0006952; GO:0016021; GO:0030246; GO:0042742; GO:0046777; GO:0090333; GO:1900425
O54750,CP2J6_MOUSE,Cytochrome P450 2J6 (EC 1.14.14.1) (Arachidonic acid epoxygenase) (CYPIIJ6),Cyp2j6,Mus musculus (Mouse),GO:0001523; GO:0003958; GO:0005506; GO:0005737; GO:0005783; GO:0005789; GO:0006082; GO:0006690; GO:0006805; GO:0007565; GO:0008392; GO:0008395; GO:0008404; GO:0008405; GO:0014070; GO:0016712; GO:0016853; GO:0019369; GO:0019373; GO:0020037; GO:0032966; GO:0035359; GO:0042738; GO:0043231; GO:0043651; GO:0055114; GO:0070330; GO:0071614; GO:1904469
P79761,CP1A5_CHICK,Cytochrome P450 1A5 (EC 1.14.14.1) (CYPIA5) (Cytochrome P450 TCDDAA),CYP1A5,Gallus gallus (Chicken),GO:0004497; GO:0005506; GO:0005623; GO:0005789; GO:0017144; GO:0019825; GO:0020037; GO:0043231; GO:0043385; GO:0046677; GO:0070330; GO:0070989; GO:0071615
Q3MHR0,LYPA1_BOVIN,Acyl-protein thioesterase 1 (APT-1) (EC 3.1.2.-) (Lysophospholipase 1) (Lysophospholipase I) (LPL-I) (LysoPLA I),LYPLA1,Bos taurus (Bovine),GO:0002084; GO:0005737; GO:0006631; GO:0008474; GO:0052689
Q86Y13,DZIP3_HUMAN,E3 ubiquitin-protein ligase DZIP3 (EC 2.3.2.27) (DAZ-interacting protein 3) (RING-type E3 ubiquitin transferase DZIP3) (RNA-binding ubiquitin ligase of 138 kDa) (hRUL138),DZIP3 KIAA0675,Homo sapiens (Human),GO:0000209; GO:0003723; GO:0004842; GO:0005737; GO:0019902; GO:0031593; GO:0046872; GO:0061630
Q8BZ25,ANKK1_MOUSE,Ankyrin repeat and protein kinase domain-containing protein 1 (EC 2.7.11.1),Ankk1,Mus musculus (Mouse),GO:0004674; GO:0005524; GO:0005634; GO:0005737; GO:0010564; GO:0042995
P27169,PON1_HUMAN,Serum paraoxonase/arylesterase 1 (PON 1) (EC 3.1.1.2) (EC 3.1.1.81) (EC 3.1.8.1) (Aromatic esterase 1) (A-esterase 1) (K-45) (Serum aryldialkylphosphatase 1),PON1 PON,Homo sapiens (Human),GO:0004063; GO:0004064; GO:0005509; GO:0005543; GO:0005576; GO:0005615; GO:0008203; GO:0009636; GO:0010875; GO:0019372; GO:0019439; GO:0031667; GO:0032411; GO:0034364; GO:0034366; GO:0042803; GO:0043231; GO:0046395; GO:0046434; GO:0046470; GO:0051099; GO:0070062; GO:0070542; GO:0072562; GO:0102007; GO:1902617
Q01484,ANK2_HUMAN,Ankyrin-2 (ANK-2) (Ankyrin-B) (Brain ankyrin) (Non-erythroid ankyrin),ANK2 ANKB,Homo sapiens (Human),GO:0002027; GO:0003283; GO:0005200; GO:0005623; GO:0005739; GO:0005764; GO:0005769; GO:0005829; GO:0005856; GO:0005886; GO:0006874; GO:0006888; GO:0006897; GO:0010628; GO:0010881; GO:0010882; GO:0014704; GO:0015031; GO:0016020; GO:0016323; GO:0016324; GO:0019899; GO:0019901; GO:0030018; GO:0030315; GO:0030507; GO:0030674; GO:0030913; GO:0031430; GO:0031647; GO:0031672; GO:0033292; GO:0033365; GO:0034394; GO:0034613; GO:0036309; GO:0036371; GO:0042383; GO:0043034; GO:0043194; GO:0043268; GO:0044325; GO:0045121; GO:0045211; GO:0050821; GO:0051117; GO:0051279; GO:0051597; GO:0051924; GO:0051928; GO:0055037; GO:0055117; GO:0060307; GO:0070296; GO:0070972; GO:0072659; GO:0086004; GO:0086005; GO:0086014; GO:0086015; GO:0086046; GO:0086066; GO:0086070; GO:0086091; GO:0098907; GO:0098910; GO:0140031; GO:1901018; GO:1901019; GO:1901021; GO:2001259
Q9ERK0,RIPK4_MOUSE,Receptor-interacting serine/threonine-protein kinase 4 (EC 2.7.11.1) (Ankyrin repeat domain-containing protein 3) (PKC-associated protein kinase) (PKC-regulated protein kinase),Ripk4 Ankrd3 Pkk,Mus musculus (Mouse),GO:0002009; GO:0004674; GO:0005524; GO:0005737; GO:0016020; GO:0051092
P26150,3BHS3_MOUSE,3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 3 (3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type III) (3-beta-HSD III) [Includes: 3-beta-hydroxy-Delta(5)-steroid dehydrogenase (EC 1.1.1.145) (3-beta-hydroxy-5-ene steroid dehydrogenase) (Progesterone reductase); Steroid Delta-isomerase (EC 5.3.3.1) (Delta-5-3-ketosteroid isomerase)],Hsd3b3,Mus musculus (Mouse),GO:0003854; GO:0004769; GO:0005730; GO:0005743; GO:0005758; GO:0005783; GO:0005789; GO:0006694; GO:0008207; GO:0016021; GO:0016491; GO:0016616; GO:0021766; GO:0043231; GO:0045171; GO:0051412; GO:0102294
Q14162,SREC_HUMAN,Scavenger receptor class F member 1 (Acetyl LDL receptor) (Scavenger receptor expressed by endothelial cells 1) (SREC-I),SCARF1 KIAA0149 SREC,Homo sapiens (Human),GO:0004888; GO:0005044; GO:0005886; GO:0006707; GO:0006898; GO:0007155; GO:0010976; GO:0016021; GO:0016322; GO:0016358; GO:0030169; GO:0030666; GO:0048680
Q3U0J8,TBD2B_MOUSE,TBC1 domain family member 2B,Tbc1d2b Kiaa1055,Mus musculus (Mouse),GO:0005096; GO:0005829; GO:0006886; GO:0017137; GO:0090630
Q90511,EI2BB_TAKRU,Translation initiation factor eIF-2B subunit beta (S20I15) (eIF-2B GDP-GTP exchange factor subunit beta),eif2b2 eif2bb,Takifugu rubripes (Japanese pufferfish) (Fugu rubripes),GO:0003743; GO:0005524; GO:0005525; GO:0005737; GO:0005851; GO:0006413; GO:0007417; GO:0014003; GO:0042552; GO:0050852
Q567C6,ZN367_DANRE,Zinc finger protein 367,znf367 zgc:112157,Danio rerio (Zebrafish) (Brachydanio rerio),GO:0003677; GO:0005634; GO:0046872
Q8NC51,PAIRB_HUMAN,Plasminogen activator inhibitor 1 RNA-binding protein (PAI1 RNA-binding protein 1) (PAI-RBP1) (SERPINE1 mRNA-binding protein 1),SERBP1 PAIRBP1 CGI-55,Homo sapiens (Human),GO:0003723; GO:0003730; GO:0005634; GO:0005737; GO:0005829; GO:0005886; GO:0016020; GO:0030578; GO:0032183; GO:0042981; GO:0043488; GO:0045296; GO:0048471; GO:0070062
Q6AXS5,PAIRB_RAT,Plasminogen activator inhibitor 1 RNA-binding protein (PAI1 RNA-binding protein 1) (PAI-RBP1) (RDA288) (SERPINE1 mRNA-binding protein 1),Serbp1 Pairbp1 Rda288,Rattus norvegicus (Rat),GO:0003730; GO:0005634; GO:0005737; GO:0005829; GO:0005886; GO:0030578; GO:0032183; GO:0042981; GO:0048471
