"","GO.IDs","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","Cat","GO.Slim.Term","TP","gene","uniprot","uniprot_taxa.id"
"5","GO:0022604",0.00173495289649059,0.999768023413353,6,16,"regulation of cell morphogenesis","BP","P","cell organization and biogenesis","Day10","PGEN_.00g005310","Q5SVZ6","ZMYM1"
"6","GO:0022604",0.00173495289649059,0.999768023413353,6,16,"regulation of cell morphogenesis","BP","P","cell organization and biogenesis","Day10","PGEN_.00g206990","Q5SVZ6","ZMYM1"
"7","GO:0022604",0.00173495289649059,0.999768023413353,6,16,"regulation of cell morphogenesis","BP","P","cell organization and biogenesis","Day10","PGEN_.00g100690","Q5HYK7","SH319"
"8","GO:0022604",0.00173495289649059,0.999768023413353,6,16,"regulation of cell morphogenesis","BP","P","cell organization and biogenesis","Day10","PGEN_.00g163440","Q5SVZ6","ZMYM1"
"9","GO:0022604",0.00173495289649059,0.999768023413353,6,16,"regulation of cell morphogenesis","BP","P","cell organization and biogenesis","Day10","PGEN_.00g301440","Q5T5Y3","CAMP1"
"10","GO:0034058",0.00517382469335647,0.999552404186337,4,8,"endosomal vesicle fusion","BP","P","cell organization and biogenesis","Day10","PGEN_.00g332750","Q0P5W1","VPS8"
"11","GO:0034058",0.00517382469335647,0.999552404186337,4,8,"endosomal vesicle fusion","BP","P","cell organization and biogenesis","Day10","PGEN_.00g185910","Q9UN37","VPS4A"
"12","GO:0034058",0.00517382469335647,0.999552404186337,4,8,"endosomal vesicle fusion","BP","P","cell organization and biogenesis","Day10","PGEN_.00g199100","Q91W86","VPS11"
"13","GO:0034058",0.00517382469335647,0.999552404186337,4,8,"endosomal vesicle fusion","BP","P","cell organization and biogenesis","Day10","PGEN_.00g262850","P49754","VPS41"
"14","GO:0001886",0.020892755835758,0.998138015597458,3,6,"endothelial cell morphogenesis","BP","P","cell organization and biogenesis","Day10","PGEN_.00g087850","Q9ULI3","HEG1"
"15","GO:0001886",0.020892755835758,0.998138015597458,3,6,"endothelial cell morphogenesis","BP","P","cell organization and biogenesis","Day10","PGEN_.00g325600","Q99466","NOTC4"
"16","GO:0001886",0.020892755835758,0.998138015597458,3,6,"endothelial cell morphogenesis","BP","P","cell organization and biogenesis","Day10","PGEN_.00g211830","P16056","MET"
"17","GO:0032204",0.0221454316446218,0.997980563192809,3,6,"regulation of telomere maintenance","BP","P","cell organization and biogenesis","Day10","PGEN_.00g024380","P49750","YLPM1"
"18","GO:0032204",0.0221454316446218,0.997980563192809,3,6,"regulation of telomere maintenance","BP","P","cell organization and biogenesis","Day10","PGEN_.00g006160","Q96Q15","SMG1"
"19","GO:0032204",0.0221454316446218,0.997980563192809,3,6,"regulation of telomere maintenance","BP","P","cell organization and biogenesis","Day10","PGEN_.00g050570","Q96Q15","SMG1"
"20","GO:0000395",0.0225758797314828,0.999284872217038,2,3,"mRNA 5'-splice site recognition","BP","P","cell organization and biogenesis","Day10","PGEN_.00g160000","C3Z1P5","RU1C"
"21","GO:0000395",0.0225758797314828,0.999284872217038,2,3,"mRNA 5'-splice site recognition","BP","P","cell organization and biogenesis","Day10","PGEN_.00g345530","Q66T72","PSIP1"
"22","GO:0071555",0.0343710440032685,0.998081738651052,2,4,"cell wall organization","BP","P","cell organization and biogenesis","Day10","PGEN_.00g187610","P27623","TAGD"
"23","GO:0071555",0.0343710440032685,0.998081738651052,2,4,"cell wall organization","BP","P","cell organization and biogenesis","Day10","PGEN_.00g059470","P15555","DAC"
"525","GO:0043486",0.0111989347238443,0.999757360946274,2,3,"histone exchange","BP","P","cell organization and biogenesis","Day145","PGEN_.00g150440","Q6ZRS2","SRCAP"
"526","GO:0043486",0.0111989347238443,0.999757360946274,2,3,"histone exchange","BP","P","cell organization and biogenesis","Day145","PGEN_.00g040360","Q8I8U7","TRA1"
"527","GO:0000226",0.0324948627160586,0.990342385210702,6,43,"microtubule cytoskeleton organization","BP","P","cell organization and biogenesis","Day145","PGEN_.00g057650","Q28205","TBCD"
"528","GO:0000226",0.0324948627160586,0.990342385210702,6,43,"microtubule cytoskeleton organization","BP","P","cell organization and biogenesis","Day145","PGEN_.00g274530","P06603","TBA1"
"529","GO:0000226",0.0324948627160586,0.990342385210702,6,43,"microtubule cytoskeleton organization","BP","P","cell organization and biogenesis","Day145","PGEN_.00g278620","Q8K389","CK5P2"
"530","GO:0000226",0.0324948627160586,0.990342385210702,6,43,"microtubule cytoskeleton organization","BP","P","cell organization and biogenesis","Day145","PGEN_.00g301440","Q5T5Y3","CAMP1"
"531","GO:0000226",0.0324948627160586,0.990342385210702,6,43,"microtubule cytoskeleton organization","BP","P","cell organization and biogenesis","Day145","PGEN_.00g269010","Q8TEW0","PARD3"
"532","GO:0000226",0.0324948627160586,0.990342385210702,6,43,"microtubule cytoskeleton organization","BP","P","cell organization and biogenesis","Day145","PGEN_.00g233580","P68372","TBB4B"
"533","GO:0031860",0.0406383028511765,1,1,1,"telomeric 3' overhang formation","BP","P","cell organization and biogenesis","Day145","PGEN_.00g041570","Q9JIM0","MRE11"
"534","GO:0030717",0.0423528377497582,1,1,1,"oocyte karyosome formation","BP","P","cell organization and biogenesis","Day145","PGEN_.00g264480","O61267","LOK"
"535","GO:0070830",0.0435779748558462,0.993332199033497,3,11,"bicellular tight junction assembly","BP","P","cell organization and biogenesis","Day145","PGEN_.00g017050","Q5RDQ2","MPP5"
"536","GO:0070830",0.0435779748558462,0.993332199033497,3,11,"bicellular tight junction assembly","BP","P","cell organization and biogenesis","Day145","PGEN_.00g057650","Q28205","TBCD"
"537","GO:0070830",0.0435779748558462,0.993332199033497,3,11,"bicellular tight junction assembly","BP","P","cell organization and biogenesis","Day145","PGEN_.00g269010","Q8TEW0","PARD3"
"538","GO:0022604",0.0439415217219145,0.992781973325579,3,16,"regulation of cell morphogenesis","BP","P","cell organization and biogenesis","Day145","PGEN_.00g206990","Q5SVZ6","ZMYM1"
"539","GO:0022604",0.0439415217219145,0.992781973325579,3,16,"regulation of cell morphogenesis","BP","P","cell organization and biogenesis","Day145","PGEN_.00g301440","Q5T5Y3","CAMP1"
"540","GO:0022604",0.0439415217219145,0.992781973325579,3,16,"regulation of cell morphogenesis","BP","P","cell organization and biogenesis","Day145","PGEN_.00g223270","Q803T2","STRP1"
"842","GO:0031116",0.00806256892504481,0.99968681762655,2,15,"positive regulation of microtubule polymerization","BP","P","cell organization and biogenesis","Persistent","PGEN_.00g013900","Q80TN7","NAV3"
"843","GO:0031116",0.00806256892504481,0.99968681762655,2,15,"positive regulation of microtubule polymerization","BP","P","cell organization and biogenesis","Persistent","PGEN_.00g211830","P16056","MET"
"844","GO:0001837",0.0102322490553176,0.99954406610558,2,17,"epithelial to mesenchymal transition","BP","P","cell organization and biogenesis","Persistent","PGEN_.00g049510","Q8TDM6","DLG5"
"845","GO:0001837",0.0102322490553176,0.99954406610558,2,17,"epithelial to mesenchymal transition","BP","P","cell organization and biogenesis","Persistent","PGEN_.00g204470","P41221","WNT5A"
"846","GO:0061025",0.0110481833320795,0.999969596509841,1,2,"membrane fusion","BP","P","cell organization and biogenesis","Persistent","PGEN_.00g043300","Q07076","ANXA7"
"847","GO:0014866",0.0116580902728822,1,1,1,"skeletal myofibril assembly","BP","P","cell organization and biogenesis","Persistent","PGEN_.00g062630","A0JMD4","TPC2"
"848","GO:0060809",0.0151247005802078,1,1,1,"mesodermal to mesenchymal transition involved in gastrulation","BP","P","cell organization and biogenesis","Persistent","PGEN_.00g204470","P41221","WNT5A"
"849","GO:0065003",0.0356113315759325,0.996794379322338,2,31,"protein-containing complex assembly","BP","P","cell organization and biogenesis","Persistent","PGEN_.00g049510","Q8TDM6","DLG5"
"850","GO:0065003",0.0356113315759325,0.996794379322338,2,31,"protein-containing complex assembly","BP","P","cell organization and biogenesis","Persistent","PGEN_.00g186170","P82251","BAT1"
"851","GO:0035317",0.037056259965551,0.99953879986384,1,3,"imaginal disc-derived wing hair organization","BP","P","cell organization and biogenesis","Persistent","PGEN_.00g227520","Q17LW0","MYO7A"
"852","GO:0006627",0.0395370238329324,0.999370395206563,1,5,"protein processing involved in protein targeting to mitochondrion","BP","P","cell organization and biogenesis","Persistent","PGEN_.00g228480","A6H611","MIPEP"
"853","GO:0045186",0.0402812445793433,0.999386702646394,1,4,"zonula adherens assembly","BP","P","cell organization and biogenesis","Persistent","PGEN_.00g049510","Q8TDM6","DLG5"
"854","GO:0051964",0.0423120404682712,0.999397234562153,1,3,"negative regulation of synapse assembly","BP","P","cell organization and biogenesis","Persistent","PGEN_.00g204470","P41221","WNT5A"
"855","GO:0031034",0.0438283855346478,0.999352803358682,1,3,"myosin filament assembly","BP","P","cell organization and biogenesis","Persistent","PGEN_.00g334400","O01761","UNC89"
"856","GO:0008064",0.0465636332903689,0.999124161220436,1,5,"regulation of actin polymerization or depolymerization","BP","P","cell organization and biogenesis","Persistent","PGEN_.00g279870","P00522","ABL"
"338","GO:2000301",0.0472384270341386,0.999429874443792,1,2,"negative regulation of synaptic vesicle exocytosis","BP","P","cell-cell signaling","Day135","PGEN_.00g215970","Q6TEN1","RAP1B"
"541","GO:0086045",0.0408633397187489,1,1,1,"membrane depolarization during AV node cell action potential","BP","P","cell-cell signaling","Day145","PGEN_.00g252700","Q9ESQ5","TRPM4"
"542","GO:0086047",0.0408633397187489,1,1,1,"membrane depolarization during Purkinje myocyte cell action potential","BP","P","cell-cell signaling","Day145","PGEN_.00g252700","Q9ESQ5","TRPM4"
"543","GO:0086048",0.0408633397187489,1,1,1,"membrane depolarization during bundle of His cell action potential","BP","P","cell-cell signaling","Day145","PGEN_.00g252700","Q9ESQ5","TRPM4"
"857","GO:0086045",0.00667300064543184,1,1,1,"membrane depolarization during AV node cell action potential","BP","P","cell-cell signaling","Persistent","PGEN_.00g252700","Q9ESQ5","TRPM4"
"858","GO:0086047",0.00667300064543184,1,1,1,"membrane depolarization during Purkinje myocyte cell action potential","BP","P","cell-cell signaling","Persistent","PGEN_.00g252700","Q9ESQ5","TRPM4"
"859","GO:0086048",0.00667300064543184,1,1,1,"membrane depolarization during bundle of His cell action potential","BP","P","cell-cell signaling","Persistent","PGEN_.00g252700","Q9ESQ5","TRPM4"
"860","GO:0060638",0.0151247005802078,1,1,1,"mesenchymal-epithelial cell signaling","BP","P","cell-cell signaling","Persistent","PGEN_.00g204470","P41221","WNT5A"
"861","GO:0045886",0.0186465806588215,0.999913059117363,1,2,"negative regulation of synaptic growth at neuromuscular junction","BP","P","cell-cell signaling","Persistent","PGEN_.00g279870","P00522","ABL"
"1190","GO:0032027",0.0148544594403105,1,1,1,"myosin light chain binding","MF","F","cytoskeletal activity","Persistent","PGEN_.00g227520","Q17LW0","MYO7A"
"1191","GO:0003774",0.0212677496347659,0.998576922361254,2,22,"motor activity","MF","F","cytoskeletal activity","Persistent","PGEN_.00g227520","Q17LW0","MYO7A"
"1192","GO:0003774",0.0212677496347659,0.998576922361254,2,22,"motor activity","MF","F","cytoskeletal activity","Persistent","PGEN_.00g270640","Q2KID4","DNAL1"
"426","GO:0097149",0.0169776090700978,0.999092335120562,2,9,"centralspindlin complex","CC","C","cytoskeleton","Day135","PGEN_.00g267550","E9Q5G3","KIF23"
"427","GO:0097149",0.0169776090700978,0.999092335120562,2,9,"centralspindlin complex","CC","C","cytoskeleton","Day135","PGEN_.00g243530","E9Q5G3","KIF23"
"428","GO:0000235",0.0426061698804681,0.999537319584266,1,2,"astral microtubule","CC","C","cytoskeleton","Day135","PGEN_.00g274530","P06603","TBA1"
"750","GO:0030286",0.0149578103090391,0.99544601241748,8,43,"dynein complex","CC","C","cytoskeleton","Day145","PGEN_.00g110260","Q39565","DYHB"
"751","GO:0030286",0.0149578103090391,0.99544601241748,8,43,"dynein complex","CC","C","cytoskeleton","Day145","PGEN_.00g206810","Q8BW94","DYH3"
"752","GO:0030286",0.0149578103090391,0.99544601241748,8,43,"dynein complex","CC","C","cytoskeleton","Day145","PGEN_.00g081000","Q27802","DYHC2"
"753","GO:0030286",0.0149578103090391,0.99544601241748,8,43,"dynein complex","CC","C","cytoskeleton","Day145","PGEN_.00g284620","Q9C0G6","DYH6"
"754","GO:0030286",0.0149578103090391,0.99544601241748,8,43,"dynein complex","CC","C","cytoskeleton","Day145","PGEN_.00g270640","Q2KID4","DNAL1"
"755","GO:0030286",0.0149578103090391,0.99544601241748,8,43,"dynein complex","CC","C","cytoskeleton","Day145","PGEN_.00g017860","Q9C0G6","DYH6"
"756","GO:0030286",0.0149578103090391,0.99544601241748,8,43,"dynein complex","CC","C","cytoskeleton","Day145","PGEN_.00g290400","Q9C0G6","DYH6"
"757","GO:0030286",0.0149578103090391,0.99544601241748,8,43,"dynein complex","CC","C","cytoskeleton","Day145","PGEN_.00g028280","Q9JHU4","DYHC1"
"1111","GO:0034451",0.0392826812443718,0.996241521570151,2,37,"centriolar satellite","CC","C","cytoskeleton","Persistent","PGEN_.00g082390","Q8BR93","HARB1"
"1112","GO:0034451",0.0392826812443718,0.996241521570151,2,37,"centriolar satellite","CC","C","cytoskeleton","Persistent","PGEN_.00g130160","Q8BR93","HARB1"
"544","GO:1901299",0.0417375463199372,1,1,1,"negative regulation of hydrogen peroxide-mediated programmed cell death","BP","P","death","Day145","PGEN_.00g211830","P16056","MET"
"862","GO:1901299",0.0078819923351325,1,1,1,"negative regulation of hydrogen peroxide-mediated programmed cell death","BP","P","death","Persistent","PGEN_.00g211830","P16056","MET"
"863","GO:0070245",0.0151247005802078,1,1,1,"positive regulation of thymocyte apoptotic process","BP","P","death","Persistent","PGEN_.00g204470","P41221","WNT5A"
"864","GO:0043066",0.0191708362925619,0.995529496836946,5,177,"negative regulation of apoptotic process","BP","P","death","Persistent","PGEN_.00g004840","P54646","AAPK2"
"865","GO:0043066",0.0191708362925619,0.995529496836946,5,177,"negative regulation of apoptotic process","BP","P","death","Persistent","PGEN_.00g036880","Q68CJ6","SLIP"
"866","GO:0043066",0.0191708362925619,0.995529496836946,5,177,"negative regulation of apoptotic process","BP","P","death","Persistent","PGEN_.00g076180","Q8JHV9","BIR7A"
"867","GO:0043066",0.0191708362925619,0.995529496836946,5,177,"negative regulation of apoptotic process","BP","P","death","Persistent","PGEN_.00g204470","P41221","WNT5A"
"868","GO:0043066",0.0191708362925619,0.995529496836946,5,177,"negative regulation of apoptotic process","BP","P","death","Persistent","PGEN_.00g277910","Q61165","SL9A1"
"869","GO:0070997",0.0310518520012871,0.999677044986024,1,3,"neuron death","BP","P","death","Persistent","PGEN_.00g277910","Q61165","SL9A1"
"24","GO:0060438",0.0041655420966929,0.999882517211229,3,4,"trachea development","BP","P","developmental processes","Day10","PGEN_.00g030400","Q9VZF4","FBXW7"
"25","GO:0060438",0.0041655420966929,0.999882517211229,3,4,"trachea development","BP","P","developmental processes","Day10","PGEN_.00g190220","Q4G0P3","HYDIN"
"26","GO:0060438",0.0041655420966929,0.999882517211229,3,4,"trachea development","BP","P","developmental processes","Day10","PGEN_.00g190230","Q80W93","HYDIN"
"27","GO:0001569",0.00584339124736971,0.999728270866457,3,5,"branching involved in blood vessel morphogenesis","BP","P","developmental processes","Day10","PGEN_.00g213520","Q6DRC0","SYSC"
"28","GO:0001569",0.00584339124736971,0.999728270866457,3,5,"branching involved in blood vessel morphogenesis","BP","P","developmental processes","Day10","PGEN_.00g325600","Q99466","NOTC4"
"29","GO:0001569",0.00584339124736971,0.999728270866457,3,5,"branching involved in blood vessel morphogenesis","BP","P","developmental processes","Day10","PGEN_.00g260940","Q7SIB2","CO4A1"
"30","GO:0048642",0.00832772471207041,1,2,2,"negative regulation of skeletal muscle tissue development","BP","P","developmental processes","Day10","PGEN_.00g318790","Q90VV1","HES4B"
"31","GO:0048642",0.00832772471207041,1,2,2,"negative regulation of skeletal muscle tissue development","BP","P","developmental processes","Day10","PGEN_.00g211860","O94966","UBP19"
"32","GO:0048843",0.0157378972657761,0.998932592609191,3,5,"negative regulation of axon extension involved in axon guidance","BP","P","developmental processes","Day10","PGEN_.00g204470","P41221","WNT5A"
"33","GO:0048843",0.0157378972657761,0.998932592609191,3,5,"negative regulation of axon extension involved in axon guidance","BP","P","developmental processes","Day10","PGEN_.00g018080","G5EFX6","SLIT1"
"34","GO:0048843",0.0157378972657761,0.998932592609191,3,5,"negative regulation of axon extension involved in axon guidance","BP","P","developmental processes","Day10","PGEN_.00g197510","Q24323","SEM2A"
"35","GO:0060068",0.0177857383389325,0.997397773546468,4,11,"vagina development","BP","P","developmental processes","Day10","PGEN_.00g204470","P41221","WNT5A"
"36","GO:0060068",0.0177857383389325,0.997397773546468,4,11,"vagina development","BP","P","developmental processes","Day10","PGEN_.00g299380","C0HL13","LRP2"
"37","GO:0060068",0.0177857383389325,0.997397773546468,4,11,"vagina development","BP","P","developmental processes","Day10","PGEN_.00g229320","P98158","LRP2"
"38","GO:0060068",0.0177857383389325,0.997397773546468,4,11,"vagina development","BP","P","developmental processes","Day10","PGEN_.00g229340","P98158","LRP2"
"39","GO:0072499",0.0276794919329107,0.997241650712367,3,6,"photoreceptor cell axon guidance","BP","P","developmental processes","Day10","PGEN_.00g279870","P00522","ABL"
"40","GO:0072499",0.0276794919329107,0.997241650712367,3,6,"photoreceptor cell axon guidance","BP","P","developmental processes","Day10","PGEN_.00g213480","P20241","NRG"
"41","GO:0072499",0.0276794919329107,0.997241650712367,3,6,"photoreceptor cell axon guidance","BP","P","developmental processes","Day10","PGEN_.00g022420","Q00963","SPTCB"
"42","GO:0021553",0.0331650221434578,0.998699453447748,2,3,"olfactory nerve development","BP","P","developmental processes","Day10","PGEN_.00g304170","Q9NSC2","SALL1"
"43","GO:0021553",0.0331650221434578,0.998699453447748,2,3,"olfactory nerve development","BP","P","developmental processes","Day10","PGEN_.00g121190","P20009","DLL"
"44","GO:0060216",0.0399034528666156,0.994643577407424,3,8,"definitive hemopoiesis","BP","P","developmental processes","Day10","PGEN_.00g054210","Q4TVV3","DDX46"
"45","GO:0060216",0.0399034528666156,0.994643577407424,3,8,"definitive hemopoiesis","BP","P","developmental processes","Day10","PGEN_.00g073040","Q63046","RUNX1"
"46","GO:0060216",0.0399034528666156,0.994643577407424,3,8,"definitive hemopoiesis","BP","P","developmental processes","Day10","PGEN_.00g131630","P11274","BCR"
"47","GO:0040016",0.0448722631619172,0.997092726753993,2,4,"embryonic cleavage","BP","P","developmental processes","Day10","PGEN_.00g333150","Q01320","TOP2A"
"48","GO:0040016",0.0448722631619172,0.997092726753993,2,4,"embryonic cleavage","BP","P","developmental processes","Day10","PGEN_.00g009130","Q7ZVT3","SAS6"
"49","GO:0003223",0.0471904781980947,0.992931281337803,3,9,"ventricular compact myocardium morphogenesis","BP","P","developmental processes","Day10","PGEN_.00g299380","C0HL13","LRP2"
"50","GO:0003223",0.0471904781980947,0.992931281337803,3,9,"ventricular compact myocardium morphogenesis","BP","P","developmental processes","Day10","PGEN_.00g229320","P98158","LRP2"
"51","GO:0003223",0.0471904781980947,0.992931281337803,3,9,"ventricular compact myocardium morphogenesis","BP","P","developmental processes","Day10","PGEN_.00g229340","P98158","LRP2"
"52","GO:0003139",0.0485490408172994,0.992642786637698,3,9,"secondary heart field specification","BP","P","developmental processes","Day10","PGEN_.00g299380","C0HL13","LRP2"
"53","GO:0003139",0.0485490408172994,0.992642786637698,3,9,"secondary heart field specification","BP","P","developmental processes","Day10","PGEN_.00g229320","P98158","LRP2"
"54","GO:0003139",0.0485490408172994,0.992642786637698,3,9,"secondary heart field specification","BP","P","developmental processes","Day10","PGEN_.00g229340","P98158","LRP2"
"339","GO:0060027",0.00897605564063319,0.999827353531687,2,3,"convergent extension involved in gastrulation","BP","P","developmental processes","Day135","PGEN_.00g303590","Q4H4B6","SCRIB"
"340","GO:0060027",0.00897605564063319,0.999827353531687,2,3,"convergent extension involved in gastrulation","BP","P","developmental processes","Day135","PGEN_.00g036790","Q08BI9","MCU"
"341","GO:0035261",0.0166094998641307,0.999219226083548,2,6,"external genitalia morphogenesis","BP","P","developmental processes","Day135","PGEN_.00g010610","O75581","LRP6"
"342","GO:0035261",0.0166094998641307,0.999219226083548,2,6,"external genitalia morphogenesis","BP","P","developmental processes","Day135","PGEN_.00g008040","Q6KCD5","NIPBL"
"343","GO:0003428",0.0244864372246429,1,1,1,"chondrocyte intercalation involved in growth plate cartilage morphogenesis","BP","P","developmental processes","Day135","PGEN_.00g215970","Q6TEN1","RAP1B"
"344","GO:0060536",0.0244864372246429,1,1,1,"cartilage morphogenesis","BP","P","developmental processes","Day135","PGEN_.00g215970","Q6TEN1","RAP1B"
"345","GO:0035886",0.0258483159490244,1,1,1,"vascular associated smooth muscle cell differentiation","BP","P","developmental processes","Day135","PGEN_.00g122490","Q9H2F5","EPC1"
"346","GO:0007491",0.0426135313270594,0.999537157923488,1,2,"sternite morphogenesis","BP","P","developmental processes","Day135","PGEN_.00g162010","Q961D9","BCL9"
"347","GO:0035223",0.0426135313270594,0.999537157923488,1,2,"leg disc pattern formation","BP","P","developmental processes","Day135","PGEN_.00g162010","Q961D9","BCL9"
"348","GO:0035293",0.0426135313270594,0.999537157923488,1,2,"chitin-based larval cuticle pattern formation","BP","P","developmental processes","Day135","PGEN_.00g162010","Q961D9","BCL9"
"349","GO:0040024",0.0430803742408247,1,1,1,"dauer larval development","BP","P","developmental processes","Day135","PGEN_.00g110700","G5EFF5","DAF12"
"350","GO:0061065",0.0430803742408247,1,1,1,"regulation of dauer larval development","BP","P","developmental processes","Day135","PGEN_.00g110700","G5EFF5","DAF12"
"351","GO:0061066",0.0430803742408247,1,1,1,"positive regulation of dauer larval development","BP","P","developmental processes","Day135","PGEN_.00g110700","G5EFF5","DAF12"
"352","GO:0045061",0.0493779987589912,1,1,1,"thymic T cell selection","BP","P","developmental processes","Day135","PGEN_.00g045860","Q8CIS0","CAR11"
"545","GO:0030502",0.00833616201039215,1,2,2,"negative regulation of bone mineralization","BP","P","developmental processes","Day145","PGEN_.00g252700","Q9ESQ5","TRPM4"
"546","GO:0030502",0.00833616201039215,1,2,2,"negative regulation of bone mineralization","BP","P","developmental processes","Day145","PGEN_.00g232320","Q8CGN4","BCOR"
"547","GO:0055013",0.00945450511311179,0.999737066926822,2,4,"cardiac muscle cell development","BP","P","developmental processes","Day145","PGEN_.00g211830","P16056","MET"
"548","GO:0055013",0.00945450511311179,0.999737066926822,2,4,"cardiac muscle cell development","BP","P","developmental processes","Day145","PGEN_.00g085220","P82349","SGCB"
"549","GO:0060740",0.00946266255953276,0.999812550463054,2,3,"prostate gland epithelium morphogenesis","BP","P","developmental processes","Day145","PGEN_.00g149640","Q80YX1","TENA"
"550","GO:0060740",0.00946266255953276,0.999812550463054,2,3,"prostate gland epithelium morphogenesis","BP","P","developmental processes","Day145","PGEN_.00g242340","Q01705","NOTC1"
"551","GO:0072160",0.0104379417945889,0.99978216979177,2,3,"nephron tubule epithelial cell differentiation","BP","P","developmental processes","Day145","PGEN_.00g171350","Q8R1S4","MTSS1"
"552","GO:0072160",0.0104379417945889,0.99978216979177,2,3,"nephron tubule epithelial cell differentiation","BP","P","developmental processes","Day145","PGEN_.00g171340","O43312","MTSS1"
"553","GO:0090051",0.0148295789217842,0.999476379347083,2,4,"negative regulation of cell migration involved in sprouting angiogenesis","BP","P","developmental processes","Day145","PGEN_.00g098500","Q923Q2","STA13"
