"","gene","GO.Slim.Term","adj.pval.Initial.Treatment","scaffold","start","end","uniprot.id","uniprot_taxa.id","Uniprot.Name","GO.IDs","GO.Descript"
"33","PGEN_.00g034960","other biological processes",0.000537079609391365,"Scaffold_02",5027890,5060492,"P82094","TMF1_HUMAN","TATA element modulatory factor (TMF) (Androgen receptor coactivator 160 kDa protein) (Androgen receptor-associated protein of 160 kDa)","GO:0000139; GO:0001675; GO:0001819; GO:0003677; GO:0003712; GO:0005634; GO:0005783; GO:0005794; GO:0005829; GO:0006355; GO:0006366; GO:0007289; GO:0010629; GO:0030317; GO:0032275; GO:0033327; GO:0042742; GO:0043066; GO:0061136; GO:0071407; GO:2000845","cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; nucleus [GO:0005634]; DNA binding [GO:0003677]; transcription coregulator activity [GO:0003712]; acrosome assembly [GO:0001675]; cellular response to organic cyclic compound [GO:0071407]; defense response to bacterium [GO:0042742]; flagellated sperm motility [GO:0030317]; Leydig cell differentiation [GO:0033327]; luteinizing hormone secretion [GO:0032275]; negative regulation of apoptotic process [GO:0043066]; negative regulation of gene expression [GO:0010629]; positive regulation of cytokine production [GO:0001819]; positive regulation of testosterone secretion [GO:2000845]; regulation of proteasomal protein catabolic process [GO:0061136]; regulation of transcription, DNA-templated [GO:0006355]; spermatid nucleus differentiation [GO:0007289]; transcription by RNA polymerase II [GO:0006366]"
"34","PGEN_.00g035760","other biological processes",6.25415833796371e-05,"Scaffold_02",6933686,6957520,"Q13976","KGP1_HUMAN","cGMP-dependent protein kinase 1 (cGK 1) (cGK1) (EC 2.7.11.12) (cGMP-dependent protein kinase I) (cGKI)","GO:0001764; GO:0004672; GO:0004692; GO:0005246; GO:0005524; GO:0005737; GO:0005794; GO:0005829; GO:0005886; GO:0006468; GO:0007165; GO:0016358; GO:0019934; GO:0030036; GO:0030553; GO:0030900; GO:0042802; GO:0043087; GO:0060087; GO:0090331; GO:1904706; GO:1904753","cytoplasm [GO:0005737]; cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; calcium channel regulator activity [GO:0005246]; cGMP binding [GO:0030553]; cGMP-dependent protein kinase activity [GO:0004692]; identical protein binding [GO:0042802]; protein kinase activity [GO:0004672]; actin cytoskeleton organization [GO:0030036]; cGMP-mediated signaling [GO:0019934]; dendrite development [GO:0016358]; forebrain development [GO:0030900]; negative regulation of platelet aggregation [GO:0090331]; negative regulation of vascular associated smooth muscle cell migration [GO:1904753]; negative regulation of vascular smooth muscle cell proliferation [GO:1904706]; neuron migration [GO:0001764]; protein phosphorylation [GO:0006468]; regulation of GTPase activity [GO:0043087]; relaxation of vascular smooth muscle [GO:0060087]; signal transduction [GO:0007165]"
"35","PGEN_.00g039910","other biological processes",7.43076197811576e-13,"Scaffold_02",18692227,18717405,"O75179","ANR17_HUMAN","Ankyrin repeat domain-containing protein 17 (Gene trap ankyrin repeat protein) (Serologically defined breast cancer antigen NY-BR-16)","GO:0000785; GO:0001955; GO:0003682; GO:0003723; GO:0005634; GO:0005654; GO:0005737; GO:0006275; GO:0016020; GO:0016032; GO:0031965; GO:0042742; GO:0043123; GO:0045087; GO:0045787; GO:0051151; GO:1900087; GO:1900245; GO:1900246","chromatin [GO:0000785]; cytoplasm [GO:0005737]; membrane [GO:0016020]; nuclear membrane [GO:0031965]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; chromatin binding [GO:0003682]; RNA binding [GO:0003723]; blood vessel maturation [GO:0001955]; defense response to bacterium [GO:0042742]; innate immune response [GO:0045087]; negative regulation of smooth muscle cell differentiation [GO:0051151]; positive regulation of cell cycle [GO:0045787]; positive regulation of G1/S transition of mitotic cell cycle [GO:1900087]; positive regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043123]; positive regulation of MDA-5 signaling pathway [GO:1900245]; positive regulation of RIG-I signaling pathway [GO:1900246]; regulation of DNA replication [GO:0006275]; viral process [GO:0016032]"
"36","PGEN_.00g041420","other biological processes",0.000340960758759772,"Scaffold_02",23155200,23191616,"O00124","UBXN8_HUMAN","UBX domain-containing protein 8 (Reproduction 8 protein) (Rep-8 protein) (UBX domain-containing protein 6)","GO:0005654; GO:0005730; GO:0005783; GO:0007338; GO:0030176; GO:0030433","endoplasmic reticulum [GO:0005783]; integral component of endoplasmic reticulum membrane [GO:0030176]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; single fertilization [GO:0007338]; ubiquitin-dependent ERAD pathway [GO:0030433]"
"37","PGEN_.00g042060","other biological processes",3.62201342149473e-13,"Scaffold_02",24866494,24888516,"P51049","MR1BB_DANRE","Melatonin receptor type 1B-B (Mel-1B-R-B) (Mel1b receptor B) (Melatonin receptor Mel1b Z2.6-4) (zMel1b-1)","GO:0004930; GO:0005886; GO:0008502; GO:0016021; GO:0048511","integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; G protein-coupled receptor activity [GO:0004930]; melatonin receptor activity [GO:0008502]; rhythmic process [GO:0048511]"
"38","PGEN_.00g043300","other biological processes",1.25631747095955e-10,"Scaffold_02",28520130,28523424,"Q07076","ANXA7_MOUSE","Annexin A7 (Annexin VII) (Annexin-7) (Synexin)","GO:0005178; GO:0005509; GO:0005544; GO:0005623; GO:0005634; GO:0005635; GO:0005789; GO:0005829; GO:0005886; GO:0006874; GO:0006914; GO:0007599; GO:0008283; GO:0008360; GO:0009651; GO:0009992; GO:0010629; GO:0014070; GO:0030855; GO:0031982; GO:0042584; GO:0042802; GO:0048306; GO:0051592; GO:0061025; GO:0062023","cell [GO:0005623]; chromaffin granule membrane [GO:0042584]; collagen-containing extracellular matrix [GO:0062023]; cytosol [GO:0005829]; endoplasmic reticulum membrane [GO:0005789]; nuclear envelope [GO:0005635]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; vesicle [GO:0031982]; calcium ion binding [GO:0005509]; calcium-dependent phospholipid binding [GO:0005544]; calcium-dependent protein binding [GO:0048306]; identical protein binding [GO:0042802]; integrin binding [GO:0005178]; autophagy [GO:0006914]; cell population proliferation [GO:0008283]; cellular calcium ion homeostasis [GO:0006874]; cellular water homeostasis [GO:0009992]; epithelial cell differentiation [GO:0030855]; hemostasis [GO:0007599]; membrane fusion [GO:0061025]; negative regulation of gene expression [GO:0010629]; regulation of cell shape [GO:0008360]; response to calcium ion [GO:0051592]; response to organic cyclic compound [GO:0014070]; response to salt stress [GO:0009651]"
"39","PGEN_.00g043790","other biological processes",1.30398028402998e-73,"Scaffold_02",29899614,29910977,"P97346","NXN_MOUSE","Nucleoredoxin (EC 1.8.1.8) (Protein Red-1)","GO:0001701; GO:0004791; GO:0005623; GO:0005634; GO:0005829; GO:0016055; GO:0030154; GO:0030178; GO:0031397; GO:0045454; GO:0047134; GO:0072358","cell [GO:0005623]; cytosol [GO:0005829]; nucleus [GO:0005634]; protein-disulfide reductase activity [GO:0047134]; thioredoxin-disulfide reductase activity [GO:0004791]; cardiovascular system development [GO:0072358]; cell differentiation [GO:0030154]; cell redox homeostasis [GO:0045454]; in utero embryonic development [GO:0001701]; negative regulation of protein ubiquitination [GO:0031397]; negative regulation of Wnt signaling pathway [GO:0030178]; Wnt signaling pathway [GO:0016055]"
"40","PGEN_.00g046580","other biological processes",0.0402807042333231,"Scaffold_02",37873672,37938635,"Q9HBG4","VPP4_HUMAN","V-type proton ATPase 116 kDa subunit a isoform 4 (V-ATPase 116 kDa isoform a4) (Vacuolar proton translocating ATPase 116 kDa subunit a isoform 4) (Vacuolar proton translocating ATPase 116 kDa subunit a kidney isoform)","GO:0000220; GO:0001503; GO:0005623; GO:0005765; GO:0005768; GO:0005886; GO:0006885; GO:0007035; GO:0007588; GO:0007605; GO:0008286; GO:0010008; GO:0016021; GO:0016324; GO:0016471; GO:0030670; GO:0031526; GO:0033572; GO:0034220; GO:0045177; GO:0046961; GO:0051117; GO:0070062; GO:0090383; GO:1902600","apical part of cell [GO:0045177]; apical plasma membrane [GO:0016324]; brush border membrane [GO:0031526]; cell [GO:0005623]; endosome [GO:0005768]; endosome membrane [GO:0010008]; extracellular exosome [GO:0070062]; integral component of membrane [GO:0016021]; lysosomal membrane [GO:0005765]; phagocytic vesicle membrane [GO:0030670]; plasma membrane [GO:0005886]; vacuolar proton-transporting V-type ATPase complex [GO:0016471]; vacuolar proton-transporting V-type ATPase, V0 domain [GO:0000220]; ATPase binding [GO:0051117]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]; excretion [GO:0007588]; insulin receptor signaling pathway [GO:0008286]; ion transmembrane transport [GO:0034220]; ossification [GO:0001503]; phagosome acidification [GO:0090383]; proton transmembrane transport [GO:1902600]; regulation of pH [GO:0006885]; sensory perception of sound [GO:0007605]; transferrin transport [GO:0033572]; vacuolar acidification [GO:0007035]"
"41","PGEN_.00g047370","other biological processes",0.0205688131055487,"Scaffold_02",39886101,39916155,"Q01177","PLMN_RAT","Plasminogen (EC 3.4.21.7) [Cleaved into: Plasmin heavy chain A; Activation peptide; Angiostatin; Plasmin heavy chain A, short form; Plasmin light chain B]","GO:0004175; GO:0004252; GO:0005102; GO:0005615; GO:0005623; GO:0005886; GO:0006508; GO:0007596; GO:0009986; GO:0010812; GO:0019897; GO:0019899; GO:0019900; GO:0019904; GO:0022617; GO:0031232; GO:0034185; GO:0042246; GO:0042730; GO:0043231; GO:0043536; GO:0044218; GO:0045445; GO:0046716; GO:0048771; GO:0051087; GO:0051603; GO:0051702; GO:0051918; GO:0051919; GO:0052213; GO:0060707; GO:0060716; GO:0071674; GO:0098685; GO:0098978; GO:0099183; GO:1904854; GO:1990405","cell [GO:0005623]; cell surface [GO:0009986]; extracellular space [GO:0005615]; extrinsic component of external side of plasma membrane [GO:0031232]; extrinsic component of plasma membrane [GO:0019897]; glutamatergic synapse [GO:0098978]; intracellular membrane-bounded organelle [GO:0043231]; other organism cell membrane [GO:0044218]; plasma membrane [GO:0005886]; Schaffer collateral - CA1 synapse [GO:0098685]; apolipoprotein binding [GO:0034185]; chaperone binding [GO:0051087]; endopeptidase activity [GO:0004175]; enzyme binding [GO:0019899]; kinase binding [GO:0019900]; proteasome core complex binding [GO:1904854]; protein antigen binding [GO:1990405]; protein domain specific binding [GO:0019904]; serine-type endopeptidase activity [GO:0004252]; signaling receptor binding [GO:0005102]; blood coagulation [GO:0007596]; extracellular matrix disassembly [GO:0022617]; fibrinolysis [GO:0042730]; interaction with symbiont [GO:0051702]; interaction with symbiont via secreted substance [GO:0052213]; labyrinthine layer blood vessel development [GO:0060716]; mononuclear cell migration [GO:0071674]; muscle cell cellular homeostasis [GO:0046716]; myoblast differentiation [GO:0045445]; negative regulation of cell-substrate adhesion [GO:0010812]; negative regulation of fibrinolysis [GO:0051918]; positive regulation of blood vessel endothelial cell migration [GO:0043536]; positive regulation of fibrinolysis [GO:0051919]; proteolysis [GO:0006508]; proteolysis involved in cellular protein catabolic process [GO:0051603]; tissue regeneration [GO:0042246]; tissue remodeling [GO:0048771]; trans-synaptic signaling by BDNF, modulating synaptic transmission [GO:0099183]; trophoblast giant cell differentiation [GO:0060707]"
"42","PGEN_.00g047810","other biological processes",0.0215829151941581,"Scaffold_02",40785870,40793955,"P97615","THIOM_RAT","Thioredoxin, mitochondrial (MTRX) (Mt-Trx) (Thioredoxin-2)","GO:0001666; GO:0005623; GO:0005730; GO:0005739; GO:0006662; GO:0006979; GO:0009725; GO:0009749; GO:0014070; GO:0015035; GO:0030425; GO:0031669; GO:0042493; GO:0043025; GO:0044877; GO:0045454; GO:0048678","cell [GO:0005623]; dendrite [GO:0030425]; mitochondrion [GO:0005739]; neuronal cell body [GO:0043025]; nucleolus [GO:0005730]; protein disulfide oxidoreductase activity [GO:0015035]; protein-containing complex binding [GO:0044877]; cell redox homeostasis [GO:0045454]; cellular response to nutrient levels [GO:0031669]; glycerol ether metabolic process [GO:0006662]; response to axon injury [GO:0048678]; response to drug [GO:0042493]; response to glucose [GO:0009749]; response to hormone [GO:0009725]; response to hypoxia [GO:0001666]; response to organic cyclic compound [GO:0014070]; response to oxidative stress [GO:0006979]"
"43","PGEN_.00g048200","other biological processes",0.0212089068904458,"Scaffold_02",41956931,41984696,"Q96EB6","SIR1_HUMAN","NAD-dependent protein deacetylase sirtuin-1 (hSIRT1) (EC 2.3.1.286) (NAD-dependent protein deacylase sirtuin-1) (EC 2.3.1.-) (Regulatory protein SIR2 homolog 1) (SIR2-like protein 1) (hSIR2) [Cleaved into: SirtT1 75 kDa fragment (75SirT1)]","GO:0000012; GO:0000122; GO:0000183; GO:0000720; GO:0000731; GO:0000790; GO:0001228; GO:0001525; GO:0001542; GO:0001678; GO:0001934; GO:0001938; GO:0002039; GO:0002821; GO:0003714; GO:0004407; GO:0005623; GO:0005634; GO:0005635; GO:0005637; GO:0005654; GO:0005677; GO:0005719; GO:0005720; GO:0005730; GO:0005737; GO:0005739; GO:0005829; GO:0006325; GO:0006343; GO:0006344; GO:0006346; GO:0006476; GO:0006642; GO:0006974; GO:0006979; GO:0007179; GO:0007283; GO:0007346; GO:0007517; GO:0007569; GO:0008022; GO:0008134; GO:0008284; GO:0009267; GO:0010629; GO:0010875; GO:0010883; GO:0010906; GO:0010934; GO:0014068; GO:0016032; GO:0016239; GO:0016567; GO:0016575; GO:0016605; GO:0016740; GO:0017136; GO:0018394; GO:0019213; GO:0019899; GO:0030225; GO:0030308; GO:0030512; GO:0031393; GO:0031648; GO:0031937; GO:0032007; GO:0032071; GO:0032088; GO:0032868; GO:0032922; GO:0033210; GO:0033553; GO:0033558; GO:0034391; GO:0034979; GO:0034983; GO:0035257; GO:0035356; GO:0035358; GO:0042127; GO:0042326; GO:0042393; GO:0042542; GO:0042595; GO:0042632; GO:0042771; GO:0042802; GO:0042981; GO:0043065; GO:0043066; GO:0043124; GO:0043161; GO:0043280; GO:0043398; GO:0043425; GO:0043433; GO:0043518; GO:0043536; GO:0044321; GO:0045348; GO:0045599; GO:0045722; GO:0045739; GO:0045766; GO:0045892; GO:0045944; GO:0046628; GO:0046872; GO:0046969; GO:0050872; GO:0051019; GO:0051097; GO:0051152; GO:0051574; GO:0051898; GO:0055089; GO:0060766; GO:0070301; GO:0070403; GO:0070857; GO:0070914; GO:0070932; GO:0071356; GO:0071441; GO:0071456; GO:0071479; GO:0071900; GO:0090335; GO:0090400; GO:1900034; GO:1900113; GO:1901215; GO:1901984; GO:1902166; GO:1902176; GO:1902237; GO:1904179; GO:1990254; GO:1990830; GO:2000111; GO:2000480; GO:2000481; GO:2000619; GO:2000655; GO:2000757; GO:2000773; GO:2000774","cell [GO:0005623]; chromatin silencing complex [GO:0005677]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; mitochondrion [GO:0005739]; nuclear chromatin [GO:0000790]; nuclear envelope [GO:0005635]; nuclear euchromatin [GO:0005719]; nuclear heterochromatin [GO:0005720]; nuclear inner membrane [GO:0005637]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; PML body [GO:0016605]; rDNA heterochromatin [GO:0033553]; bHLH transcription factor binding [GO:0043425]; deacetylase activity [GO:0019213]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; enzyme binding [GO:0019899]; histone binding [GO:0042393]; histone deacetylase activity [GO:0004407]; HLH domain binding [GO:0043398]; identical protein binding [GO:0042802]; keratin filament binding [GO:1990254]; metal ion binding [GO:0046872]; mitogen-activated protein kinase binding [GO:0051019]; NAD+ binding [GO:0070403]; NAD-dependent histone deacetylase activity [GO:0017136]; NAD-dependent histone deacetylase activity (H3-K9 specific) [GO:0046969]; NAD-dependent protein deacetylase activity [GO:0034979]; nuclear hormone receptor binding [GO:0035257]; p53 binding [GO:0002039]; protein C-terminus binding [GO:0008022]; protein deacetylase activity [GO:0033558]; transcription corepressor activity [GO:0003714]; transcription factor binding [GO:0008134]; transferase activity [GO:0016740]; angiogenesis [GO:0001525]; behavioral response to starvation [GO:0042595]; cell aging [GO:0007569]; cellular glucose homeostasis [GO:0001678]; cellular response to DNA damage stimulus [GO:0006974]; cellular response to hydrogen peroxide [GO:0070301]; cellular response to hypoxia [GO:0071456]; cellular response to ionizing radiation [GO:0071479]; cellular response to leukemia inhibitory factor [GO:1990830]; cellular response to starvation [GO:0009267]; cellular response to tumor necrosis factor [GO:0071356]; cellular triglyceride homeostasis [GO:0035356]; cholesterol homeostasis [GO:0042632]; chromatin organization [GO:0006325]; chromatin silencing at rDNA [GO:0000183]; circadian regulation of gene expression [GO:0032922]; DNA synthesis involved in DNA repair [GO:0000731]; establishment of chromatin silencing [GO:0006343]; fatty acid homeostasis [GO:0055089]; histone deacetylation [GO:0016575]; histone H3 deacetylation [GO:0070932]; intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator [GO:0042771]; leptin-mediated signaling pathway [GO:0033210]; macrophage cytokine production [GO:0010934]; macrophage differentiation [GO:0030225]; maintenance of chromatin silencing [GO:0006344]; methylation-dependent chromatin silencing [GO:0006346]; muscle organ development [GO:0007517]; negative regulation of androgen receptor signaling pathway [GO:0060766]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cAMP-dependent protein kinase activity [GO:2000480]; negative regulation of cell growth [GO:0030308]; negative regulation of cellular response to testosterone stimulus [GO:2000655]; negative regulation of cellular senescence [GO:2000773]; negative regulation of DNA damage response, signal transduction by p53 class mediator [GO:0043518]; negative regulation of DNA-binding transcription factor activity [GO:0043433]; negative regulation of fat cell differentiation [GO:0045599]; negative regulation of gene expression [GO:0010629]; negative regulation of helicase activity [GO:0051097]; negative regulation of histone H3-K14 acetylation [GO:0071441]; negative regulation of histone H3-K9 trimethylation [GO:1900113]; negative regulation of histone H4-K16 acetylation [GO:2000619]; negative regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043124]; negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator [GO:1902166]; negative regulation of neuron death [GO:1901215]; negative regulation of NF-kappaB transcription factor activity [GO:0032088]; negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway [GO:1902176]; negative regulation of peptidyl-lysine acetylation [GO:2000757]; negative regulation of phosphorylation [GO:0042326]; negative regulation of prostaglandin biosynthetic process [GO:0031393]; negative regulation of protein acetylation [GO:1901984]; negative regulation of protein kinase B signaling [GO:0051898]; negative regulation of TOR signaling [GO:0032007]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transcription, DNA-templated [GO:0045892]; negative regulation of transforming growth factor beta receptor signaling pathway [GO:0030512]; ovulation from ovarian follicle [GO:0001542]; peptidyl-lysine acetylation [GO:0018394]; peptidyl-lysine deacetylation [GO:0034983]; positive regulation of adaptive immune response [GO:0002821]; positive regulation of adipose tissue development [GO:1904179]; positive regulation of angiogenesis [GO:0045766]; positive regulation of apoptotic process [GO:0043065]; positive regulation of blood vessel endothelial cell migration [GO:0043536]; positive regulation of cAMP-dependent protein kinase activity [GO:2000481]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of cellular senescence [GO:2000774]; positive regulation of cholesterol efflux [GO:0010875]; positive regulation of chromatin silencing [GO:0031937]; positive regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043280]; positive regulation of DNA repair [GO:0045739]; positive regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway [GO:1902237]; positive regulation of endothelial cell proliferation [GO:0001938]; positive regulation of gluconeogenesis [GO:0045722]; positive regulation of histone H3-K9 methylation [GO:0051574]; positive regulation of insulin receptor signaling pathway [GO:0046628]; positive regulation of macroautophagy [GO:0016239]; positive regulation of macrophage apoptotic process [GO:2000111]; positive regulation of MHC class II biosynthetic process [GO:0045348]; positive regulation of phosphatidylinositol 3-kinase signaling [GO:0014068]; positive regulation of protein phosphorylation [GO:0001934]; positive regulation of smooth muscle cell differentiation [GO:0051152]; positive regulation of transcription by RNA polymerase II [GO:0045944]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein deacetylation [GO:0006476]; protein destabilization [GO:0031648]; protein ubiquitination [GO:0016567]; pyrimidine dimer repair by nucleotide-excision repair [GO:0000720]; regulation of apoptotic process [GO:0042981]; regulation of bile acid biosynthetic process [GO:0070857]; regulation of brown fat cell differentiation [GO:0090335]; regulation of cell population proliferation [GO:0042127]; regulation of cellular response to heat [GO:1900034]; regulation of endodeoxyribonuclease activity [GO:0032071]; regulation of glucose metabolic process [GO:0010906]; regulation of lipid storage [GO:0010883]; regulation of mitotic cell cycle [GO:0007346]; regulation of peroxisome proliferator activated receptor signaling pathway [GO:0035358]; regulation of protein serine/threonine kinase activity [GO:0071900]; regulation of smooth muscle cell apoptotic process [GO:0034391]; response to hydrogen peroxide [GO:0042542]; response to insulin [GO:0032868]; response to leptin [GO:0044321]; response to oxidative stress [GO:0006979]; single strand break repair [GO:0000012]; spermatogenesis [GO:0007283]; stress-induced premature senescence [GO:0090400]; transforming growth factor beta receptor signaling pathway [GO:0007179]; triglyceride mobilization [GO:0006642]; UV-damage excision repair [GO:0070914]; viral process [GO:0016032]; white fat cell differentiation [GO:0050872]"
"44","PGEN_.00g049510","other biological processes",1.6956699451494e-09,"Scaffold_02",45350315,45373894,"Q8TDM6","DLG5_HUMAN","Disks large homolog 5 (Discs large protein P-dlg) (Placenta and prostate DLG)","GO:0001837; GO:0005737; GO:0005886; GO:0005913; GO:0007165; GO:0008013; GO:0008092; GO:0008285; GO:0014069; GO:0030011; GO:0030054; GO:0030159; GO:0030336; GO:0030859; GO:0030901; GO:0035331; GO:0035332; GO:0035556; GO:0036064; GO:0042130; GO:0042981; GO:0045176; GO:0045186; GO:0045197; GO:0045880; GO:0051965; GO:0060441; GO:0060999; GO:0065003; GO:0071896; GO:0072205; GO:0098609","cell junction [GO:0030054]; cell-cell adherens junction [GO:0005913]; ciliary basal body [GO:0036064]; cytoplasm [GO:0005737]; plasma membrane [GO:0005886]; postsynaptic density [GO:0014069]; beta-catenin binding [GO:0008013]; cytoskeletal protein binding [GO:0008092]; receptor signaling complex adaptor activity [GO:0030159]; apical protein localization [GO:0045176]; cell-cell adhesion [GO:0098609]; epithelial to mesenchymal transition [GO:0001837]; epithelial tube branching involved in lung morphogenesis [GO:0060441]; establishment or maintenance of epithelial cell apical/basal polarity [GO:0045197]; intracellular signal transduction [GO:0035556]; maintenance of cell polarity [GO:0030011]; metanephric collecting duct development [GO:0072205]; midbrain development [GO:0030901]; negative regulation of cell migration [GO:0030336]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of hippo signaling [GO:0035331]; negative regulation of T cell proliferation [GO:0042130]; polarized epithelial cell differentiation [GO:0030859]; positive regulation of dendritic spine development [GO:0060999]; positive regulation of hippo signaling [GO:0035332]; positive regulation of smoothened signaling pathway [GO:0045880]; positive regulation of synapse assembly [GO:0051965]; protein localization to adherens junction [GO:0071896]; protein-containing complex assembly [GO:0065003]; regulation of apoptotic process [GO:0042981]; signal transduction [GO:0007165]; zonula adherens assembly [GO:0045186]"
"45","PGEN_.00g051240","other biological processes",2.45196333300762e-05,"Scaffold_02",50348448,50400042,"Q6YKA8","DRK_DROSI","Protein E(sev)2B (Downstream of receptor kinase) (Protein enhancer of sevenless 2B) (SH2-SH3 adapter protein drk)","GO:0001784; GO:0005070; GO:0005118; GO:0005154; GO:0005654; GO:0005886; GO:0007173; GO:0007265; GO:0007426; GO:0007427; GO:0007476; GO:0007605; GO:0007614; GO:0008293; GO:0008355; GO:0008543; GO:0030707; GO:0032991; GO:0045500; GO:0045793; GO:0048010; GO:0048260; GO:0070374; GO:0098793; GO:1904263","nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]; presynapse [GO:0098793]; protein-containing complex [GO:0032991]; epidermal growth factor receptor binding [GO:0005154]; phosphotyrosine residue binding [GO:0001784]; sevenless binding [GO:0005118]; SH3/SH2 adaptor activity [GO:0005070]; epidermal growth factor receptor signaling pathway [GO:0007173]; epithelial cell migration, open tracheal system [GO:0007427]; fibroblast growth factor receptor signaling pathway [GO:0008543]; imaginal disc-derived wing morphogenesis [GO:0007476]; olfactory learning [GO:0008355]; ovarian follicle cell development [GO:0030707]; positive regulation of cell size [GO:0045793]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of receptor-mediated endocytosis [GO:0048260]; positive regulation of TORC1 signaling [GO:1904263]; Ras protein signal transduction [GO:0007265]; sensory perception of sound [GO:0007605]; sevenless signaling pathway [GO:0045500]; short-term memory [GO:0007614]; torso signaling pathway [GO:0008293]; tracheal outgrowth, open tracheal system [GO:0007426]; vascular endothelial growth factor receptor signaling pathway [GO:0048010]"
"46","PGEN_.00g051430","other biological processes",4.57083963530111e-07,"Scaffold_02",50797608,50888432,"Q2HJF4","PBLD_BOVIN","Phenazine biosynthesis-like domain-containing protein (EC 5.1.-.-)","GO:0005737; GO:0009058; GO:0010633; GO:0010719; GO:0016853; GO:0030277; GO:0030512; GO:0042802; GO:0050680; GO:0060392; GO:0060394","cytoplasm [GO:0005737]; identical protein binding [GO:0042802]; isomerase activity [GO:0016853]; biosynthetic process [GO:0009058]; maintenance of gastrointestinal epithelium [GO:0030277]; negative regulation of epithelial cell migration [GO:0010633]; negative regulation of epithelial cell proliferation [GO:0050680]; negative regulation of epithelial to mesenchymal transition [GO:0010719]; negative regulation of pathway-restricted SMAD protein phosphorylation [GO:0060394]; negative regulation of SMAD protein signal transduction [GO:0060392]; negative regulation of transforming growth factor beta receptor signaling pathway [GO:0030512]"
