"uniprot.id"	"gene"	"adj.pval.treatment"	"start"	"end"	"score"	"Match.ID"	"m_start"	"m_end"	"E.value"	"identity"	"al"	"protein.name.short"	"protein.name.long"	"gene.names"	"organism"	"GO.IDs"
"Q91755"	"PGEN_.00g167890"	3.51950117789588e-85	11	76	163	"sp|Q91755|GRIK2_XENLA"	2	67	2.24e-13	43.939	66	"GRIK2_XENLA"	"Glutamate receptor ionotropic, kainate 2 (GluK2) (Glutamate receptor 6) (GluR-6) (GluR6) (Fragment)"	"grik2 glur6"	"Xenopus laevis (African clawed frog)"	"GO:0005234; GO:0016021; GO:0030054; GO:0038023; GO:0045211"
"Q61165"	"PGEN_.00g277910"	1.80557628362633e-81	41	597	785	"sp|Q61165|SL9A1_MOUSE"	58	621	5.45e-91	39.292	565	"SL9A1_MOUSE"	"Sodium/hydrogen exchanger 1 (Na(+)/H(+) exchanger 1) (NHE-1) (Solute carrier family 9 member 1)"	"Slc9a1 Nhe1"	"Mus musculus (Mouse)"	"GO:0002026; GO:0005516; GO:0005623; GO:0005654; GO:0005737; GO:0005739; GO:0005783; GO:0005789; GO:0005886; GO:0005887; GO:0006814; GO:0006883; GO:0006885; GO:0009986; GO:0010447; GO:0010613; GO:0010882; GO:0014070; GO:0014704; GO:0015385; GO:0015386; GO:0016020; GO:0016323; GO:0016324; GO:0030307; GO:0030315; GO:0030346; GO:0032869; GO:0035794; GO:0035994; GO:0036376; GO:0042383; GO:0043065; GO:0043066; GO:0045121; GO:0045760; GO:0045944; GO:0048306; GO:0048471; GO:0051259; GO:0051453; GO:0051930; GO:0055007; GO:0070417; GO:0070886; GO:0070997; GO:0071236; GO:0071257; GO:0071456; GO:0071468; GO:0071805; GO:0071872; GO:0086003; GO:0086092; GO:0090533; GO:0098719; GO:0098735; GO:1902533; GO:1902600; GO:1903281"
NA	"PGEN_.00g034240"	1.18765864846474e-54	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g118900"	5.087801183272e-50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g026390"	4.09541051692717e-48	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g295480"	4.20296355045214e-48	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"P50164"	"PGEN_.00g279140"	2.07154754208044e-46	14	253	355	"sp|P50164|TRN2_HYONI"	72	316	8.26e-39	34.413	247	"TRN2_HYONI"	"Tropinone reductase 2 (EC 1.1.1.236) (Tropinone reductase II) (TR-II)"	"TR2"	"Hyoscyamus niger (Black henbane)"	"GO:0009710; GO:0050358"
NA	"PGEN_.00g140310"	1.77980846313605e-43	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g149270"	1.30633858252659e-42	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g104730"	6.71464796340932e-41	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g198290"	5.41354162994984e-40	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g073580"	2.48417199589157e-36	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g065810"	8.58360178884014e-35	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g343550"	7.64545111828937e-33	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g133900"	9.86802341727527e-33	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"P25107"	"PGEN_.00g261240"	2.22251750397471e-32	132	312	331	"sp|P25107|PTH1R_DIDVI"	59	237	3.68e-34	38.22	191	"PTH1R_DIDVI"	"Parathyroid hormone/parathyroid hormone-related peptide receptor (PTH/PTHrP type I receptor) (PTH/PTHr receptor) (Parathyroid hormone 1 receptor) (PTH1 receptor)"	"PTH1R PTHR PTHR1"	"Didelphis virginiana (North American opossum) (Didelphis marsupialis virginiana)"	"GO:0004991; GO:0005887; GO:0007166; GO:0007188; GO:0007189; GO:0017046; GO:0042803; GO:0043621"
"Q68CJ6"	"PGEN_.00g036880"	3.34334575248643e-32	150	408	265	"sp|Q68CJ6|SLIP_HUMAN"	9	276	2.54e-22	29.286	280	"SLIP_HUMAN"	"Nuclear GTPase SLIP-GC (EC 3.6.1.-) (Speckled-like pattern in the germinal center)"	"NUGGC C8orf80 HMFN0672"	"Homo sapiens (Human)"	"GO:0003924; GO:0005525; GO:0016607; GO:0033262; GO:0043066; GO:0071222"
NA	"PGEN_.00g233360"	4.01505010651367e-32	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g317860"	4.35522956593673e-30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"P61315"	"PGEN_.00g129780"	8.43583897801632e-30	66	335	294	"sp|P61315|G3ST3_MOUSE"	107	367	5.73e-28	28.315	279	"G3ST3_MOUSE"	"Galactose-3-O-sulfotransferase 3 (Gal3ST-3) (EC 2.8.2.-) (Beta-galactose-3-O-sulfotransferase 3) (Gal-beta-1, 3-GalNAc 3'-sulfotransferase 3)"	"Gal3st3"	"Mus musculus (Mouse)"	"GO:0001733; GO:0009247; GO:0016021; GO:0032580; GO:0050694"
NA	"PGEN_.00g130700"	1.403949592061e-29	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g120380"	9.89669192899473e-29	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g231770"	9.89669192899473e-29	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g186290"	1.12520756156299e-28	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g139560"	1.74039648766883e-28	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g291920"	4.00323337932056e-28	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Q29RK9"	"PGEN_.00g166530"	1.6014405719399e-26	7	216	883	"sp|Q29RK9|MOB3B_BOVIN"	15	226	9.75e-121	72.642	212	"MOB3B_BOVIN"	"MOB kinase activator 3B (Mob1 homolog 2b) (Mps one binder kinase activator-like 2B)"	"MOB3B MOBKL2B"	"Bos taurus (Bovine)"	"GO:0035330; GO:0046872"
NA	"PGEN_.00g139570"	6.50964525270867e-26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"P22699"	"PGEN_.00g322650"	1.91816727020192e-25	91	453	419	"sp|P22699|GUN6_DICDI"	1	372	1.22e-43	32.812	384	"GUN6_DICDI"	"Endoglucanase (EC 3.2.1.4) (Cellulase) (Endo-1,4-beta-glucanase) (Spore germination protein 270-6)"	"celA DDB_G0271134"	"Dictyostelium discoideum (Slime mold)"	"GO:0005576; GO:0008810; GO:0009847; GO:0030245; GO:0030248; GO:0030435"
NA	"PGEN_.00g034230"	1.91816727020192e-25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Q80YX1"	"PGEN_.00g149640"	2.59842343114523e-24	498	651	155	"sp|Q80YX1|TENA_MOUSE"	66	207	3.75e-09	32.298	161	"TENA_MOUSE"	"Tenascin (TN) (Hexabrachion) (Tenascin-C) (TN-C)"	"Tnc Hxb"	"Mus musculus (Mouse)"	"GO:0001968; GO:0005576; GO:0005604; GO:0005614; GO:0005615; GO:0007155; GO:0007162; GO:0007528; GO:0008284; GO:0009612; GO:0010628; GO:0014012; GO:0031012; GO:0031175; GO:0042060; GO:0042475; GO:0045471; GO:0045545; GO:0060447; GO:0060739; GO:0060740; GO:0062023; GO:0071300; GO:0071305; GO:0071774; GO:0071799; GO:0098966"
NA	"PGEN_.00g068720"	3.57678581916193e-24	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g035080"	4.13913556540347e-23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Q3L254"	"PGEN_.00g208580"	5.99597897942266e-22	5	349	996	"sp|Q3L254|WNT7B_CHICK"	9	352	7.69e-134	55.908	347	"WNT7B_CHICK"	"Protein Wnt-7b"	"WNT7B"	"Gallus gallus (Chicken)"	"GO:0005109; GO:0005615; GO:0016055; GO:0021871; GO:0030182; GO:0045165; GO:0046330; GO:0048018; GO:0048144; GO:0060070; GO:0070307; GO:0071300; GO:0072089"
NA	"PGEN_.00g271690"	6.72249847296957e-22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Q5ZIJ9"	"PGEN_.00g316170"	7.54414037108452e-22	7	357	659	"sp|Q5ZIJ9|MIB2_CHICK"	2	346	1.34e-74	41.737	357	"MIB2_CHICK"	"E3 ubiquitin-protein ligase MIB2 (EC 2.3.2.27) (Mind bomb homolog 2) (RING-type E3 ubiquitin transferase MIB2)"	"MIB2 RCJMB04_25j24"	"Gallus gallus (Chicken)"	"GO:0004842; GO:0005737; GO:0007219; GO:0008270; GO:0016567"
"O00411"	"PGEN_.00g316200"	8.15637521329843e-22	214	880	771	"sp|O00411|RPOM_HUMAN"	482	1157	6.67e-83	30.65	708	"RPOM_HUMAN"	"DNA-directed RNA polymerase, mitochondrial (MtRPOL) (EC 2.7.7.6)"	"POLRMT"	"Homo sapiens (Human)"	"GO:0001018; GO:0003723; GO:0003899; GO:0005739; GO:0005759; GO:0006390; GO:0006391; GO:0007005; GO:0032991; GO:0034245; GO:0042645; GO:0043565"
NA	"PGEN_.00g017320"	3.78044887377168e-21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"P00522"	"PGEN_.00g279870"	1.18288283240927e-20	105	639	2066	"sp|P00522|ABL_DROME"	27	519	0	68.411	535	"ABL_DROME"	"Tyrosine-protein kinase Abl (EC 2.7.10.2) (D-ash) (Protein abelson)"	"Abl ABL-1 Dash CG4032"	"Drosophila melanogaster (Fruit fly)"	"GO:0001764; GO:0003382; GO:0003401; GO:0004713; GO:0004715; GO:0005524; GO:0005737; GO:0005829; GO:0005911; GO:0005912; GO:0005927; GO:0005938; GO:0007268; GO:0007303; GO:0007370; GO:0007391; GO:0007409; GO:0007411; GO:0007417; GO:0007419; GO:0007611; GO:0008045; GO:0008064; GO:0008360; GO:0010592; GO:0010977; GO:0016199; GO:0018108; GO:0019897; GO:0021785; GO:0030424; GO:0031647; GO:0032880; GO:0045179; GO:0045202; GO:0045886; GO:0046777; GO:0046827; GO:0048749; GO:0048813; GO:0072499"
NA	"PGEN_.00g049230"	1.46714825892617e-20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Q29M42"	"PGEN_.00g001170"	7.05598949870019e-19	488	811	819	"sp|Q29M42|C2D1_DROPS"	527	852	5.56e-95	46.177	327	"C2D1_DROPS"	"Coiled-coil and C2 domain-containing protein 1-like"	"GA18377"	"Drosophila pseudoobscura pseudoobscura (Fruit fly)"	"GO:0001227"
"Q4PJX1"	"PGEN_.00g291910"	2.25802623428799e-18	1	368	463	"sp|Q4PJX1|ODR4_MOUSE"	1	354	1.37e-51	30.946	391	"ODR4_MOUSE"	"Protein odr-4 homolog (mODR-4)"	"Odr4"	"Mus musculus (Mouse)"	"GO:0008104; GO:0016021"
NA	"PGEN_.00g168070"	3.74050677290482e-18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Q60949"	"PGEN_.00g083720"	5.24634070374958e-18	743	1235	1499	"sp|Q60949|TBCD1_MOUSE"	755	1227	0	57.606	493	"TBCD1_MOUSE"	"TBC1 domain family member 1"	"Tbc1d1 Kiaa1108 Tbc1"	"Mus musculus (Mouse)"	"GO:0005096; GO:0005634; GO:0005829; GO:0006886; GO:0017137; GO:0032880; GO:0090630"
NA	"PGEN_.00g063860"	5.34474056314328e-18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"B0KTX4"	"PGEN_.00g108510"	1.88469963628505e-17	48	222	145	"sp|B0KTX4|UBIG_PSEPG"	756	926	8.38e-09	28.652	178	"UBIG_PSEPG"	"Ubiquinone biosynthesis O-methyltransferase (2-polyprenyl-6-hydroxyphenol methylase) (EC 2.1.1.222) (3-demethylubiquinone 3-O-methyltransferase) (EC 2.1.1.64)"	"ubiG PputGB1_1356"	"Pseudomonas putida (strain GB-1)"	"GO:0006744; GO:0008425; GO:0008689; GO:0032259"
NA	"PGEN_.00g294360"	1.01128018008184e-16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Q3UTY6"	"PGEN_.00g193010"	1.42285536019375e-16	800	1005	368	"sp|Q3UTY6|THSD4_MOUSE"	361	572	1.64e-35	41.589	214	"THSD4_MOUSE"	"Thrombospondin type-1 domain-containing protein 4 (A disintegrin and metalloproteinase with thrombospondin motifs-like protein 6) (ADAMTS-like protein 6) (ADAMTSL-6) (ADAMTS-like protein 4) (ADAMTSL-4)"	"Thsd4"	"Mus musculus (Mouse)"	"GO:0001527; GO:0008233; GO:0031012; GO:0048251"
"Q2TAD9"	"PGEN_.00g175550"	2.17095671423841e-16	48	363	1017	"sp|Q2TAD9|CYR1B_XENLA"	33	347	9.03e-137	56.329	316	"CYR1B_XENLA"	"Cysteine and histidine-rich protein 1-B"	"cyhr1-b"	"Xenopus laevis (African clawed frog)"	"GO:0005737; GO:0008270"
NA	"PGEN_.00g278820"	2.37198874111846e-16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g077070"	2.52291446225179e-16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Q9D0N7"	"PGEN_.00g071370"	3.59612666820187e-16	1	394	1203	"sp|Q9D0N7|CAF1B_MOUSE"	172	582	2.49e-155	53.494	415	"CAF1B_MOUSE"	"Chromatin assembly factor 1 subunit B (CAF-1 subunit B) (Chromatin assembly factor I p60 subunit) (CAF-I 60 kDa subunit) (CAF-I p60)"	"Chaf1b"	"Mus musculus (Mouse)"	"GO:0000790; GO:0005634; GO:0005654; GO:0006260; GO:0006281; GO:0006334; GO:0006335; GO:0007049; GO:0031497; GO:0032991; GO:0033186; GO:0042393"
NA	"PGEN_.00g123920"	1.69847835958214e-15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g050170"	4.64115694780311e-15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g295080"	5.10727037710724e-15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g101030"	6.50546262901363e-15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g143270"	1.28347443064659e-14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Q6NT16"	"PGEN_.00g302860"	1.94542540885941e-14	125	452	199	"sp|Q6NT16|S18B1_HUMAN"	308	615	5.64e-15	27.247	356	"S18B1_HUMAN"	"MFS-type transporter SLC18B1 (Solute carrier family 18 member B1)"	"SLC18B1 C6orf192"	"Homo sapiens (Human)"	"GO:0016021; GO:0055085"
"P21894"	"PGEN_.00g183880"	1.95573722879261e-14	1	101	477	"sp|P21894|SYAC_BOMMO"	110	210	1e-48	80.198	101	"SYAC_BOMMO"	"Alanine--tRNA ligase, cytoplasmic (EC 6.1.1.7) (Alanyl-tRNA synthetase) (AlaRS)"	""	"Bombyx mori (Silk moth)"	"GO:0000049; GO:0004813; GO:0005524; GO:0005737; GO:0006419; GO:0008270"
NA	"PGEN_.00g034500"	1.95573722879261e-14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g067250"	2.09570900756188e-14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g299000"	2.09570900756188e-14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Q99JR5"	"PGEN_.00g010200"	2.32129518528347e-14	35	421	808	"sp|Q99JR5|TINAL_MOUSE"	34	411	1.01e-102	44.527	402	"TINAL_MOUSE"	"Tubulointerstitial nephritis antigen-like (Adrenocortical zonation factor 1) (AZ-1) (Androgen-regulated gene 1 protein) (Tubulointerstitial nephritis antigen-related protein) (TARP)"	"Tinagl1 Arg1 Lcn7 Tinagl"	"Mus musculus (Mouse)"	"GO:0005615; GO:0005737; GO:0007155; GO:0008234; GO:0043236; GO:0062023"
"Q39565"	"PGEN_.00g110260"	3.29874250031434e-14	18	1765	1554	"sp|Q39565|DYHB_CHLRE"	2	1812	3.95e-171	25.973	1952	"DYHB_CHLRE"	"Dynein beta chain, flagellar outer arm"	"ODA4 ODA-4 SUP1"	"Chlamydomonas reinhardtii (Chlamydomonas smithii)"	"GO:0003777; GO:0005524; GO:0005737; GO:0005874; GO:0007018; GO:0030030; GO:0030286; GO:0031514"
NA	"PGEN_.00g103590"	9.15924534297615e-14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Q7Z5P9"	"PGEN_.00g069450"	1.3111163430265e-13	5237	6048	450	"sp|Q7Z5P9|MUC19_HUMAN"	4	790	1.91e-44	22.678	829	"MUC19_HUMAN"	"Mucin-19 (MUC-19)"	"MUC19"	"Homo sapiens (Human)"	"GO:0002223; GO:0005576; GO:0005796; GO:0005886; GO:0016266"
NA	"PGEN_.00g286080"	1.3111163430265e-13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g197680"	1.99725662371072e-13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Q8Q0U0"	"PGEN_.00g337850"	2.93091405771266e-13	115	273	207	"sp|Q8Q0U0|Y045_METMA"	103	264	2.56e-16	34.568	162	"Y045_METMA"	"Putative ankyrin repeat protein MM_0045"	"MM_0045"	"Methanosarcina mazei (strain ATCC BAA-159 / DSM 3647 / Goe1 / Go1 / JCM 11833 / OCM 88) (Methanosarcina frisia)"	""
NA	"PGEN_.00g122230"	3.42765446519205e-13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g075170"	4.24032053413204e-13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g016720"	4.24984465096331e-13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g010450"	4.75317441195819e-13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g139540"	5.25314522136698e-13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"O01761"	"PGEN_.00g334400"	5.58784149966648e-13	3165	3683	575	"sp|O01761|UNC89_CAEEL"	1746	2315	5.97e-57	29.655	580	"UNC89_CAEEL"	"Muscle M-line assembly protein unc-89 (Obscurin) (Uncoordinated protein 89)"	"unc-89 C09D1.1"	"Caenorhabditis elegans"	"GO:0004672; GO:0005089; GO:0005524; GO:0010628; GO:0014722; GO:0017048; GO:0019902; GO:0030241; GO:0031034; GO:0031430; GO:0031672; GO:0034613; GO:0040017; GO:0045214; GO:0045989; GO:0060298; GO:0071688; GO:0090736; GO:1905552; GO:1905905"
NA	"PGEN_.00g127570"	5.83043899634794e-13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Q3UCV8"	"PGEN_.00g153580"	9.58117906857757e-13	81	322	440	"sp|Q3UCV8|OTUL_MOUSE"	664	910	1.38e-46	37.349	249	"OTUL_MOUSE"	"Ubiquitin thioesterase otulin (EC 3.4.19.12) (Deubiquitinating enzyme otulin) (OTU domain-containing deubiquitinase with linear linkage specificity) (Ubiquitin thioesterase Gumby)"	"Otulin Fam105b Gum"	"Mus musculus (Mouse)"	"GO:0002040; GO:0004843; GO:0005737; GO:0008234; GO:0010803; GO:0016055; GO:0032088; GO:0045087; GO:0050728; GO:0060828; GO:0070431; GO:1990108"
"A6H611"	"PGEN_.00g228480"	1.0763000349499e-12	62	699	1805	"sp|A6H611|MIPEP_MOUSE"	11	654	0	52.241	647	"MIPEP_MOUSE"	"Mitochondrial intermediate peptidase (MIP) (EC 3.4.24.59)"	"Mipep"	"Mus musculus (Mouse)"	"GO:0004175; GO:0004222; GO:0005739; GO:0005759; GO:0006508; GO:0006518; GO:0006627; GO:0046872"
NA	"PGEN_.00g083000"	1.19031145579011e-12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g067240"	2.39450716308082e-12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g166960"	2.58547951101056e-12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g316040"	4.90677003175778e-12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"P82251"	"PGEN_.00g186170"	5.00025351779334e-12	251	486	634	"sp|P82251|BAT1_HUMAN"	188	421	2.3e-76	54.622	238	"BAT1_HUMAN"	"b(0,+)-type amino acid transporter 1 (b(0,+)AT1) (Glycoprotein-associated amino acid transporter b0,+AT1) (Solute carrier family 7 member 9)"	"SLC7A9 BAT1"	"Homo sapiens (Human)"	"GO:0005886; GO:0005887; GO:0006865; GO:0015175; GO:0015179; GO:0015184; GO:0015804; GO:0015811; GO:0016324; GO:0031526; GO:0042605; GO:0050900; GO:0065003"
NA	"PGEN_.00g333690"	5.57139793932871e-12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Q5U504"	"PGEN_.00g271680"	6.23451666742146e-12	34	266	180	"sp|Q5U504|KLH40_XENLA"	99	330	2.32e-12	22.363	237	"KLH40_XENLA"	"Kelch-like protein 40 (Kelch repeat and BTB domain-containing protein 5)"	"klhl40 kbtbd5"	"Xenopus laevis (African clawed frog)"	"GO:0005737; GO:0031397; GO:0031398; GO:0031463; GO:0031672; GO:0031674; GO:0032436; GO:0048741; GO:0098528"
NA	"PGEN_.00g160750"	7.67124014813292e-12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	"PGEN_.00g326080"	8.90370263238197e-12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
