"","gene","GO.Slim.Term","adj.pval.treatment","scaffold","start","end","uniprot.id","uniprot_taxa.id","Uniprot.Name","GO.IDs","GO.Descript"
"11","PGEN_.00g081000","cytoskeletal activity",5.71559959478455e-05,"Scaffold_04",6562308,6600640,"Q27802","DYHC2_TRIGR","Cytoplasmic dynein 2 heavy chain 1 (Dynein heavy chain isotype 1B)","GO:0003777; GO:0005524; GO:0005737; GO:0005874; GO:0005886; GO:0005929; GO:0007018; GO:0007275; GO:0030030; GO:0030286","cilium [GO:0005929]; cytoplasm [GO:0005737]; dynein complex [GO:0030286]; microtubule [GO:0005874]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; microtubule motor activity [GO:0003777]; cell projection organization [GO:0030030]; microtubule-based movement [GO:0007018]; multicellular organism development [GO:0007275]"
"12","PGEN_.00g102230","cytoskeletal activity",0.0237400607993744,"Scaffold_04",61170576,61178433,"Q9R1K9","CETN2_MOUSE","Centrin-2 (Caltractin isoform 1)","GO:0000278; GO:0005509; GO:0005737; GO:0005813; GO:0005814; GO:0005929; GO:0006289; GO:0007099; GO:0007283; GO:0008017; GO:0015031; GO:0031683; GO:0032391; GO:0032465; GO:0032795; GO:0036064; GO:0044615; GO:0051028; GO:0051301; GO:0070390; GO:0071942","centriole [GO:0005814]; centrosome [GO:0005813]; ciliary basal body [GO:0036064]; cilium [GO:0005929]; cytoplasm [GO:0005737]; nuclear pore nuclear basket [GO:0044615]; photoreceptor connecting cilium [GO:0032391]; transcription export complex 2 [GO:0070390]; XPC complex [GO:0071942]; calcium ion binding [GO:0005509]; G-protein beta/gamma-subunit complex binding [GO:0031683]; heterotrimeric G-protein binding [GO:0032795]; microtubule binding [GO:0008017]; cell division [GO:0051301]; centriole replication [GO:0007099]; mitotic cell cycle [GO:0000278]; mRNA transport [GO:0051028]; nucleotide-excision repair [GO:0006289]; protein transport [GO:0015031]; regulation of cytokinesis [GO:0032465]; spermatogenesis [GO:0007283]"
"13","PGEN_.00g110260","cytoskeletal activity",4.43673910783518e-05,"Scaffold_05",15669855,15764255,"Q39565","DYHB_CHLRE","Dynein beta chain, flagellar outer arm","GO:0003777; GO:0005524; GO:0005737; GO:0005874; GO:0007018; GO:0030030; GO:0030286; GO:0031514","cytoplasm [GO:0005737]; dynein complex [GO:0030286]; microtubule [GO:0005874]; motile cilium [GO:0031514]; ATP binding [GO:0005524]; microtubule motor activity [GO:0003777]; cell projection organization [GO:0030030]; microtubule-based movement [GO:0007018]"
"14","PGEN_.00g131030","cytoskeletal activity",0.0241944468378098,"Scaffold_06",5295042,5305191,"Q9NXW9","ALKB4_HUMAN","Alpha-ketoglutarate-dependent dioxygenase alkB homolog 4 (Alkylated DNA repair protein alkB homolog 4) (DNA N6-methyl adenine demethylase ALKBH4) (EC 1.14.11.51) (Lysine-specific demethylase ALKBH4) (EC 1.14.11.-)","GO:0003779; GO:0005730; GO:0005737; GO:0006325; GO:0006482; GO:0016491; GO:0016706; GO:0030496; GO:0031032; GO:0032451; GO:0035516; GO:0036090; GO:0046872; GO:0070938; GO:0070989; GO:0080111; GO:1902275","contractile ring [GO:0070938]; cytoplasm [GO:0005737]; midbody [GO:0030496]; nucleolus [GO:0005730]; 2-oxoglutarate-dependent dioxygenase activity [GO:0016706]; actin binding [GO:0003779]; demethylase activity [GO:0032451]; metal ion binding [GO:0046872]; oxidative DNA demethylase activity [GO:0035516]; oxidoreductase activity [GO:0016491]; actomyosin structure organization [GO:0031032]; chromatin organization [GO:0006325]; cleavage furrow ingression [GO:0036090]; DNA demethylation [GO:0080111]; oxidative demethylation [GO:0070989]; protein demethylation [GO:0006482]; regulation of chromatin organization [GO:1902275]"
"15","PGEN_.00g151360","cytoskeletal activity",0.0301793441062283,"Scaffold_06",57783330,57868391,"Q9JMH9","MY18A_MOUSE","Unconventional myosin-XVIIIa (Molecule associated with JAK3 N-terminus) (MAJN) (Myosin containing a PDZ domain) (Surfactant protein receptor SP-R210) (SP-R210)","GO:0000139; GO:0005524; GO:0005793; GO:0005802; GO:0005856; GO:0005903; GO:0007030; GO:0016459; GO:0016477; GO:0030054; GO:0031032; GO:0042641; GO:0043030; GO:0043066; GO:0043531; GO:0045202; GO:0045335; GO:0048194; GO:0050714; GO:0051015; GO:0071346; GO:0090161; GO:0090164; GO:1903028","actomyosin [GO:0042641]; brush border [GO:0005903]; cell junction [GO:0030054]; cytoskeleton [GO:0005856]; endoplasmic reticulum-Golgi intermediate compartment [GO:0005793]; Golgi membrane [GO:0000139]; myosin complex [GO:0016459]; phagocytic vesicle [GO:0045335]; synapse [GO:0045202]; trans-Golgi network [GO:0005802]; actin filament binding [GO:0051015]; ADP binding [GO:0043531]; ATP binding [GO:0005524]; actomyosin structure organization [GO:0031032]; asymmetric Golgi ribbon formation [GO:0090164]; cell migration [GO:0016477]; cellular response to interferon-gamma [GO:0071346]; Golgi organization [GO:0007030]; Golgi ribbon formation [GO:0090161]; Golgi vesicle budding [GO:0048194]; negative regulation of apoptotic process [GO:0043066]; positive regulation of opsonization [GO:1903028]; positive regulation of protein secretion [GO:0050714]; regulation of macrophage activation [GO:0043030]"
"16","PGEN_.00g153140","cytoskeletal activity",0.0214094479527275,"Scaffold_07",1037155,1079880,"Q12955","ANK3_HUMAN","Ankyrin-3 (ANK-3) (Ankyrin-G)","GO:0000281; GO:0005200; GO:0005623; GO:0005764; GO:0005783; GO:0005794; GO:0005829; GO:0005886; GO:0006888; GO:0007009; GO:0007016; GO:0007165; GO:0007409; GO:0007528; GO:0008092; GO:0009925; GO:0009986; GO:0010628; GO:0010650; GO:0010765; GO:0010960; GO:0014704; GO:0014731; GO:0016020; GO:0016323; GO:0016328; GO:0016529; GO:0019228; GO:0030018; GO:0030315; GO:0030425; GO:0030507; GO:0030674; GO:0031594; GO:0033268; GO:0034112; GO:0042383; GO:0043001; GO:0043005; GO:0043034; GO:0043194; GO:0043266; GO:0044325; GO:0045184; GO:0045211; GO:0045296; GO:0045838; GO:0071286; GO:0071709; GO:0072659; GO:0072660; GO:0090314; GO:0099612; GO:1900827; GO:1902260; GO:2000651; GO:2001259","axon initial segment [GO:0043194]; basal plasma membrane [GO:0009925]; basolateral plasma membrane [GO:0016323]; cell [GO:0005623]; cell surface [GO:0009986]; costamere [GO:0043034]; cytosol [GO:0005829]; dendrite [GO:0030425]; endoplasmic reticulum [GO:0005783]; Golgi apparatus [GO:0005794]; intercalated disc [GO:0014704]; lateral plasma membrane [GO:0016328]; lysosome [GO:0005764]; membrane [GO:0016020]; neuromuscular junction [GO:0031594]; neuron projection [GO:0043005]; node of Ranvier [GO:0033268]; plasma membrane [GO:0005886]; postsynaptic membrane [GO:0045211]; sarcolemma [GO:0042383]; sarcoplasmic reticulum [GO:0016529]; spectrin-associated cytoskeleton [GO:0014731]; T-tubule [GO:0030315]; Z disc [GO:0030018]; cadherin binding [GO:0045296]; cytoskeletal protein binding [GO:0008092]; ion channel binding [GO:0044325]; protein binding, bridging [GO:0030674]; spectrin binding [GO:0030507]; structural constituent of cytoskeleton [GO:0005200]; axonogenesis [GO:0007409]; cellular response to magnesium ion [GO:0071286]; cytoskeletal anchoring at plasma membrane [GO:0007016]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; establishment of protein localization [GO:0045184]; Golgi to plasma membrane protein transport [GO:0043001]; magnesium ion homeostasis [GO:0010960]; maintenance of protein location in plasma membrane [GO:0072660]; membrane assembly [GO:0071709]; mitotic cytokinesis [GO:0000281]; negative regulation of delayed rectifier potassium channel activity [GO:1902260]; neuromuscular junction development [GO:0007528]; neuronal action potential [GO:0019228]; plasma membrane organization [GO:0007009]; positive regulation of cation channel activity [GO:2001259]; positive regulation of cell communication by electrical coupling [GO:0010650]; positive regulation of gene expression [GO:0010628]; positive regulation of homotypic cell-cell adhesion [GO:0034112]; positive regulation of membrane depolarization during cardiac muscle cell action potential [GO:1900827]; positive regulation of membrane potential [GO:0045838]; positive regulation of protein targeting to membrane [GO:0090314]; positive regulation of sodium ion transmembrane transporter activity [GO:2000651]; positive regulation of sodium ion transport [GO:0010765]; protein localization to axon [GO:0099612]; protein localization to plasma membrane [GO:0072659]; regulation of potassium ion transport [GO:0043266]; signal transduction [GO:0007165]"
"17","PGEN_.00g159920","cytoskeletal activity",0.000608858996323151,"Scaffold_07",20096094,20100380,"P24587","AKAP5_RAT","A-kinase anchor protein 5 (AKAP-5) (A-kinase anchor protein 150 kDa) (AKAP 150) (P150) (cAMP-dependent protein kinase regulatory subunit II high affinity-binding protein)","GO:0001664; GO:0001934; GO:0003779; GO:0005516; GO:0005623; GO:0005737; GO:0005856; GO:0005886; GO:0006605; GO:0007193; GO:0007194; GO:0008179; GO:0009898; GO:0010524; GO:0010738; GO:0014069; GO:0014850; GO:0016323; GO:0017124; GO:0019900; GO:0019901; GO:0019904; GO:0021510; GO:0021766; GO:0030346; GO:0030425; GO:0031527; GO:0031698; GO:0032279; GO:0032590; GO:0032591; GO:0032991; GO:0034237; GO:0035254; GO:0036394; GO:0042307; GO:0043025; GO:0043197; GO:0043198; GO:0043267; GO:0043271; GO:0043624; GO:0044877; GO:0045121; GO:0045296; GO:0045762; GO:0048471; GO:0050775; GO:0050811; GO:0051602; GO:0060076; GO:0060090; GO:0060135; GO:0070886; GO:0071417; GO:0097110; GO:0098978; GO:0099092; GO:0099149; GO:1903078","asymmetric synapse [GO:0032279]; basolateral plasma membrane [GO:0016323]; cell [GO:0005623]; cytoplasm [GO:0005737]; cytoplasmic side of plasma membrane [GO:0009898]; cytoskeleton [GO:0005856]; dendrite [GO:0030425]; dendrite membrane [GO:0032590]; dendritic shaft [GO:0043198]; dendritic spine [GO:0043197]; dendritic spine membrane [GO:0032591]; excitatory synapse [GO:0060076]; filopodium membrane [GO:0031527]; glutamatergic synapse [GO:0098978]; membrane raft [GO:0045121]; neuronal cell body [GO:0043025]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; postsynaptic density [GO:0014069]; postsynaptic density, intracellular component [GO:0099092]; protein-containing complex [GO:0032991]; actin binding [GO:0003779]; adenylate cyclase binding [GO:0008179]; beta-2 adrenergic receptor binding [GO:0031698]; cadherin binding [GO:0045296]; calmodulin binding [GO:0005516]; G protein-coupled receptor binding [GO:0001664]; GABA receptor binding [GO:0050811]; glutamate receptor binding [GO:0035254]; kinase binding [GO:0019900]; molecular adaptor activity [GO:0060090]; protein domain specific binding [GO:0019904]; protein kinase A regulatory subunit binding [GO:0034237]; protein kinase binding [GO:0019901]; protein phosphatase 2B binding [GO:0030346]; protein-containing complex binding [GO:0044877]; scaffold protein binding [GO:0097110]; SH3 domain binding [GO:0017124]; adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway [GO:0007193]; amylase secretion [GO:0036394]; cellular protein complex disassembly [GO:0043624]; cellular response to organonitrogen compound [GO:0071417]; hippocampus development [GO:0021766]; maternal process involved in female pregnancy [GO:0060135]; negative regulation of adenylate cyclase activity [GO:0007194]; negative regulation of ion transport [GO:0043271]; negative regulation of potassium ion transport [GO:0043267]; positive regulation of adenylate cyclase activity [GO:0045762]; positive regulation of calcineurin-NFAT signaling cascade [GO:0070886]; positive regulation of calcium ion transport into cytosol [GO:0010524]; positive regulation of dendrite morphogenesis [GO:0050775]; positive regulation of protein import into nucleus [GO:0042307]; positive regulation of protein localization to plasma membrane [GO:1903078]; positive regulation of protein phosphorylation [GO:0001934]; protein targeting [GO:0006605]; regulation of postsynaptic neurotransmitter receptor internalization [GO:0099149]; regulation of protein kinase A signaling [GO:0010738]; response to electrical stimulus [GO:0051602]; response to muscle activity [GO:0014850]; spinal cord development [GO:0021510]"
"18","PGEN_.00g164740","cytoskeletal activity",0.0185970418706249,"Scaffold_07",32879160,32939450,"Q86VH2","KIF27_HUMAN","Kinesin-like protein KIF27","GO:0003351; GO:0003777; GO:0005524; GO:0005576; GO:0005737; GO:0005871; GO:0005874; GO:0005929; GO:0007018; GO:0008017; GO:0016887; GO:0021591; GO:0060271","cilium [GO:0005929]; cytoplasm [GO:0005737]; extracellular region [GO:0005576]; kinesin complex [GO:0005871]; microtubule [GO:0005874]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; microtubule binding [GO:0008017]; microtubule motor activity [GO:0003777]; cilium assembly [GO:0060271]; epithelial cilium movement involved in extracellular fluid movement [GO:0003351]; microtubule-based movement [GO:0007018]; ventricular system development [GO:0021591]"
"19","PGEN_.00g171340","cytoskeletal activity",0.0301793441062283,"Scaffold_08",8392053,8447234,"O43312","MTSS1_HUMAN","Protein MTSS 1 (Metastasis suppressor YGL-1) (Metastasis suppressor protein 1) (Missing in metastasis protein)","GO:0001726; GO:0003785; GO:0005102; GO:0005737; GO:0007009; GO:0007155; GO:0007169; GO:0015629; GO:0030035; GO:0030036; GO:0030139; GO:0042802; GO:0050680; GO:0061333; GO:0071498; GO:0072102; GO:0072160; GO:2001013","actin cytoskeleton [GO:0015629]; cytoplasm [GO:0005737]; endocytic vesicle [GO:0030139]; ruffle [GO:0001726]; actin monomer binding [GO:0003785]; identical protein binding [GO:0042802]; signaling receptor binding [GO:0005102]; actin cytoskeleton organization [GO:0030036]; cell adhesion [GO:0007155]; cellular response to fluid shear stress [GO:0071498]; epithelial cell proliferation involved in renal tubule morphogenesis [GO:2001013]; glomerulus morphogenesis [GO:0072102]; microspike assembly [GO:0030035]; negative regulation of epithelial cell proliferation [GO:0050680]; nephron tubule epithelial cell differentiation [GO:0072160]; plasma membrane organization [GO:0007009]; renal tubule morphogenesis [GO:0061333]; transmembrane receptor protein tyrosine kinase signaling pathway [GO:0007169]"
"20","PGEN_.00g171350","cytoskeletal activity",0.0120620312575807,"Scaffold_08",8447286,8475295,"Q8R1S4","MTSS1_MOUSE","Protein MTSS 1 (Metastasis suppressor protein 1) (Missing in metastasis protein)","GO:0001701; GO:0003779; GO:0003785; GO:0005102; GO:0005737; GO:0005912; GO:0007009; GO:0007015; GO:0007399; GO:0007517; GO:0010960; GO:0015629; GO:0030041; GO:0030282; GO:0032233; GO:0034334; GO:0042802; GO:0050680; GO:0051015; GO:0061333; GO:0071498; GO:0072102; GO:0072160; GO:0072170; GO:2001013","actin cytoskeleton [GO:0015629]; adherens junction [GO:0005912]; cytoplasm [GO:0005737]; actin binding [GO:0003779]; actin filament binding [GO:0051015]; actin monomer binding [GO:0003785]; identical protein binding [GO:0042802]; signaling receptor binding [GO:0005102]; actin filament organization [GO:0007015]; actin filament polymerization [GO:0030041]; adherens junction maintenance [GO:0034334]; bone mineralization [GO:0030282]; cellular response to fluid shear stress [GO:0071498]; epithelial cell proliferation involved in renal tubule morphogenesis [GO:2001013]; glomerulus morphogenesis [GO:0072102]; in utero embryonic development [GO:0001701]; magnesium ion homeostasis [GO:0010960]; metanephric tubule development [GO:0072170]; muscle organ development [GO:0007517]; negative regulation of epithelial cell proliferation [GO:0050680]; nephron tubule epithelial cell differentiation [GO:0072160]; nervous system development [GO:0007399]; plasma membrane organization [GO:0007009]; positive regulation of actin filament bundle assembly [GO:0032233]; renal tubule morphogenesis [GO:0061333]"
"21","PGEN_.00g199570","cytoskeletal activity",0.00355968184063304,"Scaffold_09",24920274,24925015,"Q9VVI3","NEDD4_DROME","E3 ubiquitin-protein ligase Nedd-4 (DNedd4) (EC 2.3.2.26) (HECT-type E3 ubiquitin transferase NEDD4)","GO:0000209; GO:0002092; GO:0004842; GO:0005112; GO:0005737; GO:0005886; GO:0006511; GO:0007219; GO:0007411; GO:0007528; GO:0008586; GO:0016199; GO:0016567; GO:0017022; GO:0019904; GO:0031623; GO:0043161; GO:0045732; GO:0045746; GO:0045807; GO:0045879; GO:0048814; GO:0051965; GO:0061630; GO:1905062; GO:1905306; GO:2000650","cytoplasm [GO:0005737]; plasma membrane [GO:0005886]; myosin binding [GO:0017022]; Notch binding [GO:0005112]; protein domain specific binding [GO:0019904]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]; axon guidance [GO:0007411]; axon midline choice point recognition [GO:0016199]; imaginal disc-derived wing vein morphogenesis [GO:0008586]; negative regulation of Notch signaling pathway [GO:0045746]; negative regulation of smoothened signaling pathway [GO:0045879]; negative regulation of sodium ion transmembrane transporter activity [GO:2000650]; neuromuscular junction development [GO:0007528]; Notch signaling pathway [GO:0007219]; positive regulation of cardiac myofibril assembly [GO:1905306]; positive regulation of cardioblast proliferation [GO:1905062]; positive regulation of endocytosis [GO:0045807]; positive regulation of protein catabolic process [GO:0045732]; positive regulation of receptor internalization [GO:0002092]; positive regulation of synapse assembly [GO:0051965]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein polyubiquitination [GO:0000209]; protein ubiquitination [GO:0016567]; receptor internalization [GO:0031623]; regulation of dendrite morphogenesis [GO:0048814]; ubiquitin-dependent protein catabolic process [GO:0006511]"
"22","PGEN_.00g206810","cytoskeletal activity",4.5224399725376e-05,"Scaffold_10",7584310,7700085,"Q8BW94","DYH3_MOUSE","Dynein heavy chain 3, axonemal (Axonemal beta dynein heavy chain 3) (Ciliary dynein heavy chain 3)","GO:0003341; GO:0005524; GO:0005874; GO:0007018; GO:0008569; GO:0030286; GO:0036156; GO:0045505; GO:0051959","dynein complex [GO:0030286]; inner dynein arm [GO:0036156]; microtubule [GO:0005874]; ATP binding [GO:0005524]; ATP-dependent microtubule motor activity, minus-end-directed [GO:0008569]; dynein intermediate chain binding [GO:0045505]; dynein light intermediate chain binding [GO:0051959]; cilium movement [GO:0003341]; microtubule-based movement [GO:0007018]"
"23","PGEN_.00g226840","cytoskeletal activity",0.0145479681407003,"Scaffold_11",7272683,7370846,"Q9VEN1","FLNA_DROME","Filamin-A (FLN-A) (Actin-binding protein 280) (ABP-280) (Filamin-1) (Filamin1)","GO:0000278; GO:0003779; GO:0005829; GO:0005886; GO:0007301; GO:0007303; GO:0007616; GO:0008045; GO:0008104; GO:0008302; GO:0008340; GO:0015629; GO:0030018; GO:0030708; GO:0030725; GO:0035182; GO:0035183; GO:0035204; GO:0035324; GO:0045179; GO:0045214; GO:0048149; GO:0051495","actin cytoskeleton [GO:0015629]; apical cortex [GO:0045179]; cytosol [GO:0005829]; female germline ring canal [GO:0035324]; female germline ring canal inner rim [GO:0035183]; female germline ring canal outer rim [GO:0035182]; plasma membrane [GO:0005886]; Z disc [GO:0030018]; actin binding [GO:0003779]; behavioral response to ethanol [GO:0048149]; cytoplasmic transport, nurse cell to oocyte [GO:0007303]; determination of adult lifespan [GO:0008340]; female germline ring canal formation [GO:0007301]; female germline ring canal formation, actin assembly [GO:0008302]; germarium-derived female germ-line cyst encapsulation [GO:0030708]; germline ring canal formation [GO:0030725]; long-term memory [GO:0007616]; mitotic cell cycle [GO:0000278]; motor neuron axon guidance [GO:0008045]; negative regulation of lamellocyte differentiation [GO:0035204]; positive regulation of cytoskeleton organization [GO:0051495]; protein localization [GO:0008104]; sarcomere organization [GO:0045214]"
"24","PGEN_.00g227520","cytoskeletal activity",0.0382379150397033,"Scaffold_11",9517456,9568849,"Q17LW0","MYO7A_AEDAE","Myosin-VIIa (Protein crinkled)","GO:0003774; GO:0005524; GO:0005737; GO:0007605; GO:0008407; GO:0016459; GO:0030048; GO:0030898; GO:0032027; GO:0035317; GO:0048800; GO:0051015","cytoplasm [GO:0005737]; myosin complex [GO:0016459]; actin filament binding [GO:0051015]; actin-dependent ATPase activity [GO:0030898]; ATP binding [GO:0005524]; motor activity [GO:0003774]; myosin light chain binding [GO:0032027]; actin filament-based movement [GO:0030048]; antennal morphogenesis [GO:0048800]; chaeta morphogenesis [GO:0008407]; imaginal disc-derived wing hair organization [GO:0035317]; sensory perception of sound [GO:0007605]"
"25","PGEN_.00g233580","cytoskeletal activity",0.0404096067229422,"Scaffold_11",27099534,27108460,"P68372","TBB4B_MOUSE","Tubulin beta-4B chain (Tubulin beta-2C chain)","GO:0000226; GO:0000278; GO:0003725; GO:0003924; GO:0005200; GO:0005525; GO:0005737; GO:0005874; GO:0007017; GO:0043209; GO:0045298","cytoplasm [GO:0005737]; microtubule [GO:0005874]; myelin sheath [GO:0043209]; tubulin complex [GO:0045298]; double-stranded RNA binding [GO:0003725]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; structural constituent of cytoskeleton [GO:0005200]; microtubule cytoskeleton organization [GO:0000226]; microtubule-based process [GO:0007017]; mitotic cell cycle [GO:0000278]"
"26","PGEN_.00g233770","cytoskeletal activity",0.000794258264075605,"Scaffold_11",27658467,27661179,"P11833","TBB_PARLI","Tubulin beta chain (Beta-tubulin)","GO:0003924; GO:0005200; GO:0005525; GO:0005737; GO:0005874; GO:0007017","cytoplasm [GO:0005737]; microtubule [GO:0005874]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; structural constituent of cytoskeleton [GO:0005200]; microtubule-based process [GO:0007017]"
"27","PGEN_.00g270640","cytoskeletal activity",0.0220809249535981,"Scaffold_13",30124160,30148040,"Q2KID4","DNAL1_BOVIN","Dynein light chain 1, axonemal","GO:0003774; GO:0005737; GO:0005874; GO:0030286; GO:0036158; GO:0042995; GO:0043014; GO:0045504","cell projection [GO:0042995]; cytoplasm [GO:0005737]; dynein complex [GO:0030286]; microtubule [GO:0005874]; alpha-tubulin binding [GO:0043014]; dynein heavy chain binding [GO:0045504]; motor activity [GO:0003774]; outer dynein arm assembly [GO:0036158]"
"28","PGEN_.00g274530","cytoskeletal activity",0.000782221588868464,"Scaffold_13",40767020,40771439,"P06603","TBA1_DROME","Tubulin alpha-1 chain","GO:0000226; GO:0000235; GO:0000278; GO:0003924; GO:0005200; GO:0005525; GO:0005634; GO:0005737; GO:0005813; GO:0005819; GO:0005874; GO:0007017; GO:0032418; GO:0048471","astral microtubule [GO:0000235]; centrosome [GO:0005813]; cytoplasm [GO:0005737]; microtubule [GO:0005874]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; spindle [GO:0005819]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; structural constituent of cytoskeleton [GO:0005200]; lysosome localization [GO:0032418]; microtubule cytoskeleton organization [GO:0000226]; microtubule-based process [GO:0007017]; mitotic cell cycle [GO:0000278]"
"29","PGEN_.00g277430","cytoskeletal activity",2.00165589730783e-08,"Scaffold_14",3442934,3496237,"Q7Z7A1","CNTRL_HUMAN","Centriolin (Centrosomal protein 1) (Centrosomal protein of 110 kDa) (Cep110)","GO:0000086; GO:0005813; GO:0005815; GO:0005829; GO:0008092; GO:0010389; GO:0016020; GO:0051301; GO:0051493; GO:0090543; GO:0097711; GO:0120103","centriolar subdistal appendage [GO:0120103]; centrosome [GO:0005813]; cytosol [GO:0005829]; Flemming body [GO:0090543]; membrane [GO:0016020]; microtubule organizing center [GO:0005815]; cytoskeletal protein binding [GO:0008092]; cell division [GO:0051301]; ciliary basal body-plasma membrane docking [GO:0097711]; G2/M transition of mitotic cell cycle [GO:0000086]; regulation of cytoskeleton organization [GO:0051493]; regulation of G2/M transition of mitotic cell cycle [GO:0010389]"
"30","PGEN_.00g278620","cytoskeletal activity",0.00345255415974166,"Scaffold_14",6014261,6046448,"Q8K389","CK5P2_MOUSE","CDK5 regulatory subunit-associated protein 2 (CDK5 activator-binding protein C48)","GO:0000132; GO:0000226; GO:0000242; GO:0000922; GO:0001578; GO:0005516; GO:0005623; GO:0005737; GO:0005794; GO:0005813; GO:0005874; GO:0007059; GO:0007098; GO:0007099; GO:0007420; GO:0008017; GO:0008274; GO:0015631; GO:0019901; GO:0022008; GO:0030054; GO:0031023; GO:0031116; GO:0035371; GO:0043015; GO:0044212; GO:0044877; GO:0045665; GO:0045893; GO:0046600; GO:0048471; GO:0090266; GO:0097431","cell [GO:0005623]; cell junction [GO:0030054]; centrosome [GO:0005813]; cytoplasm [GO:0005737]; gamma-tubulin ring complex [GO:0008274]; Golgi apparatus [GO:0005794]; microtubule [GO:0005874]; microtubule plus-end [GO:0035371]; mitotic spindle pole [GO:0097431]; pericentriolar material [GO:0000242]; perinuclear region of cytoplasm [GO:0048471]; spindle pole [GO:0000922]; calmodulin binding [GO:0005516]; gamma-tubulin binding [GO:0043015]; microtubule binding [GO:0008017]; protein kinase binding [GO:0019901]; protein-containing complex binding [GO:0044877]; transcription regulatory region DNA binding [GO:0044212]; tubulin binding [GO:0015631]; brain development [GO:0007420]; centriole replication [GO:0007099]; centrosome cycle [GO:0007098]; chromosome segregation [GO:0007059]; establishment of mitotic spindle orientation [GO:0000132]; microtubule bundle formation [GO:0001578]; microtubule cytoskeleton organization [GO:0000226]; microtubule organizing center organization [GO:0031023]; negative regulation of centriole replication [GO:0046600]; negative regulation of neuron differentiation [GO:0045665]; neurogenesis [GO:0022008]; positive regulation of microtubule polymerization [GO:0031116]; positive regulation of transcription, DNA-templated [GO:0045893]; regulation of mitotic cell cycle spindle assembly checkpoint [GO:0090266]"
"31","PGEN_.00g284620","cytoskeletal activity",0.019648332519261,"Scaffold_14",20735108,20737187,"Q9C0G6","DYH6_HUMAN","Dynein heavy chain 6, axonemal (Axonemal beta dynein heavy chain 6) (Ciliary dynein heavy chain 6)","GO:0005524; GO:0005737; GO:0005874; GO:0005929; GO:0007018; GO:0008569; GO:0030286; GO:0045505; GO:0051959","cilium [GO:0005929]; cytoplasm [GO:0005737]; dynein complex [GO:0030286]; microtubule [GO:0005874]; ATP binding [GO:0005524]; ATP-dependent microtubule motor activity, minus-end-directed [GO:0008569]; dynein intermediate chain binding [GO:0045505]; dynein light intermediate chain binding [GO:0051959]; microtubule-based movement [GO:0007018]"
"32","PGEN_.00g289090","cytoskeletal activity",2.79663988445674e-05,"Scaffold_14",29650979,29662232,"E9Q5G3","KIF23_MOUSE","Kinesin-like protein KIF23","GO:0000281; GO:0000915; GO:0003777; GO:0005524; GO:0005623; GO:0005634; GO:0005654; GO:0005737; GO:0005813; GO:0005819; GO:0005871; GO:0005874; GO:0007018; GO:0008017; GO:0016887; GO:0030496; GO:0032467; GO:0045171; GO:0051256; GO:0072383; GO:0072686; GO:0090543; GO:0097149","cell [GO:0005623]; centralspindlin complex [GO:0097149]; centrosome [GO:0005813]; cytoplasm [GO:0005737]; Flemming body [GO:0090543]; intercellular bridge [GO:0045171]; kinesin complex [GO:0005871]; microtubule [GO:0005874]; midbody [GO:0030496]; mitotic spindle [GO:0072686]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; spindle [GO:0005819]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; microtubule binding [GO:0008017]; microtubule motor activity [GO:0003777]; actomyosin contractile ring assembly [GO:0000915]; microtubule-based movement [GO:0007018]; mitotic cytokinesis [GO:0000281]; mitotic spindle midzone assembly [GO:0051256]; plus-end-directed vesicle transport along microtubule [GO:0072383]; positive regulation of cytokinesis [GO:0032467]"
"33","PGEN_.00g290400","cytoskeletal activity",0.0413023675513884,"Scaffold_14",32684479,32694765,"Q9C0G6","DYH6_HUMAN","Dynein heavy chain 6, axonemal (Axonemal beta dynein heavy chain 6) (Ciliary dynein heavy chain 6)","GO:0005524; GO:0005737; GO:0005874; GO:0005929; GO:0007018; GO:0008569; GO:0030286; GO:0045505; GO:0051959","cilium [GO:0005929]; cytoplasm [GO:0005737]; dynein complex [GO:0030286]; microtubule [GO:0005874]; ATP binding [GO:0005524]; ATP-dependent microtubule motor activity, minus-end-directed [GO:0008569]; dynein intermediate chain binding [GO:0045505]; dynein light intermediate chain binding [GO:0051959]; microtubule-based movement [GO:0007018]"
